ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:MU170217C00017000,2017-01-17,2017-02-17,MU,C,170.0,10,5.0,5.0,5.0,5.0,2,1484629200000000000,31,Monthly
O:MU170217C00019000,2017-01-17,2017-02-17,MU,C,190.0,117,3.1,2.92,3.2,2.81,32,1484629200000000000,31,Monthly
O:MU170217C00020000,2017-01-17,2017-02-17,MU,C,200.0,398,2.4,2.04,2.4,1.98,46,1484629200000000000,31,Monthly
O:MU170217C00021000,2017-01-17,2017-02-17,MU,C,210.0,788,1.58,1.33,1.59,1.29,49,1484629200000000000,31,Monthly
O:MU170217C00022000,2017-01-17,2017-02-17,MU,C,220.0,1517,0.97,0.82,1.0,0.75,180,1484629200000000000,31,Monthly
O:MU170217C00023000,2017-01-17,2017-02-17,MU,C,230.0,1040,0.5,0.47,0.57,0.41,104,1484629200000000000,31,Monthly
O:MU170217C00024000,2017-01-17,2017-02-17,MU,C,240.0,532,0.32,0.25,0.32,0.22,73,1484629200000000000,31,Monthly
O:MU170217C00025000,2017-01-17,2017-02-17,MU,C,250.0,447,0.14,0.13,0.18,0.12,27,1484629200000000000,31,Monthly
O:MU170217C00026000,2017-01-17,2017-02-17,MU,C,260.0,20,0.1,0.07,0.1,0.07,7,1484629200000000000,31,Monthly
O:MU170217C00027000,2017-01-17,2017-02-17,MU,C,270.0,1,0.05,0.05,0.05,0.05,1,1484629200000000000,31,Monthly
O:MU170217C00028000,2017-01-17,2017-02-17,MU,C,280.0,918,0.03,0.03,0.03,0.03,21,1484629200000000000,31,Monthly
O:MU170217P00017000,2017-01-17,2017-02-17,MU,P,170.0,10,0.05,0.05,0.05,0.05,2,1484629200000000000,31,Monthly
O:MU170217P00018000,2017-01-17,2017-02-17,MU,P,180.0,131,0.08,0.07,0.08,0.07,4,1484629200000000000,31,Monthly
O:MU170217P00019000,2017-01-17,2017-02-17,MU,P,190.0,12,0.16,0.17,0.17,0.15,6,1484629200000000000,31,Monthly
O:MU170217P00020000,2017-01-17,2017-02-17,MU,P,200.0,299,0.29,0.33,0.35,0.28,33,1484629200000000000,31,Monthly
