ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:NFLX190111C00200000,2019-01-07,2019-01-11,NFLX,C,13.33,7,25.86,28.87,28.87,25.86,2,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00227500,2019-01-07,2019-01-11,NFLX,C,15.17,2,19.65,20.64,20.64,19.65,2,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00230000,2019-01-07,2019-01-11,NFLX,C,15.33,9,19.95,20.72,20.72,19.51,3,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00240000,2019-01-07,2019-01-11,NFLX,C,16.0,6,18.23,18.29,19.01,18.23,5,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00242500,2019-01-07,2019-01-11,NFLX,C,16.17,1,17.66,17.66,17.66,17.66,1,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00245000,2019-01-07,2019-01-11,NFLX,C,16.33,12,15.25,17.6,17.75,15.25,8,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00247500,2019-01-07,2019-01-11,NFLX,C,16.5,1,16.86,16.86,16.86,16.86,1,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00250000,2019-01-07,2019-01-11,NFLX,C,16.67,6,15.56,16.48,16.48,15.56,4,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00252500,2019-01-07,2019-01-11,NFLX,C,16.83,7,15.14,15.25,15.25,15.14,2,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
O:NFLX190111C00255000,2019-01-07,2019-01-11,NFLX,C,17.0,23,12.56,15.16,15.16,12.55,12,1546837200000000000,4,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11
