ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:NFLX210108C00315000,2021-01-04,2021-01-08,NFLX,C,31.5,1,51.61,51.61,-41.75,NO,51.61,95.43,51.61,95.43,51.61,51.61,1,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,51.61,95.43
O:NFLX210108C00320000,2021-01-04,2021-01-08,NFLX,C,32.0,1,50.36,50.36,-40.83,NO,50.36,93.12,50.36,93.12,50.36,50.36,1,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,50.36,93.12
O:NFLX210108C00410000,2021-01-04,2021-01-08,NFLX,C,41.0,8,26.84,26.85,-24.19,NO,26.76,49.47,26.66,49.3,26.85,26.66,3,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,26.76,49.65
O:NFLX210108C00430000,2021-01-04,2021-01-08,NFLX,C,43.0,2,22.89,22.89,-20.49,NO,22.89,42.33,22.89,42.33,22.89,22.89,2,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,22.89,42.33
O:NFLX210108C00450000,2021-01-04,2021-01-08,NFLX,C,45.0,16,20.2,17.91,-16.79,NO,18.56,34.31,16.91,31.27,20.2,16.91,11,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,18.56,37.35
O:NFLX210108C00460000,2021-01-04,2021-01-08,NFLX,C,46.0,4,15.25,15.44,-14.94,NO,15.34,28.37,15.25,28.2,15.44,15.25,4,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,15.34,28.55
O:NFLX210108C00470000,2021-01-04,2021-01-08,NFLX,C,47.0,3,14.75,12.68,-13.09,NO,13.72,25.36,12.68,23.45,14.75,12.68,3,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,13.72,27.27
O:NFLX210108C00472500,2021-01-04,2021-01-08,NFLX,C,47.25,30,12.35,12.5,-12.63,NO,12.28,22.7,12.05,22.28,12.5,12.05,7,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,12.28,23.11
O:NFLX210108C00475000,2021-01-04,2021-01-08,NFLX,C,47.5,11,13.26,12.23,-12.17,NO,12.75,23.58,12.23,22.61,13.27,12.23,3,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,12.75,24.54
O:NFLX210108C00480000,2021-01-04,2021-01-08,NFLX,C,48.0,48,14.12,9.45,-11.24,NO,11.68,21.61,9.25,17.1,14.12,9.25,18,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,11.68,26.11
O:NFLX210108C00482500,2021-01-04,2021-01-08,NFLX,C,48.25,22,10.2,10.55,-10.78,NO,10.28,19.0,10.0,18.49,10.55,10.0,9,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,10.28,19.51
O:NFLX210108C00485000,2021-01-04,2021-01-08,NFLX,C,48.5,31,10.8,8.81,-10.32,NO,9.65,17.85,8.49,15.7,10.82,8.49,5,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,9.65,20.01
O:NFLX210108C00487500,2021-01-04,2021-01-08,NFLX,C,48.75,49,9.14,8.23,-9.86,NO,8.42,15.57,7.68,14.2,9.16,7.68,10,1609736400000000000,4,53.9,52.29,54.08,51.51,54.08,51.04,51.32,51.32,0.0009,8.42,16.94
