ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:NFLX190111C00200000,2019-01-07,2019-01-11,NFLX,C,20.0,7,103.43,115.47,-36.87,NO,109.45,345.49,103.43,326.48,115.47,103.43,2,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,109.45,364.49
O:NFLX190111C00227500,2019-01-07,2019-01-11,NFLX,C,22.75,2,78.6,82.55,-28.19,NO,80.57,254.34,78.6,248.11,82.55,78.6,2,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,80.57,260.57
O:NFLX190111C00230000,2019-01-07,2019-01-11,NFLX,C,23.0,9,79.8,82.86,-27.4,NO,80.46,253.96,78.05,246.37,82.86,78.05,3,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,80.46,261.55
O:NFLX190111C00240000,2019-01-07,2019-01-11,NFLX,C,24.0,6,72.9,73.16,-24.24,NO,74.47,235.09,72.9,230.11,76.05,72.9,5,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,74.47,240.06
O:NFLX190111C00242500,2019-01-07,2019-01-11,NFLX,C,24.25,1,70.66,70.66,-23.45,NO,70.66,223.04,70.66,223.04,70.66,70.66,1,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,70.66,223.04
O:NFLX190111C00245000,2019-01-07,2019-01-11,NFLX,C,24.5,12,61.0,70.42,-22.66,NO,66.0,208.32,61.0,192.55,70.99,61.0,8,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,66.0,224.08
O:NFLX190111C00247500,2019-01-07,2019-01-11,NFLX,C,24.75,1,67.44,67.44,-21.88,NO,67.44,212.88,67.44,212.88,67.44,67.44,1,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,67.44,212.88
O:NFLX190111C00250000,2019-01-07,2019-01-11,NFLX,C,25.0,6,62.25,65.9,-21.09,NO,64.08,202.26,62.25,196.5,65.9,62.25,4,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,64.08,208.02
O:NFLX190111C00252500,2019-01-07,2019-01-11,NFLX,C,25.25,7,60.55,61.0,-20.3,NO,60.78,191.84,60.55,191.13,61.0,60.55,2,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,60.78,192.55
O:NFLX190111C00255000,2019-01-07,2019-01-11,NFLX,C,25.5,23,50.26,60.66,-19.51,NO,55.42,174.95,50.19,158.43,60.66,50.19,12,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,55.42,191.48
O:NFLX190111C00257500,2019-01-07,2019-01-11,NFLX,C,25.75,4,55.0,58.16,-18.72,NO,56.58,178.6,55.0,173.61,58.16,55.0,4,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,56.58,183.59
O:NFLX190111C00260000,2019-01-07,2019-01-11,NFLX,C,26.0,54,45.5,56.9,-17.93,NO,51.2,161.62,45.5,143.62,56.9,45.5,15,1546837200000000000,4,Weekly,30.21,31.53,31.68,30.16,31.68,33.76,34.11,34.11,0.024,51.2,179.61
