ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:ORCL240112C00085000,2024-01-08,2024-01-12,ORCL,C,85.0,1,4.79,4.79,4.79,4.79,1,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00095000,2024-01-08,2024-01-12,ORCL,C,95.0,5,2.31,2.32,2.32,2.31,4,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00096000,2024-01-08,2024-01-12,ORCL,C,96.0,1,1.56,1.56,1.56,1.56,1,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00098000,2024-01-08,2024-01-12,ORCL,C,98.0,8,1.19,1.59,1.59,1.19,5,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00099000,2024-01-08,2024-01-12,ORCL,C,99.0,5,1.32,1.32,1.32,1.32,4,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00100000,2024-01-08,2024-01-12,ORCL,C,100.0,132,0.74,1.15,1.17,0.59,19,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00101000,2024-01-08,2024-01-12,ORCL,C,101.0,59,0.74,0.88,0.92,0.7,19,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00102000,2024-01-08,2024-01-12,ORCL,C,102.0,277,0.28,0.66,0.7,0.24,92,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00103000,2024-01-08,2024-01-12,ORCL,C,103.0,598,0.22,0.46,0.48,0.14,145,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00104000,2024-01-08,2024-01-12,ORCL,C,104.0,5641,0.13,0.28,0.3,0.06,359,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00105000,2024-01-08,2024-01-12,ORCL,C,105.0,3536,0.06,0.16,0.18,0.02,467,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00106000,2024-01-08,2024-01-12,ORCL,C,106.0,1909,0.03,0.08,0.1,0.02,227,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00107000,2024-01-08,2024-01-12,ORCL,C,107.0,7595,0.06,0.04,0.06,0.01,316,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00108000,2024-01-08,2024-01-12,ORCL,C,108.0,428,0.01,0.02,0.02,0.01,87,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00109000,2024-01-08,2024-01-12,ORCL,C,109.0,106,0.01,0.01,0.02,0.01,45,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00110000,2024-01-08,2024-01-12,ORCL,C,110.0,103,0.01,0.01,0.02,0.0,29,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00111000,2024-01-08,2024-01-12,ORCL,C,111.0,23,0.0,0.0,0.01,0.0,12,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00112000,2024-01-08,2024-01-12,ORCL,C,112.0,34,0.02,0.0,0.02,0.0,5,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00113000,2024-01-08,2024-01-12,ORCL,C,113.0,9,0.04,0.01,0.04,0.0,5,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00114000,2024-01-08,2024-01-12,ORCL,C,114.0,7,0.0,0.0,0.0,0.0,3,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00115000,2024-01-08,2024-01-12,ORCL,C,115.0,24,0.0,0.0,0.0,0.0,6,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00118000,2024-01-08,2024-01-12,ORCL,C,118.0,84,0.0,0.0,0.0,0.0,15,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00120000,2024-01-08,2024-01-12,ORCL,C,120.0,1,0.0,0.0,0.0,0.0,1,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240112C00128000,2024-01-08,2024-01-12,ORCL,C,128.0,24,0.01,0.01,0.01,0.01,4,1704690000000000000,4,102.94,104.66,104.77,102.13,104.77,106.6,106.7,106.7
O:ORCL240126C00099000,2024-01-22,2024-01-26,ORCL,C,99.0,1,2.81,2.81,2.81,2.81,1,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00100000,2024-01-22,2024-01-26,ORCL,C,100.0,9,2.47,2.61,2.66,2.47,4,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00101000,2024-01-22,2024-01-26,ORCL,C,101.0,4,2.37,2.37,2.37,2.37,3,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00103000,2024-01-22,2024-01-26,ORCL,C,103.0,5,1.91,1.9,1.91,1.9,5,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00104000,2024-01-22,2024-01-26,ORCL,C,104.0,558,1.66,1.66,1.69,1.66,4,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00105000,2024-01-22,2024-01-26,ORCL,C,105.0,34,1.32,1.33,1.42,1.22,15,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00106000,2024-01-22,2024-01-26,ORCL,C,106.0,398,1.16,1.12,1.25,1.08,47,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00107000,2024-01-22,2024-01-26,ORCL,C,107.0,82,0.96,0.91,1.02,0.7,29,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00108000,2024-01-22,2024-01-26,ORCL,C,108.0,88,0.71,0.72,0.73,0.49,29,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00109000,2024-01-22,2024-01-26,ORCL,C,109.0,627,0.5,0.48,0.55,0.33,120,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00110000,2024-01-22,2024-01-26,ORCL,C,110.0,772,0.37,0.29,0.41,0.2,244,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00111000,2024-01-22,2024-01-26,ORCL,C,111.0,1528,0.24,0.17,0.27,0.12,430,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00112000,2024-01-22,2024-01-26,ORCL,C,112.0,1259,0.15,0.1,0.2,0.08,168,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00113000,2024-01-22,2024-01-26,ORCL,C,113.0,414,0.08,0.06,0.11,0.05,76,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00114000,2024-01-22,2024-01-26,ORCL,C,114.0,4385,0.11,0.04,0.11,0.02,54,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00115000,2024-01-22,2024-01-26,ORCL,C,115.0,546,0.03,0.02,0.04,0.02,107,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00116000,2024-01-22,2024-01-26,ORCL,C,116.0,24,0.02,0.02,0.02,0.01,4,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
O:ORCL240126C00117000,2024-01-22,2024-01-26,ORCL,C,117.0,38,0.02,0.01,0.02,0.01,19,1705899600000000000,4,110.06,110.1,110.69,109.27,110.69,114.64,115.48,115.48
