ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:ORCL180112C00046000,2018-01-08,2018-01-12,ORCL,C,460.0,160,2.32,2.93,2.93,2.32,2,1515387600000000000,4,Weekly
O:ORCL180112C00046500,2018-01-08,2018-01-12,ORCL,C,465.0,9,2.11,2.11,2.11,2.11,2,1515387600000000000,4,Weekly
O:ORCL180112C00047000,2018-01-08,2018-01-12,ORCL,C,470.0,202,1.61,2.04,2.04,1.61,3,1515387600000000000,4,Weekly
O:ORCL180112C00047500,2018-01-08,2018-01-12,ORCL,C,475.0,435,0.56,1.54,1.54,0.56,25,1515387600000000000,4,Weekly
O:ORCL180112C00048000,2018-01-08,2018-01-12,ORCL,C,480.0,349,0.35,1.03,1.05,0.29,30,1515387600000000000,4,Weekly
O:ORCL180112C00048500,2018-01-08,2018-01-12,ORCL,C,485.0,948,0.15,0.57,0.58,0.15,39,1515387600000000000,4,Weekly
O:ORCL180112C00049000,2018-01-08,2018-01-12,ORCL,C,490.0,993,0.11,0.28,0.3,0.11,78,1515387600000000000,4,Weekly
O:ORCL180112C00049500,2018-01-08,2018-01-12,ORCL,C,495.0,120,0.06,0.12,0.13,0.06,12,1515387600000000000,4,Weekly
O:ORCL180112C00050000,2018-01-08,2018-01-12,ORCL,C,500.0,341,0.02,0.06,0.06,0.02,16,1515387600000000000,4,Weekly
O:ORCL180112C00051500,2018-01-08,2018-01-12,ORCL,C,515.0,1,0.01,0.01,0.01,0.01,1,1515387600000000000,4,Weekly
O:ORCL180112P00043500,2018-01-08,2018-01-12,ORCL,P,435.0,2,0.01,0.01,0.01,0.01,1,1515387600000000000,4,Weekly
O:ORCL180112P00046500,2018-01-08,2018-01-12,ORCL,P,465.0,19,0.05,0.02,0.05,0.02,2,1515387600000000000,4,Weekly
O:ORCL180112P00047000,2018-01-08,2018-01-12,ORCL,P,470.0,193,0.12,0.03,0.12,0.02,12,1515387600000000000,4,Weekly
O:ORCL180112P00047500,2018-01-08,2018-01-12,ORCL,P,475.0,120,0.23,0.06,0.23,0.06,12,1515387600000000000,4,Weekly
O:ORCL180112P00048000,2018-01-08,2018-01-12,ORCL,P,480.0,294,0.3,0.09,0.48,0.08,37,1515387600000000000,4,Weekly
O:ORCL180112P00048500,2018-01-08,2018-01-12,ORCL,P,485.0,495,0.51,0.2,0.82,0.19,17,1515387600000000000,4,Weekly
O:ORCL180112P00049000,2018-01-08,2018-01-12,ORCL,P,490.0,222,0.72,0.45,0.72,0.41,21,1515387600000000000,4,Weekly
O:ORCL180112P00049500,2018-01-08,2018-01-12,ORCL,P,495.0,13,1.14,0.93,1.14,0.88,3,1515387600000000000,4,Weekly
O:ORCL180112P00052500,2018-01-08,2018-01-12,ORCL,P,525.0,1,4.05,4.05,4.05,4.05,1,1515387600000000000,4,Weekly
O:ORCL180126C00046000,2018-01-22,2018-01-26,ORCL,C,460.0,1,4.3,4.3,4.3,4.3,1,1516597200000000000,4,Weekly
O:ORCL180126C00047000,2018-01-22,2018-01-26,ORCL,C,470.0,1,3.5,3.5,3.5,3.5,1,1516597200000000000,4,Weekly
O:ORCL180126C00048000,2018-01-22,2018-01-26,ORCL,C,480.0,26,2.53,2.75,2.75,2.41,6,1516597200000000000,4,Weekly
O:ORCL180126C00049000,2018-01-22,2018-01-26,ORCL,C,490.0,32,1.53,1.71,1.71,1.5,6,1516597200000000000,4,Weekly
O:ORCL180126C00049500,2018-01-22,2018-01-26,ORCL,C,495.0,3100,1.17,1.15,1.17,1.15,24,1516597200000000000,4,Weekly
O:ORCL180126C00050000,2018-01-22,2018-01-26,ORCL,C,500.0,314,0.56,0.82,0.82,0.56,15,1516597200000000000,4,Weekly
O:ORCL180126C00050500,2018-01-22,2018-01-26,ORCL,C,505.0,369,0.3,0.41,0.41,0.27,21,1516597200000000000,4,Weekly
O:ORCL180126C00051000,2018-01-22,2018-01-26,ORCL,C,510.0,221,0.13,0.2,0.2,0.12,21,1516597200000000000,4,Weekly
O:ORCL180126C00051500,2018-01-22,2018-01-26,ORCL,C,515.0,25,0.04,0.07,0.07,0.04,5,1516597200000000000,4,Weekly
O:ORCL180126C00052000,2018-01-22,2018-01-26,ORCL,C,520.0,1,0.02,0.02,0.02,0.02,1,1516597200000000000,4,Weekly
O:ORCL180126P00045000,2018-01-22,2018-01-26,ORCL,P,450.0,2,0.01,0.01,0.01,0.01,1,1516597200000000000,4,Weekly
O:ORCL180126P00048000,2018-01-22,2018-01-26,ORCL,P,480.0,2,0.03,0.03,0.03,0.03,2,1516597200000000000,4,Weekly
O:ORCL180126P00049000,2018-01-22,2018-01-26,ORCL,P,490.0,21,0.03,0.04,0.04,0.03,4,1516597200000000000,4,Weekly
O:ORCL180126P00049500,2018-01-22,2018-01-26,ORCL,P,495.0,55,0.08,0.08,0.08,0.08,5,1516597200000000000,4,Weekly
O:ORCL180126P00050000,2018-01-22,2018-01-26,ORCL,P,500.0,395,0.2,0.11,0.22,0.1,37,1516597200000000000,4,Weekly
O:ORCL180126P00050500,2018-01-22,2018-01-26,ORCL,P,505.0,338,0.38,0.26,0.47,0.26,29,1516597200000000000,4,Weekly
O:ORCL180126P00051000,2018-01-22,2018-01-26,ORCL,P,510.0,22,0.76,0.55,0.76,0.55,2,1516597200000000000,4,Weekly
O:ORCL180126P00051500,2018-01-22,2018-01-26,ORCL,P,515.0,1,0.97,0.97,0.97,0.97,1,1516597200000000000,4,Weekly
O:ORCL180126P00052000,2018-01-22,2018-01-26,ORCL,P,520.0,1,1.65,1.65,1.65,1.65,1,1516597200000000000,4,Weekly
O:ORCL180126P00054000,2018-01-22,2018-01-26,ORCL,P,540.0,1,3.55,3.55,3.55,3.55,1,1516597200000000000,4,Weekly
O:ORCL180202C00043000,2018-01-29,2018-02-02,ORCL,C,430.0,3,9.15,9.15,9.15,9.15,1,1517202000000000000,4,Weekly
O:ORCL180202C00046000,2018-01-29,2018-02-02,ORCL,C,460.0,2,6.5,6.5,6.5,6.5,1,1517202000000000000,4,Weekly
O:ORCL180202C00047000,2018-01-29,2018-02-02,ORCL,C,470.0,7,5.5,5.45,5.5,5.45,2,1517202000000000000,4,Weekly
