ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:ORCL200110C00051500,2020-01-06,2020-01-10,ORCL,C,51.5,6,2.16,2.16,-4.98,NO,2.16,3.99,2.16,3.99,2.16,2.16,1,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,2.16,3.99
O:ORCL200110C00052000,2020-01-06,2020-01-10,ORCL,C,52.0,1,1.91,1.91,-4.06,NO,1.91,3.52,1.91,3.52,1.91,1.91,1,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,1.91,3.52
O:ORCL200110C00052500,2020-01-06,2020-01-10,ORCL,C,52.5,30,1.38,1.47,-3.14,NO,1.42,2.63,1.38,2.55,1.47,1.38,7,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,1.42,2.71
O:ORCL200110C00053000,2020-01-06,2020-01-10,ORCL,C,53.0,7,0.73,0.99,-2.21,NO,0.96,1.78,0.73,1.35,1.2,0.73,3,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.96,2.21
O:ORCL200110C00053500,2020-01-06,2020-01-10,ORCL,C,53.5,69,0.39,0.64,-1.29,NO,0.54,1.01,0.39,0.72,0.7,0.39,10,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.54,1.29
O:ORCL200110C00054000,2020-01-06,2020-01-10,ORCL,C,54.0,361,0.17,0.3,-0.37,NO,0.28,0.53,0.17,0.31,0.4,0.17,66,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.28,0.74
O:ORCL200110C00054500,2020-01-06,2020-01-10,ORCL,C,54.5,123,0.13,0.12,0.55,NO,0.14,0.25,0.08,0.15,0.19,0.08,28,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.14,0.35
O:ORCL200110C00055000,2020-01-06,2020-01-10,ORCL,C,55.0,46,0.05,0.04,1.48,NO,0.06,0.1,0.04,0.07,0.07,0.04,6,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.06,0.13
O:ORCL200110C00055500,2020-01-06,2020-01-10,ORCL,C,55.5,60,0.03,0.01,2.4,NO,0.02,0.04,0.01,0.02,0.03,0.01,8,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.02,0.06
O:ORCL200110C00056000,2020-01-06,2020-01-10,ORCL,C,56.0,10,0.01,0.01,3.32,NO,0.01,0.02,0.01,0.02,0.01,0.01,1,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.01,0.02
O:ORCL200110C00056500,2020-01-06,2020-01-10,ORCL,C,56.5,13,0.01,0.01,4.24,NO,0.01,0.02,0.01,0.02,0.01,0.01,2,1578286800000000000,4,Weekly,53.36,54.04,54.2,53.35,54.2,54.45,54.65,54.65,0.0155,0.01,0.02
O:ORCL200131C00049000,2020-01-27,2020-01-31,ORCL,C,49.0,7,4.35,4.35,-8.45,NO,4.35,8.13,4.35,8.13,4.35,4.35,1,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,4.35,8.13
O:ORCL200131C00051500,2020-01-27,2020-01-31,ORCL,C,51.5,4,1.36,1.36,-3.77,NO,1.36,2.54,1.36,2.54,1.36,1.36,1,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,1.36,2.54
O:ORCL200131C00052000,2020-01-27,2020-01-31,ORCL,C,52.0,61,1.52,0.98,-2.84,NO,1.23,2.29,0.93,1.74,1.52,0.93,10,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,1.23,2.84
O:ORCL200131C00052500,2020-01-27,2020-01-31,ORCL,C,52.5,67,1.17,0.64,-1.91,NO,0.9,1.69,0.64,1.2,1.17,0.64,5,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.9,2.19
O:ORCL200131C00053000,2020-01-27,2020-01-31,ORCL,C,53.0,254,0.86,0.35,-0.97,NO,0.6,1.13,0.35,0.65,0.86,0.35,19,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.6,1.61
O:ORCL200131C00053500,2020-01-27,2020-01-31,ORCL,C,53.5,196,0.51,0.19,-0.04,NO,0.36,0.67,0.19,0.36,0.53,0.19,23,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.36,0.99
O:ORCL200131C00054000,2020-01-27,2020-01-31,ORCL,C,54.0,140,0.26,0.09,0.9,NO,0.2,0.37,0.09,0.17,0.31,0.09,25,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.2,0.58
O:ORCL200131C00054500,2020-01-27,2020-01-31,ORCL,C,54.5,170,0.14,0.05,1.83,NO,0.1,0.2,0.05,0.09,0.16,0.05,25,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.1,0.3
O:ORCL200131C00055000,2020-01-27,2020-01-31,ORCL,C,55.0,1287,0.1,0.03,2.77,NO,0.06,0.11,0.02,0.04,0.1,0.02,41,1580101200000000000,4,Weekly,53.18,52.69,53.52,52.63,53.52,52.45,53.48,53.48,0.0155,0.06,0.19
