ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:PLTR230113C00004500,2023-01-09,2023-01-13,PLTR,C,45.0,1,2.02,2.02,674.66,NO,2.02,30.28,2.02,30.28,2.02,2.02,1,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,2.02,30.28
O:PLTR230113C00005000,2023-01-09,2023-01-13,PLTR,C,50.0,52,1.52,1.55,749.63,NO,1.54,23.16,1.52,22.79,1.57,1.52,6,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,1.54,23.54
O:PLTR230113C00005500,2023-01-09,2023-01-13,PLTR,C,55.0,89,1.0,1.01,824.59,NO,1.07,16.04,0.99,14.84,1.15,0.99,16,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,1.07,17.24
O:PLTR230113C00006000,2023-01-09,2023-01-13,PLTR,C,60.0,624,0.49,0.54,899.55,NO,0.58,8.7,0.48,7.2,0.68,0.48,99,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.58,10.19
O:PLTR230113C00006500,2023-01-09,2023-01-13,PLTR,C,65.0,3786,0.2,0.19,974.51,NO,0.24,3.52,0.17,2.55,0.3,0.17,630,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.24,4.5
O:PLTR230113C00007000,2023-01-09,2023-01-13,PLTR,C,70.0,9549,0.05,0.05,1049.48,NO,0.06,0.97,0.05,0.75,0.08,0.05,1015,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.06,1.2
O:PLTR230113C00007500,2023-01-09,2023-01-13,PLTR,C,75.0,3428,0.02,0.01,1124.44,NO,0.02,0.3,0.01,0.15,0.03,0.01,479,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.02,0.45
O:PLTR230113C00008000,2023-01-09,2023-01-13,PLTR,C,80.0,683,0.01,0.01,1199.4,NO,0.02,0.22,0.01,0.15,0.02,0.01,103,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.02,0.3
O:PLTR230113C00008500,2023-01-09,2023-01-13,PLTR,C,85.0,2,0.01,0.01,1274.36,NO,0.01,0.15,0.01,0.15,0.01,0.01,2,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.01,0.15
O:PLTR230113C00009000,2023-01-09,2023-01-13,PLTR,C,90.0,16,0.01,0.01,1349.33,NO,0.01,0.15,0.01,0.15,0.01,0.01,4,1673240400000000000,4,Weekly,6.49,6.5,6.67,6.4,6.67,6.96,7.01,7.01,0.0433,0.01,0.15
