ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:QCOM230113C00070000,2023-01-09,2023-01-13,QCOM,C,70.0,2,11.91,11.91,11.91,11.91,2,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00098000,2023-01-09,2023-01-13,QCOM,C,98.0,2,4.24,4.24,4.24,4.24,2,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00100000,2023-01-09,2023-01-13,QCOM,C,100.0,5,4.38,3.91,4.38,3.91,4,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00104000,2023-01-09,2023-01-13,QCOM,C,104.0,11,3.53,3.33,3.53,3.33,2,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00105000,2023-01-09,2023-01-13,QCOM,C,105.0,2,3.14,3.14,3.14,3.14,2,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00106000,2023-01-09,2023-01-13,QCOM,C,106.0,1,2.87,2.87,2.87,2.87,1,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00107000,2023-01-09,2023-01-13,QCOM,C,107.0,2,2.5,2.5,2.5,2.5,1,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00108000,2023-01-09,2023-01-13,QCOM,C,108.0,6,2.29,2.38,2.38,2.29,5,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00109000,2023-01-09,2023-01-13,QCOM,C,109.0,15,2.16,2.03,2.3,2.03,5,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00110000,2023-01-09,2023-01-13,QCOM,C,110.0,82,1.82,1.31,2.26,1.31,9,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00111000,2023-01-09,2023-01-13,QCOM,C,111.0,128,1.76,1.05,2.05,1.05,9,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00112000,2023-01-09,2023-01-13,QCOM,C,112.0,254,1.45,0.95,1.84,0.88,31,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00113000,2023-01-09,2023-01-13,QCOM,C,113.0,150,1.27,0.75,1.53,0.75,27,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00114000,2023-01-09,2023-01-13,QCOM,C,114.0,318,1.1,0.73,1.4,0.61,47,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00115000,2023-01-09,2023-01-13,QCOM,C,115.0,311,0.94,0.59,1.23,0.48,104,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
O:QCOM230113C00116000,2023-01-09,2023-01-13,QCOM,C,116.0,289,0.76,0.48,1.01,0.38,111,1673240400000000000,4,116.73,114.61,118.85,113.54,118.85,120.24,121.42,121.42
