ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:QCOM200221C00060000,2020-01-21,2020-02-21,QCOM,C,60.0,1,34.55,34.55,-37.32,YES,34.55,36.09,34.55,36.09,34.55,34.55,1,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,34.55,36.09,,
O:QCOM200221C00070000,2020-01-21,2020-02-21,QCOM,C,70.0,1,24.5,24.5,-26.87,YES,24.5,25.6,24.5,25.6,24.5,24.5,1,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,24.5,25.6,,
O:QCOM200221C00080000,2020-01-21,2020-02-21,QCOM,C,80.0,28,15.18,14.95,-16.42,YES,15.02,15.69,14.63,15.28,15.4,14.63,7,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,15.02,16.09,,
O:QCOM200221C00082500,2020-01-21,2020-02-21,QCOM,C,82.5,5,12.6,12.45,-13.81,YES,12.2,12.75,11.8,12.33,12.6,11.8,4,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,12.2,13.16,,
O:QCOM200221C00083000,2020-01-21,2020-02-21,QCOM,C,83.0,20,12.4,12.4,-13.29,YES,12.4,12.95,12.4,12.95,12.4,12.4,2,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,12.4,12.95,,
O:QCOM200221C00084000,2020-01-21,2020-02-21,QCOM,C,84.0,1,10.47,10.47,-12.24,YES,10.47,10.94,10.47,10.94,10.47,10.47,1,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,10.47,10.94,,
O:QCOM200221C00085000,2020-01-21,2020-02-21,QCOM,C,85.0,148,10.85,10.3,-11.2,YES,10.46,10.93,9.53,9.96,11.4,9.53,58,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,10.46,11.91,,
O:QCOM200221C00086000,2020-01-21,2020-02-21,QCOM,C,86.0,2,9.3,9.3,-10.15,YES,9.3,9.72,9.3,9.72,9.3,9.3,1,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,9.3,9.72,,
O:QCOM200221C00087500,2020-01-21,2020-02-21,QCOM,C,87.5,61,9.0,8.2,-8.59,YES,8.3,8.67,7.59,7.93,9.0,7.59,20,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,8.3,9.4,0.0,1.0
O:QCOM200221C00089000,2020-01-21,2020-02-21,QCOM,C,89.0,2,6.98,6.98,-7.02,YES,6.98,7.29,6.98,7.29,6.98,6.98,2,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,6.98,7.29,0.17,0.93
O:QCOM200221C00090000,2020-01-21,2020-02-21,QCOM,C,90.0,636,7.2,6.4,-5.98,NO,6.65,6.95,5.8,6.06,7.5,5.8,92,1579582800000000000,31,Monthly,95.33,94.54,95.72,93.42,95.72,87.03,89.03,89.03,0.0155,6.65,7.84,0.23,0.82
