ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:QCOM180112C00062000,2018-01-08,2018-01-12,QCOM,C,620.0,3,4.25,4.25,931.91,NO,4.25,6.39,4.25,6.39,4.25,4.25,2,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,4.25,6.39
O:QCOM180112C00065000,2018-01-08,2018-01-12,QCOM,C,650.0,5,1.31,1.31,977.0,NO,1.31,1.97,1.31,1.97,1.31,1.31,1,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,1.31,1.97
O:QCOM180112C00065500,2018-01-08,2018-01-12,QCOM,C,655.0,5,1.15,1.06,984.52,NO,1.1,1.66,1.06,1.59,1.15,1.06,2,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,1.1,1.73
O:QCOM180112C00066000,2018-01-08,2018-01-12,QCOM,C,660.0,297,0.85,0.69,992.03,NO,0.77,1.16,0.69,1.04,0.85,0.69,11,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.77,1.28
O:QCOM180112C00066500,2018-01-08,2018-01-12,QCOM,C,665.0,267,0.65,0.42,999.55,NO,0.54,0.8,0.42,0.63,0.65,0.42,28,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.54,0.98
O:QCOM180112C00067000,2018-01-08,2018-01-12,QCOM,C,670.0,564,0.32,0.25,1007.06,NO,0.35,0.53,0.25,0.38,0.45,0.25,83,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.35,0.68
O:QCOM180112C00067500,2018-01-08,2018-01-12,QCOM,C,675.0,77,0.23,0.19,1014.58,NO,0.21,0.32,0.19,0.29,0.23,0.19,15,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.21,0.35
O:QCOM180112C00068000,2018-01-08,2018-01-12,QCOM,C,680.0,146,0.14,0.1,1022.1,NO,0.14,0.22,0.1,0.15,0.19,0.1,33,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.14,0.29
O:QCOM180112C00068500,2018-01-08,2018-01-12,QCOM,C,685.0,54,0.09,0.09,1029.61,NO,0.09,0.14,0.09,0.14,0.09,0.09,11,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.09,0.14
O:QCOM180112C00069000,2018-01-08,2018-01-12,QCOM,C,690.0,62,0.04,0.08,1037.13,NO,0.06,0.09,0.04,0.06,0.08,0.04,8,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.06,0.12
O:QCOM180112C00070000,2018-01-08,2018-01-12,QCOM,C,700.0,108,0.05,0.05,1052.16,NO,0.04,0.06,0.03,0.05,0.05,0.03,3,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.04,0.08
O:QCOM180112C00070500,2018-01-08,2018-01-12,QCOM,C,705.0,58,0.01,0.01,1059.67,NO,0.01,0.02,0.01,0.02,0.01,0.01,2,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.01,0.02
O:QCOM180112C00071000,2018-01-08,2018-01-12,QCOM,C,710.0,17,0.04,0.04,1067.19,NO,0.04,0.06,0.04,0.06,0.04,0.04,2,1515387600000000000,4,Weekly,66.25,66.27,66.53,65.94,66.53,65.38,65.9,65.9,0.0141,0.04,0.06
O:QCOM180126C00064000,2018-01-22,2018-01-26,QCOM,C,640.0,3,4.25,5.01,930.91,NO,4.63,6.73,4.25,6.18,5.01,4.25,2,1516597200000000000,4,Weekly,67.81,68.67,68.75,67.7,68.75,68.53,68.53,68.53,0.0141,4.63,7.29
O:QCOM180126C00065000,2018-01-22,2018-01-26,QCOM,C,650.0,12,3.65,3.56,945.45,NO,3.58,5.2,3.5,5.09,3.65,3.5,5,1516597200000000000,4,Weekly,67.81,68.67,68.75,67.7,68.75,68.53,68.53,68.53,0.0141,3.58,5.31
O:QCOM180126C00065500,2018-01-22,2018-01-26,QCOM,C,655.0,3,2.99,2.99,952.73,NO,2.99,4.35,2.99,4.35,2.99,2.99,3,1516597200000000000,4,Weekly,67.81,68.67,68.75,67.7,68.75,68.53,68.53,68.53,0.0141,2.99,4.35
O:QCOM180126C00066000,2018-01-22,2018-01-26,QCOM,C,660.0,93,2.7,2.62,960.0,NO,2.56,3.72,2.42,3.52,2.7,2.42,16,1516597200000000000,4,Weekly,67.81,68.67,68.75,67.7,68.75,68.53,68.53,68.53,0.0141,2.56,3.93
O:QCOM180126C00066500,2018-01-22,2018-01-26,QCOM,C,665.0,12,2.19,2.13,967.27,NO,2.22,3.24,2.13,3.1,2.32,2.13,3,1516597200000000000,4,Weekly,67.81,68.67,68.75,67.7,68.75,68.53,68.53,68.53,0.0141,2.22,3.37
