ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:QCOM200110C00080000,2020-01-06,2020-01-10,QCOM,C,800.0,8,5.95,5.95,5.95,5.95,1,1578286800000000000,4,Weekly
O:QCOM200110C00081000,2020-01-06,2020-01-10,QCOM,C,810.0,4,5.27,5.27,5.27,5.27,3,1578286800000000000,4,Weekly
O:QCOM200110C00083000,2020-01-06,2020-01-10,QCOM,C,830.0,18,3.5,3.65,3.65,3.5,2,1578286800000000000,4,Weekly
O:QCOM200110C00084000,2020-01-06,2020-01-10,QCOM,C,840.0,106,2.77,2.55,2.77,2.55,2,1578286800000000000,4,Weekly
O:QCOM200110C00085000,2020-01-06,2020-01-10,QCOM,C,850.0,630,1.88,1.59,2.07,1.59,39,1578286800000000000,4,Weekly
O:QCOM200110C00086000,2020-01-06,2020-01-10,QCOM,C,860.0,1149,1.05,1.29,1.45,1.02,96,1578286800000000000,4,Weekly
O:QCOM200110C00087000,2020-01-06,2020-01-10,QCOM,C,870.0,622,0.69,0.81,0.92,0.57,151,1578286800000000000,4,Weekly
O:QCOM200110C00088000,2020-01-06,2020-01-10,QCOM,C,880.0,879,0.4,0.46,0.54,0.32,158,1578286800000000000,4,Weekly
O:QCOM200110C00089000,2020-01-06,2020-01-10,QCOM,C,890.0,354,0.23,0.24,0.3,0.16,92,1578286800000000000,4,Weekly
O:QCOM200110C00090000,2020-01-06,2020-01-10,QCOM,C,900.0,685,0.14,0.14,0.18,0.09,119,1578286800000000000,4,Weekly
O:QCOM200110C00091000,2020-01-06,2020-01-10,QCOM,C,910.0,156,0.09,0.06,0.09,0.05,37,1578286800000000000,4,Weekly
O:QCOM200110C00092000,2020-01-06,2020-01-10,QCOM,C,920.0,65,0.06,0.04,0.06,0.04,9,1578286800000000000,4,Weekly
O:QCOM200110C00093000,2020-01-06,2020-01-10,QCOM,C,930.0,7,0.03,0.02,0.04,0.02,6,1578286800000000000,4,Weekly
O:QCOM200110C00094000,2020-01-06,2020-01-10,QCOM,C,940.0,12,0.02,0.02,0.02,0.02,1,1578286800000000000,4,Weekly
O:QCOM200110C00095000,2020-01-06,2020-01-10,QCOM,C,950.0,1,0.04,0.04,0.04,0.04,1,1578286800000000000,4,Weekly
O:QCOM200110P00080000,2020-01-06,2020-01-10,QCOM,P,800.0,123,0.07,0.05,0.07,0.05,7,1578286800000000000,4,Weekly
O:QCOM200110P00081000,2020-01-06,2020-01-10,QCOM,P,810.0,8,0.09,0.06,0.09,0.06,4,1578286800000000000,4,Weekly
O:QCOM200110P00082000,2020-01-06,2020-01-10,QCOM,P,820.0,65,0.18,0.11,0.24,0.11,19,1578286800000000000,4,Weekly
O:QCOM200110P00083000,2020-01-06,2020-01-10,QCOM,P,830.0,139,0.32,0.18,0.36,0.17,40,1578286800000000000,4,Weekly
O:QCOM200110P00084000,2020-01-06,2020-01-10,QCOM,P,840.0,273,0.59,0.27,0.59,0.27,41,1578286800000000000,4,Weekly
O:QCOM200110P00085000,2020-01-06,2020-01-10,QCOM,P,850.0,360,0.84,0.46,0.94,0.46,89,1578286800000000000,4,Weekly
O:QCOM200110P00086000,2020-01-06,2020-01-10,QCOM,P,860.0,736,1.31,0.78,1.4,0.78,106,1578286800000000000,4,Weekly
O:QCOM200110P00087000,2020-01-06,2020-01-10,QCOM,P,870.0,253,1.66,1.37,2.02,1.37,26,1578286800000000000,4,Weekly
O:QCOM200110P00088000,2020-01-06,2020-01-10,QCOM,P,880.0,153,2.61,1.93,2.62,1.93,22,1578286800000000000,4,Weekly
