ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:QQQ210108C00200000,2021-01-04,2021-01-08,QQQ,C,200.0,5,27.13,27.12,63.43,YES,27.12,8.6,27.12,8.6,27.13,27.12,3,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,27.12,8.6
O:QQQ210108C00230000,2021-01-04,2021-01-08,QQQ,C,230.0,3,19.77,19.77,72.95,YES,19.77,6.27,19.77,6.27,19.77,19.77,1,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,19.77,6.27
O:QQQ210108C00260000,2021-01-04,2021-01-08,QQQ,C,260.0,2,13.34,13.34,82.46,YES,13.34,4.23,13.34,4.23,13.34,13.34,1,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,13.34,4.23
O:QQQ210108C00265000,2021-01-04,2021-01-08,QQQ,C,265.0,1,11.71,11.71,84.05,YES,11.71,3.71,11.71,3.71,11.71,11.71,1,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,11.71,3.71
O:QQQ210108C00270000,2021-01-04,2021-01-08,QQQ,C,270.0,7,9.25,9.56,85.64,YES,9.4,2.98,9.25,2.93,9.56,9.25,3,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,9.4,3.03
O:QQQ210108C00272000,2021-01-04,2021-01-08,QQQ,C,272.0,4,9.07,9.07,86.27,YES,9.07,2.88,9.07,2.88,9.07,9.07,1,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,9.07,2.88
O:QQQ210108C00280000,2021-01-04,2021-01-08,QQQ,C,280.0,19,8.81,7.1,88.81,YES,7.76,2.46,6.72,2.13,8.81,6.72,10,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,7.76,2.79
O:QQQ210108C00281000,2021-01-04,2021-01-08,QQQ,C,281.0,10,8.14,7.12,89.12,YES,7.63,2.42,7.12,2.26,8.14,7.12,2,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,7.63,2.58
O:QQQ210108C00282000,2021-01-04,2021-01-08,QQQ,C,282.0,3,6.1,6.1,89.44,YES,6.1,1.93,6.1,1.93,6.1,6.1,2,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,6.1,1.93
O:QQQ210108C00284000,2021-01-04,2021-01-08,QQQ,C,284.0,10,6.44,6.44,90.08,YES,6.44,2.04,6.44,2.04,6.44,6.44,1,1609736400000000000,4,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,6.44,2.04
