ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:QQQ230113C00236000,2023-01-09,2023-01-13,QQQ,C,236.0,2,9.41,9.41,9.41,9.41,1,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00240000,2023-01-09,2023-01-13,QQQ,C,240.0,10,8.64,8.65,8.65,8.64,2,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00242000,2023-01-09,2023-01-13,QQQ,C,242.0,2,7.28,7.28,7.28,7.28,2,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00248000,2023-01-09,2023-01-13,QQQ,C,248.0,1,6.64,6.64,6.64,6.64,1,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00249000,2023-01-09,2023-01-13,QQQ,C,249.0,1,6.07,6.07,6.07,6.07,1,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00250000,2023-01-09,2023-01-13,QQQ,C,250.0,88,5.3,5.32,6.3,5.3,23,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00251000,2023-01-09,2023-01-13,QQQ,C,251.0,11,6.02,5.22,6.02,5.22,2,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00252000,2023-01-09,2023-01-13,QQQ,C,252.0,7,5.62,5.43,5.62,5.43,2,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00253000,2023-01-09,2023-01-13,QQQ,C,253.0,6,4.81,4.39,5.11,4.39,3,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00254000,2023-01-09,2023-01-13,QQQ,C,254.0,7,4.28,4.87,4.87,4.28,4,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00255000,2023-01-09,2023-01-13,QQQ,C,255.0,17,4.33,4.39,4.91,4.1,10,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00256000,2023-01-09,2023-01-13,QQQ,C,256.0,20,4.05,3.86,4.67,3.86,10,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00257000,2023-01-09,2023-01-13,QQQ,C,257.0,14,4.18,4.03,4.54,4.03,11,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00258000,2023-01-09,2023-01-13,QQQ,C,258.0,41,3.45,3.89,4.35,3.45,15,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00259000,2023-01-09,2023-01-13,QQQ,C,259.0,53,3.37,3.11,4.16,3.11,11,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00260000,2023-01-09,2023-01-13,QQQ,C,260.0,213,3.14,3.03,3.94,2.95,74,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00261000,2023-01-09,2023-01-13,QQQ,C,261.0,165,2.82,2.92,3.68,2.79,38,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
O:QQQ230113C00262000,2023-01-09,2023-01-13,QQQ,C,262.0,206,2.73,2.48,3.5,2.46,46,1673240400000000000,4,270.83,270.54,275.29,269.92,275.29,280.97,281.22,281.22
