ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:XLK160219C00039000,2016-01-19,2016-02-19,XLK,C,39.0,2.0,1.46,1.46,-61.9,YES,1.46,2.95,1.46,2.95,1.46,1.46,1.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,1.46,2.95,,
O:XLK160219C00040000,2016-01-19,2016-02-19,XLK,C,40.0,76.0,1.05,0.84,-60.93,YES,0.92,1.87,0.8,1.62,1.05,0.8,6.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.92,2.12,,
O:XLK160219C00040500,2016-01-19,2016-02-19,XLK,C,40.5,21.0,0.62,0.52,-60.44,YES,0.57,1.15,0.52,1.05,0.62,0.52,4.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.57,1.25,,
O:XLK160219C00041000,2016-01-19,2016-02-19,XLK,C,41.0,513.0,0.5,0.43,-59.95,YES,0.46,0.94,0.38,0.77,0.55,0.38,43.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.46,1.11,,
O:XLK160219C00041500,2016-01-19,2016-02-19,XLK,C,41.5,1.0,0.29,0.29,-59.46,YES,0.29,0.59,0.29,0.59,0.29,0.29,1.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.29,0.59,,
O:XLK160219C00042000,2016-01-19,2016-02-19,XLK,C,42.0,35.0,0.16,0.15,-58.97,YES,0.16,0.33,0.15,0.3,0.18,0.15,6.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.16,0.36,,
O:XLK160219C00042500,2016-01-19,2016-02-19,XLK,C,42.5,12.0,0.1,0.1,-58.48,YES,0.1,0.2,0.1,0.2,0.1,0.1,1.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.1,0.2,,
O:XLK160219C00043000,2016-01-19,2016-02-19,XLK,C,43.0,478.0,0.07,0.06,-58.0,YES,0.06,0.12,0.05,0.1,0.07,0.05,65.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.06,0.14,,
O:XLK160219C00044000,2016-01-19,2016-02-19,XLK,C,44.0,2.0,0.02,0.02,-57.02,YES,0.02,0.04,0.02,0.04,0.02,0.02,1.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.02,0.04,,
O:XLK160219C00046000,2016-01-19,2016-02-19,XLK,C,46.0,20.0,0.01,0.01,-55.06,YES,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1453179600000000000,31.0,Monthly,102.2,101.06,102.37,99.88,102.37,101.63,101.94,101.94,0.0034,0.01,0.02,,
O:XLK160219C00037000,2016-01-20,2016-02-19,XLK,C,37.0,1.0,2.18,2.18,-63.66,YES,2.18,4.4,2.18,4.4,2.18,2.18,1.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,2.18,4.4,,
O:XLK160219C00037500,2016-01-20,2016-02-19,XLK,C,37.5,1.0,1.82,1.82,-63.17,YES,1.82,3.68,1.82,3.68,1.82,1.82,1.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,1.82,3.68,,
O:XLK160219C00039000,2016-01-20,2016-02-19,XLK,C,39.0,67.0,1.0,1.32,-61.7,YES,1.14,2.29,0.94,1.9,1.33,0.94,8.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,1.14,2.69,,
O:XLK160219C00039500,2016-01-20,2016-02-19,XLK,C,39.5,23.0,1.04,1.04,-61.21,YES,1.04,2.1,1.04,2.1,1.04,1.04,1.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,1.04,2.1,,
O:XLK160219C00040000,2016-01-20,2016-02-19,XLK,C,40.0,156.0,0.53,0.79,-60.72,YES,0.65,1.31,0.45,0.91,0.85,0.45,9.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.65,1.72,,
O:XLK160219C00040500,2016-01-20,2016-02-19,XLK,C,40.5,7.0,0.35,0.45,-60.23,YES,0.4,0.81,0.35,0.71,0.45,0.35,2.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.4,0.91,,
O:XLK160219C00041000,2016-01-20,2016-02-19,XLK,C,41.0,13.0,0.29,0.2,-59.74,YES,0.24,0.49,0.2,0.4,0.29,0.2,4.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.24,0.59,,
O:XLK160219C00041500,2016-01-20,2016-02-19,XLK,C,41.5,2.0,0.28,0.28,-59.25,YES,0.28,0.57,0.28,0.57,0.28,0.28,1.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.28,0.57,,
O:XLK160219C00042000,2016-01-20,2016-02-19,XLK,C,42.0,29.0,0.11,0.11,-58.75,YES,0.1,0.21,0.09,0.18,0.12,0.09,7.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.1,0.24,,
O:XLK160219C00043000,2016-01-20,2016-02-19,XLK,C,43.0,17.0,0.05,0.06,-57.77,YES,0.06,0.11,0.03,0.06,0.08,0.03,6.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.06,0.16,,
O:XLK160219C00044000,2016-01-20,2016-02-19,XLK,C,44.0,19.0,0.02,0.02,-56.79,YES,0.02,0.05,0.02,0.04,0.03,0.02,6.0,1453266000000000000,30.0,Monthly,99.48,100.75,101.83,97.25,101.83,101.63,101.94,101.94,0.0034,0.02,0.06,,
O:XLK160219C00038000,2016-01-21,2016-02-19,XLK,C,38.0,2.0,1.9,1.9,-62.87,YES,1.9,3.84,1.9,3.84,1.9,1.9,1.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,1.9,3.84,,
O:XLK160219C00039500,2016-01-21,2016-02-19,XLK,C,39.5,21.0,0.99,0.99,-61.41,YES,0.99,2.0,0.99,2.0,0.99,0.99,2.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.99,2.0,,
O:XLK160219C00040000,2016-01-21,2016-02-19,XLK,C,40.0,176.0,0.73,0.82,-60.92,YES,0.8,1.62,0.73,1.47,0.87,0.73,12.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.8,1.76,,
O:XLK160219C00040500,2016-01-21,2016-02-19,XLK,C,40.5,124.0,0.51,0.55,-60.43,YES,0.59,1.19,0.5,1.01,0.68,0.5,10.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.59,1.37,,
O:XLK160219C00041000,2016-01-21,2016-02-19,XLK,C,41.0,121.0,0.38,0.41,-59.94,YES,0.44,0.9,0.38,0.77,0.51,0.38,6.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.44,1.03,,
O:XLK160219C00041500,2016-01-21,2016-02-19,XLK,C,41.5,414.0,0.28,0.33,-59.45,YES,0.3,0.62,0.28,0.57,0.33,0.28,3.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.3,0.67,,
O:XLK160219C00042500,2016-01-21,2016-02-19,XLK,C,42.5,51.0,0.14,0.09,-58.48,YES,0.12,0.23,0.09,0.18,0.14,0.09,5.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.12,0.28,,
O:XLK160219C00043000,2016-01-21,2016-02-19,XLK,C,43.0,10.0,0.05,0.05,-57.99,YES,0.05,0.1,0.05,0.1,0.05,0.05,1.0,1453352400000000000,29.0,Monthly,101.19,100.85,102.35,99.82,102.35,101.63,101.94,101.94,0.0034,0.05,0.1,,
O:XLK160219C00040000,2016-01-22,2016-02-19,XLK,C,40.0,38.0,1.12,1.21,-61.47,YES,1.16,2.33,1.1,2.22,1.21,1.1,11.0,1453438800000000000,28.0,Monthly,102.84,103.77,103.81,102.53,103.81,101.63,101.94,101.94,0.0034,1.16,2.44,,
O:XLK160219C00040500,2016-01-22,2016-02-19,XLK,C,40.5,11.0,0.83,0.81,-60.99,YES,0.82,1.66,0.81,1.64,0.83,0.81,2.0,1453438800000000000,28.0,Monthly,102.84,103.77,103.81,102.53,103.81,101.63,101.94,101.94,0.0034,0.82,1.68,,
O:XLK160219C00041000,2016-01-22,2016-02-19,XLK,C,41.0,6.0,0.59,0.6,-60.5,YES,0.6,1.2,0.59,1.19,0.6,0.59,2.0,1453438800000000000,28.0,Monthly,102.84,103.77,103.81,102.53,103.81,101.63,101.94,101.94,0.0034,0.6,1.21,,
O:XLK160219C00041500,2016-01-22,2016-02-19,XLK,C,41.5,29.0,0.41,0.37,-60.02,YES,0.39,0.79,0.37,0.75,0.41,0.37,3.0,1453438800000000000,28.0,Monthly,102.84,103.77,103.81,102.53,103.81,101.63,101.94,101.94,0.0034,0.39,0.83,,
