ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLK190215C00059000,2019-01-14,2019-02-15,XLK,C,59.0,4,4.75,4.8,-31.24,YES,4.8,8.1356,4.75,8.0508,4.8,4.75,3,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00060000,2019-01-14,2019-02-15,XLK,C,60.0,19,4.05,4.07,-30.07,YES,4.07,6.7833,4.05,6.75,4.07,4.05,3,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00062000,2019-01-14,2019-02-15,XLK,C,62.0,17,2.51,2.57,-27.74,YES,2.57,4.1452,2.51,4.0484,2.58,2.51,8,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00063000,2019-01-14,2019-02-15,XLK,C,63.0,375,2.01,1.85,-26.57,YES,1.85,2.9365,2.01,3.1905,2.01,1.82,38,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00064000,2019-01-14,2019-02-15,XLK,C,64.0,146,1.55,1.33,-25.41,YES,1.33,2.0781,1.55,2.4219,1.55,1.31,35,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00065000,2019-01-14,2019-02-15,XLK,C,65.0,59,0.89,0.87,-24.24,YES,0.87,1.3385,0.89,1.3692,0.95,0.85,34,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00066000,2019-01-14,2019-02-15,XLK,C,66.0,133,0.6,0.51,-23.08,YES,0.51,0.7727,0.6,0.9091,0.63,0.51,20,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00067000,2019-01-14,2019-02-15,XLK,C,67.0,37,0.37,0.28,-21.91,YES,0.28,0.4179,0.37,0.5522,0.37,0.28,15,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00068000,2019-01-14,2019-02-15,XLK,C,68.0,8,0.17,0.16,-20.75,YES,0.16,0.2353,0.17,0.25,0.17,0.16,2,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00069000,2019-01-14,2019-02-15,XLK,C,69.0,2,0.08,0.07,-19.58,YES,0.07,0.1014,0.08,0.1159,0.08,0.07,2,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00070000,2019-01-14,2019-02-15,XLK,C,70.0,22,0.15,0.03,-18.41,YES,0.03,0.0429,0.15,0.2143,0.15,0.02,17,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00071000,2019-01-14,2019-02-15,XLK,C,71.0,8,0.03,0.02,-17.25,YES,0.02,0.0282,0.03,0.0423,0.03,0.02,5,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00072000,2019-01-14,2019-02-15,XLK,C,72.0,3,0.03,0.01,-16.08,YES,0.01,0.0139,0.03,0.0417,0.03,0.01,3,1547442000000000000,32,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00059000,2019-01-15,2019-02-15,XLK,C,59.0,1,5.57,5.57,-31.24,YES,5.57,9.4407,5.57,9.4407,5.57,5.57,1,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00060000,2019-01-15,2019-02-15,XLK,C,60.0,5,4.5,4.5,-30.07,YES,4.5,7.5,4.5,7.5,4.5,4.5,5,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00062000,2019-01-15,2019-02-15,XLK,C,62.0,26,2.97,2.92,-27.74,YES,2.92,4.7097,2.97,4.7903,2.97,2.92,8,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00063000,2019-01-15,2019-02-15,XLK,C,63.0,31,2.2,2.31,-26.57,YES,2.31,3.6667,2.2,3.4921,2.31,2.19,12,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00064000,2019-01-15,2019-02-15,XLK,C,64.0,83,1.57,1.69,-25.41,YES,1.69,2.6406,1.57,2.4531,1.75,1.57,38,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00065000,2019-01-15,2019-02-15,XLK,C,65.0,217,0.99,1.17,-24.24,YES,1.17,1.8,0.99,1.5231,1.18,0.99,54,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00066000,2019-01-15,2019-02-15,XLK,C,66.0,89,0.6,0.7,-23.08,YES,0.7,1.0606,0.6,0.9091,0.73,0.6,12,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00067000,2019-01-15,2019-02-15,XLK,C,67.0,177,0.3,0.39,-21.91,YES,0.39,0.5821,0.3,0.4478,0.43,0.3,25,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00068000,2019-01-15,2019-02-15,XLK,C,68.0,46,0.21,0.22,-20.75,YES,0.22,0.3235,0.21,0.3088,0.22,0.18,11,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00069000,2019-01-15,2019-02-15,XLK,C,69.0,6,0.1,0.1,-19.58,YES,0.1,0.1449,0.1,0.1449,0.1,0.1,2,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00070000,2019-01-15,2019-02-15,XLK,C,70.0,5,0.03,0.04,-18.41,YES,0.04,0.0571,0.03,0.0429,0.04,0.03,5,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00071000,2019-01-15,2019-02-15,XLK,C,71.0,4,0.02,0.02,-17.25,YES,0.02,0.0282,0.02,0.0282,0.02,0.02,2,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00072000,2019-01-15,2019-02-15,XLK,C,72.0,6,0.01,0.02,-16.08,YES,0.02,0.0278,0.01,0.0139,0.02,0.01,3,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00074000,2019-01-15,2019-02-15,XLK,C,74.0,1,0.02,0.02,-13.75,YES,0.02,0.027,0.02,0.027,0.02,0.02,1,1547528400000000000,31,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00053000,2019-01-16,2019-02-15,XLK,C,53.0,4,11.35,11.35,-38.23,YES,11.35,21.4151,11.35,21.4151,11.35,11.35,3,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00059000,2019-01-16,2019-02-15,XLK,C,59.0,16,5.5,5.5,-31.24,YES,5.5,9.322,5.5,9.322,5.5,5.5,1,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00060000,2019-01-16,2019-02-15,XLK,C,60.0,5,4.95,4.72,-30.07,YES,4.72,7.8667,4.95,8.25,4.95,4.61,4,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00062000,2019-01-16,2019-02-15,XLK,C,62.0,2,3.15,3.15,-27.74,YES,3.15,5.0806,3.15,5.0806,3.15,3.15,1,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00063000,2019-01-16,2019-02-15,XLK,C,63.0,16,2.31,2.32,-26.57,YES,2.32,3.6825,2.31,3.6667,2.44,2.31,5,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00064000,2019-01-16,2019-02-15,XLK,C,64.0,151,1.78,1.75,-25.41,YES,1.75,2.7344,1.78,2.7812,1.88,1.65,42,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00065000,2019-01-16,2019-02-15,XLK,C,65.0,91,1.19,1.14,-24.24,YES,1.14,1.7538,1.19,1.8308,1.31,1.11,36,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00066000,2019-01-16,2019-02-15,XLK,C,66.0,89,0.77,0.71,-23.08,YES,0.71,1.0758,0.77,1.1667,0.77,0.68,13,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00067000,2019-01-16,2019-02-15,XLK,C,67.0,4,0.42,0.39,-21.91,YES,0.39,0.5821,0.42,0.6269,0.42,0.38,4,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00068000,2019-01-16,2019-02-15,XLK,C,68.0,18,0.19,0.19,-20.75,YES,0.19,0.2794,0.19,0.2794,0.2,0.18,11,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00069000,2019-01-16,2019-02-15,XLK,C,69.0,2,0.08,0.08,-19.58,YES,0.08,0.1159,0.08,0.1159,0.08,0.08,1,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00071000,2019-01-16,2019-02-15,XLK,C,71.0,1,0.02,0.02,-17.25,YES,0.02,0.0282,0.02,0.0282,0.02,0.02,1,1547614800000000000,30,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00059000,2019-01-17,2019-02-15,XLK,C,59.0,1,5.64,5.64,-31.24,YES,5.64,9.5593,5.64,9.5593,5.64,5.64,1,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00060000,2019-01-17,2019-02-15,XLK,C,60.0,2,4.3,4.3,-30.07,YES,4.3,7.1667,4.3,7.1667,4.3,4.3,1,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00061000,2019-01-17,2019-02-15,XLK,C,61.0,34,3.8,4.4,-28.9,YES,4.4,7.2131,3.8,6.2295,4.4,3.8,6,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00062000,2019-01-17,2019-02-15,XLK,C,62.0,8,2.8,2.99,-27.74,YES,2.99,4.8226,2.8,4.5161,3.0,2.8,5,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00063000,2019-01-17,2019-02-15,XLK,C,63.0,32,2.18,2.55,-26.57,YES,2.55,4.0476,2.18,3.4603,2.68,2.18,11,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00064000,2019-01-17,2019-02-15,XLK,C,64.0,268,1.44,1.81,-25.41,YES,1.81,2.8281,1.44,2.25,2.0,1.44,52,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00065000,2019-01-17,2019-02-15,XLK,C,65.0,131,1.01,1.26,-24.24,YES,1.26,1.9385,1.01,1.5538,1.41,1.0,38,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00066000,2019-01-17,2019-02-15,XLK,C,66.0,81,0.53,0.8,-23.08,YES,0.8,1.2121,0.53,0.803,0.89,0.53,13,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00067000,2019-01-17,2019-02-15,XLK,C,67.0,88,0.24,0.45,-21.91,YES,0.45,0.6716,0.24,0.3582,0.45,0.24,11,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00068000,2019-01-17,2019-02-15,XLK,C,68.0,4,0.19,0.26,-20.75,YES,0.26,0.3824,0.19,0.2794,0.26,0.18,4,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00069000,2019-01-17,2019-02-15,XLK,C,69.0,8,0.09,0.09,-19.58,YES,0.09,0.1304,0.09,0.1304,0.09,0.09,3,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00070000,2019-01-17,2019-02-15,XLK,C,70.0,26,0.04,0.05,-18.41,YES,0.05,0.0714,0.04,0.0571,0.05,0.03,5,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00071000,2019-01-17,2019-02-15,XLK,C,71.0,3,0.02,0.03,-17.25,YES,0.03,0.0423,0.02,0.0282,0.03,0.02,2,1547701200000000000,29,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00050000,2019-01-18,2019-02-15,XLK,C,50.0,4,15.3,15.3,-41.72,YES,15.3,30.6,15.3,30.6,15.3,15.3,4,1547787600000000000,28,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00057000,2019-01-18,2019-02-15,XLK,C,57.0,8,8.55,8.55,-33.57,YES,8.55,15.0,8.55,15.0,8.55,8.55,4,1547787600000000000,28,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00059000,2019-01-18,2019-02-15,XLK,C,59.0,1,6.07,6.07,-31.24,YES,6.07,10.2881,6.07,10.2881,6.07,6.07,1,1547787600000000000,28,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00060000,2019-01-18,2019-02-15,XLK,C,60.0,10,5.65,5.65,-30.07,YES,5.65,9.4167,5.65,9.4167,5.65,5.65,1,1547787600000000000,28,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
O:XLK190215C00061000,2019-01-18,2019-02-15,XLK,C,61.0,1,4.5,4.5,-28.9,YES,4.5,7.377,4.5,7.377,4.5,4.5,1,1547787600000000000,28,Monthly,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
