ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,implied_volatility,probability_itm
O:QQQ200221C00159000,2020-01-21,2020-02-21,QQQ,C,1590.0,2,64.1,64.86,64.86,64.1,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00177000,2020-01-21,2020-02-21,QQQ,C,1770.0,2,46.18,46.92,46.92,46.18,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00178000,2020-01-21,2020-02-21,QQQ,C,1780.0,1,45.58,45.58,45.58,45.58,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00180000,2020-01-21,2020-02-21,QQQ,C,1800.0,6,43.5,43.5,43.5,43.5,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00184000,2020-01-21,2020-02-21,QQQ,C,1840.0,2,39.5,40.05,40.05,39.5,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00189000,2020-01-21,2020-02-21,QQQ,C,1890.0,12,34.61,35.1,35.1,34.61,5,1579582800000000000,31,Monthly,,
O:QQQ200221C00190000,2020-01-21,2020-02-21,QQQ,C,1900.0,1,33.33,33.33,33.33,33.33,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00191000,2020-01-21,2020-02-21,QQQ,C,1910.0,1,32.71,32.71,32.71,32.71,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00195000,2020-01-21,2020-02-21,QQQ,C,1950.0,5,29.0,29.0,29.0,29.0,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00196000,2020-01-21,2020-02-21,QQQ,C,1960.0,2,28.08,28.08,28.08,28.08,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00197000,2020-01-21,2020-02-21,QQQ,C,1970.0,2,26.53,26.69,26.69,26.53,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00198000,2020-01-21,2020-02-21,QQQ,C,1980.0,10,25.58,26.19,26.19,25.58,3,1579582800000000000,31,Monthly,,
O:QQQ200221C00200000,2020-01-21,2020-02-21,QQQ,C,2000.0,35,23.58,23.6,24.08,23.58,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00202000,2020-01-21,2020-02-21,QQQ,C,2020.0,1,21.91,21.91,21.91,21.91,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00203000,2020-01-21,2020-02-21,QQQ,C,2030.0,44,21.07,21.39,21.39,20.83,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00204000,2020-01-21,2020-02-21,QQQ,C,2040.0,10,20.04,20.08,20.09,20.04,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00205000,2020-01-21,2020-02-21,QQQ,C,2050.0,16,18.84,19.03,19.52,18.84,5,1579582800000000000,31,Monthly,,
O:QQQ200221C00206000,2020-01-21,2020-02-21,QQQ,C,2060.0,2,18.16,18.39,18.39,18.16,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00207000,2020-01-21,2020-02-21,QQQ,C,2070.0,21,17.45,16.91,17.45,16.91,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00208000,2020-01-21,2020-02-21,QQQ,C,2080.0,6,16.15,16.74,16.74,16.0,3,1579582800000000000,31,Monthly,,
O:QQQ200221C00209000,2020-01-21,2020-02-21,QQQ,C,2090.0,157,15.07,15.32,15.75,14.94,96,1579582800000000000,31,Monthly,,
O:QQQ200221C00210000,2020-01-21,2020-02-21,QQQ,C,2100.0,12,14.23,14.55,14.55,14.21,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00211000,2020-01-21,2020-02-21,QQQ,C,2110.0,14,13.29,13.58,13.65,13.29,5,1579582800000000000,31,Monthly,,
O:QQQ200221C00212000,2020-01-21,2020-02-21,QQQ,C,2120.0,9,12.75,12.77,13.04,12.75,4,1579582800000000000,31,Monthly,,
O:QQQ200221C00213000,2020-01-21,2020-02-21,QQQ,C,2130.0,23,11.83,11.83,12.22,11.74,11,1579582800000000000,31,Monthly,,
O:QQQ200221C00214000,2020-01-21,2020-02-21,QQQ,C,2140.0,57,10.52,10.88,11.3,10.52,11,1579582800000000000,31,Monthly,,
O:QQQ200221C00215000,2020-01-21,2020-02-21,QQQ,C,2150.0,71,9.85,10.24,10.46,9.85,15,1579582800000000000,31,Monthly,,
O:QQQ200221C00216000,2020-01-21,2020-02-21,QQQ,C,2160.0,13,9.1,9.39,9.6,9.06,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00217000,2020-01-21,2020-02-21,QQQ,C,2170.0,392,8.2,8.51,8.82,8.2,41,1579582800000000000,31,Monthly,,
O:QQQ200221C00218000,2020-01-21,2020-02-21,QQQ,C,2180.0,98,7.43,7.94,8.01,7.43,38,1579582800000000000,31,Monthly,,
O:QQQ200221C00219000,2020-01-21,2020-02-21,QQQ,C,2190.0,514,6.77,6.69,7.2,6.65,48,1579582800000000000,31,Monthly,,
O:QQQ200221C00220000,2020-01-21,2020-02-21,QQQ,C,2200.0,1575,5.83,6.25,6.4,5.83,132,1579582800000000000,31,Monthly,,
O:QQQ200221C00221000,2020-01-21,2020-02-21,QQQ,C,2210.0,1181,5.25,5.48,5.7,5.15,104,1579582800000000000,31,Monthly,,
O:QQQ200221C00222000,2020-01-21,2020-02-21,QQQ,C,2220.0,1472,4.52,4.7,5.02,4.5,139,1579582800000000000,31,Monthly,,
O:QQQ200221C00222500,2020-01-21,2020-02-21,QQQ,C,2225.0,905,4.31,4.54,4.68,4.23,81,1579582800000000000,31,Monthly,,
O:QQQ200221C00223000,2020-01-21,2020-02-21,QQQ,C,2230.0,3082,3.92,4.06,4.36,3.88,332,1579582800000000000,31,Monthly,,
O:QQQ200221C00224000,2020-01-21,2020-02-21,QQQ,C,2240.0,5014,3.34,3.63,3.74,3.33,269,1579582800000000000,31,Monthly,,
O:QQQ200221C00225000,2020-01-21,2020-02-21,QQQ,C,2250.0,4687,2.83,2.91,3.16,2.79,323,1579582800000000000,31,Monthly,,
O:QQQ200221C00226000,2020-01-21,2020-02-21,QQQ,C,2260.0,870,2.3,2.45,2.64,2.3,161,1579582800000000000,31,Monthly,,
O:QQQ200221C00227000,2020-01-21,2020-02-21,QQQ,C,2270.0,3697,1.93,2.02,2.19,1.86,180,1579582800000000000,31,Monthly,,
O:QQQ200221C00227500,2020-01-21,2020-02-21,QQQ,C,2275.0,221,1.83,1.77,1.96,1.71,39,1579582800000000000,31,Monthly,,
O:QQQ200221C00228000,2020-01-21,2020-02-21,QQQ,C,2280.0,324,1.55,1.58,1.75,1.5,68,1579582800000000000,31,Monthly,,
O:QQQ200221C00229000,2020-01-21,2020-02-21,QQQ,C,2290.0,489,1.29,1.28,1.39,1.18,53,1579582800000000000,31,Monthly,,
O:QQQ200221C00230000,2020-01-21,2020-02-21,QQQ,C,2300.0,4937,0.97,0.95,1.09,0.92,170,1579582800000000000,31,Monthly,,
O:QQQ200221C00231000,2020-01-21,2020-02-21,QQQ,C,2310.0,1307,0.75,0.75,0.83,0.69,47,1579582800000000000,31,Monthly,,
O:QQQ200221C00232000,2020-01-21,2020-02-21,QQQ,C,2320.0,3031,0.58,0.61,0.64,0.52,75,1579582800000000000,31,Monthly,,
O:QQQ200221C00232500,2020-01-21,2020-02-21,QQQ,C,2325.0,6379,0.48,0.47,0.55,0.46,30,1579582800000000000,31,Monthly,,
O:QQQ200221C00233000,2020-01-21,2020-02-21,QQQ,C,2330.0,151,0.43,0.42,0.47,0.36,24,1579582800000000000,31,Monthly,,
O:QQQ200221C00234000,2020-01-21,2020-02-21,QQQ,C,2340.0,4665,0.34,0.3,0.35,0.29,48,1579582800000000000,31,Monthly,,
O:QQQ200221C00235000,2020-01-21,2020-02-21,QQQ,C,2350.0,732,0.25,0.25,0.26,0.19,28,1579582800000000000,31,Monthly,,
O:QQQ200221C00236000,2020-01-21,2020-02-21,QQQ,C,2360.0,90,0.18,0.17,0.2,0.16,10,1579582800000000000,31,Monthly,,
O:QQQ200221C00237000,2020-01-21,2020-02-21,QQQ,C,2370.0,125,0.15,0.13,0.15,0.13,7,1579582800000000000,31,Monthly,,
O:QQQ200221C00237500,2020-01-21,2020-02-21,QQQ,C,2375.0,4,0.13,0.1,0.13,0.1,3,1579582800000000000,31,Monthly,,
O:QQQ200221C00238000,2020-01-21,2020-02-21,QQQ,C,2380.0,64,0.11,0.1,0.11,0.1,12,1579582800000000000,31,Monthly,,
O:QQQ200221C00239000,2020-01-21,2020-02-21,QQQ,C,2390.0,132,0.07,0.08,0.08,0.07,5,1579582800000000000,31,Monthly,,
O:QQQ200221C00240000,2020-01-21,2020-02-21,QQQ,C,2400.0,48,0.05,0.06,0.07,0.04,12,1579582800000000000,31,Monthly,,
O:QQQ200221C00241000,2020-01-21,2020-02-21,QQQ,C,2410.0,118,0.06,0.04,0.06,0.04,6,1579582800000000000,31,Monthly,,
O:QQQ200221C00242000,2020-01-21,2020-02-21,QQQ,C,2420.0,4,0.04,0.04,0.04,0.04,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00243000,2020-01-21,2020-02-21,QQQ,C,2430.0,15,0.02,0.03,0.03,0.02,2,1579582800000000000,31,Monthly,,
O:QQQ200221C00246000,2020-01-21,2020-02-21,QQQ,C,2460.0,2,0.02,0.02,0.02,0.02,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00250000,2020-01-21,2020-02-21,QQQ,C,2500.0,10,0.01,0.01,0.01,0.01,1,1579582800000000000,31,Monthly,,
O:QQQ200221C00130000,2020-01-22,2020-02-21,QQQ,C,1300.0,23,94.96,95.3,95.3,94.96,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00159000,2020-01-22,2020-02-21,QQQ,C,1590.0,2,66.12,66.05,66.12,66.05,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00177000,2020-01-22,2020-02-21,QQQ,C,1770.0,2,48.22,48.1,48.22,48.1,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00180000,2020-01-22,2020-02-21,QQQ,C,1800.0,3,44.82,45.3,45.3,44.82,3,1579669200000000000,30,Monthly,,
O:QQQ200221C00186000,2020-01-22,2020-02-21,QQQ,C,1860.0,51,39.3,39.23,39.3,39.23,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00187000,2020-01-22,2020-02-21,QQQ,C,1870.0,1,38.11,38.11,38.11,38.11,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00188000,2020-01-22,2020-02-21,QQQ,C,1880.0,3,37.21,37.21,37.21,37.21,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00189000,2020-01-22,2020-02-21,QQQ,C,1890.0,14,35.8,36.17,36.17,35.73,5,1579669200000000000,30,Monthly,,
O:QQQ200221C00190000,2020-01-22,2020-02-21,QQQ,C,1900.0,4,35.12,34.39,35.12,34.39,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00191000,2020-01-22,2020-02-21,QQQ,C,1910.0,2,34.18,34.18,34.18,34.18,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00192000,2020-01-22,2020-02-21,QQQ,C,1920.0,1,33.3,33.3,33.3,33.3,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00193000,2020-01-22,2020-02-21,QQQ,C,1930.0,5,32.3,32.3,32.3,32.3,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00194000,2020-01-22,2020-02-21,QQQ,C,1940.0,2,31.2,31.2,31.2,31.2,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00197000,2020-01-22,2020-02-21,QQQ,C,1970.0,4,28.35,28.35,28.35,28.35,1,1579669200000000000,30,Monthly,,
O:QQQ200221C00200000,2020-01-22,2020-02-21,QQQ,C,2000.0,20,25.14,24.38,25.29,24.38,9,1579669200000000000,30,Monthly,,
O:QQQ200221C00202000,2020-01-22,2020-02-21,QQQ,C,2020.0,100,22.99,22.63,23.25,22.63,3,1579669200000000000,30,Monthly,,
O:QQQ200221C00203000,2020-01-22,2020-02-21,QQQ,C,2030.0,3,22.29,21.48,22.29,21.48,3,1579669200000000000,30,Monthly,,
O:QQQ200221C00204000,2020-01-22,2020-02-21,QQQ,C,2040.0,26,21.81,21.36,21.81,21.36,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00205000,2020-01-22,2020-02-21,QQQ,C,2050.0,87,20.14,20.4,20.86,20.1,7,1579669200000000000,30,Monthly,,
O:QQQ200221C00206000,2020-01-22,2020-02-21,QQQ,C,2060.0,57,19.54,19.54,19.7,19.51,5,1579669200000000000,30,Monthly,,
O:QQQ200221C00207000,2020-01-22,2020-02-21,QQQ,C,2070.0,55,18.43,17.96,18.59,17.96,5,1579669200000000000,30,Monthly,,
O:QQQ200221C00208000,2020-01-22,2020-02-21,QQQ,C,2080.0,24,17.8,17.67,17.8,17.63,3,1579669200000000000,30,Monthly,,
O:QQQ200221C00209000,2020-01-22,2020-02-21,QQQ,C,2090.0,243,16.29,15.8,16.95,15.75,147,1579669200000000000,30,Monthly,,
O:QQQ200221C00210000,2020-01-22,2020-02-21,QQQ,C,2100.0,107,15.71,14.96,16.16,14.96,16,1579669200000000000,30,Monthly,,
O:QQQ200221C00211000,2020-01-22,2020-02-21,QQQ,C,2110.0,115,14.8,14.27,15.2,14.27,37,1579669200000000000,30,Monthly,,
O:QQQ200221C00212000,2020-01-22,2020-02-21,QQQ,C,2120.0,43,13.61,13.38,14.08,13.36,13,1579669200000000000,30,Monthly,,
O:QQQ200221C00213000,2020-01-22,2020-02-21,QQQ,C,2130.0,16,12.96,13.03,13.25,12.94,5,1579669200000000000,30,Monthly,,
O:QQQ200221C00214000,2020-01-22,2020-02-21,QQQ,C,2140.0,120,11.98,11.68,12.42,11.39,37,1579669200000000000,30,Monthly,,
O:QQQ200221C00215000,2020-01-22,2020-02-21,QQQ,C,2150.0,162,11.34,10.62,11.59,10.62,34,1579669200000000000,30,Monthly,,
O:QQQ200221C00216000,2020-01-22,2020-02-21,QQQ,C,2160.0,10078,10.41,9.75,10.56,9.75,21,1579669200000000000,30,Monthly,,
O:QQQ200221C00217000,2020-01-22,2020-02-21,QQQ,C,2170.0,116,9.28,9.17,9.7,9.17,14,1579669200000000000,30,Monthly,,
O:QQQ200221C00218000,2020-01-22,2020-02-21,QQQ,C,2180.0,871,8.49,8.18,9.05,8.07,23,1579669200000000000,30,Monthly,,
O:QQQ200221C00219000,2020-01-22,2020-02-21,QQQ,C,2190.0,268,7.61,7.37,8.06,7.27,35,1579669200000000000,30,Monthly,,
O:QQQ200221C00220000,2020-01-22,2020-02-21,QQQ,C,2200.0,1551,6.88,6.51,7.44,6.5,114,1579669200000000000,30,Monthly,,
O:QQQ200221C00221000,2020-01-22,2020-02-21,QQQ,C,2210.0,215,6.24,5.73,6.65,5.73,39,1579669200000000000,30,Monthly,,
O:QQQ200221C00222000,2020-01-22,2020-02-21,QQQ,C,2220.0,657,5.43,5.28,5.92,5.05,95,1579669200000000000,30,Monthly,,
O:QQQ200221C00222500,2020-01-22,2020-02-21,QQQ,C,2225.0,144,5.18,4.95,5.35,4.95,11,1579669200000000000,30,Monthly,,
O:QQQ200221C00223000,2020-01-22,2020-02-21,QQQ,C,2230.0,1396,4.76,4.43,5.2,4.42,163,1579669200000000000,30,Monthly,,
O:QQQ200221C00224000,2020-01-22,2020-02-21,QQQ,C,2240.0,2018,4.15,3.79,4.53,3.72,279,1579669200000000000,30,Monthly,,
O:QQQ200221C00225000,2020-01-22,2020-02-21,QQQ,C,2250.0,5267,3.48,3.21,3.9,3.19,509,1579669200000000000,30,Monthly,,
O:QQQ200221C00226000,2020-01-22,2020-02-21,QQQ,C,2260.0,1398,2.95,2.73,3.3,2.69,154,1579669200000000000,30,Monthly,,
O:QQQ200221C00227000,2020-01-22,2020-02-21,QQQ,C,2270.0,1130,2.4,2.19,2.75,2.19,176,1579669200000000000,30,Monthly,,
O:QQQ200221C00227500,2020-01-22,2020-02-21,QQQ,C,2275.0,573,2.21,2.03,2.49,1.95,39,1579669200000000000,30,Monthly,,
O:QQQ200221C00228000,2020-01-22,2020-02-21,QQQ,C,2280.0,2309,1.96,1.82,2.26,1.73,172,1579669200000000000,30,Monthly,,
O:QQQ200221C00229000,2020-01-22,2020-02-21,QQQ,C,2290.0,744,1.58,1.44,1.82,1.44,66,1579669200000000000,30,Monthly,,
O:QQQ200221C00230000,2020-01-22,2020-02-21,QQQ,C,2300.0,1641,1.23,1.08,1.45,1.07,141,1579669200000000000,30,Monthly,,
O:QQQ200221C00231000,2020-01-22,2020-02-21,QQQ,C,2310.0,302,0.98,0.86,1.08,0.86,45,1579669200000000000,30,Monthly,,
O:QQQ200221C00232000,2020-01-22,2020-02-21,QQQ,C,2320.0,649,0.75,0.63,0.83,0.62,60,1579669200000000000,30,Monthly,,
O:QQQ200221C00232500,2020-01-22,2020-02-21,QQQ,C,2325.0,19,0.6,0.67,0.74,0.6,3,1579669200000000000,30,Monthly,,
O:QQQ200221C00233000,2020-01-22,2020-02-21,QQQ,C,2330.0,192,0.53,0.47,0.66,0.45,34,1579669200000000000,30,Monthly,,
O:QQQ200221C00234000,2020-01-22,2020-02-21,QQQ,C,2340.0,469,0.4,0.36,0.48,0.34,25,1579669200000000000,30,Monthly,,
O:QQQ200221C00235000,2020-01-22,2020-02-21,QQQ,C,2350.0,143,0.28,0.26,0.35,0.26,36,1579669200000000000,30,Monthly,,
O:QQQ200221C00236000,2020-01-22,2020-02-21,QQQ,C,2360.0,1610,0.21,0.2,0.25,0.18,25,1579669200000000000,30,Monthly,,
O:QQQ200221C00237000,2020-01-22,2020-02-21,QQQ,C,2370.0,31,0.18,0.17,0.18,0.17,8,1579669200000000000,30,Monthly,,
O:QQQ200221C00238000,2020-01-22,2020-02-21,QQQ,C,2380.0,4,0.13,0.12,0.13,0.12,4,1579669200000000000,30,Monthly,,
O:QQQ200221C00239000,2020-01-22,2020-02-21,QQQ,C,2390.0,20,0.09,0.08,0.09,0.08,5,1579669200000000000,30,Monthly,,
O:QQQ200221C00240000,2020-01-22,2020-02-21,QQQ,C,2400.0,901,0.06,0.08,0.08,0.06,8,1579669200000000000,30,Monthly,,
O:QQQ200221C00241000,2020-01-22,2020-02-21,QQQ,C,2410.0,8,0.05,0.06,0.06,0.05,2,1579669200000000000,30,Monthly,,
O:QQQ200221C00242000,2020-01-22,2020-02-21,QQQ,C,2420.0,15,0.05,0.05,0.05,0.05,1,1579669200000000000,30,Monthly,,
