ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:XLK180112C00060000,2018-01-08,2018-01-12,XLK,C,60.0,8.0,6.42,6.42,-20.37,YES,6.42,10.7,6.42,10.7,6.42,6.42,2.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00064500,2018-01-08,2018-01-12,XLK,C,64.5,1.0,2.14,2.14,-14.4,YES,2.14,3.32,2.14,3.32,2.14,2.14,1.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00065000,2018-01-08,2018-01-12,XLK,C,65.0,8.0,1.4,1.64,-13.74,YES,1.64,2.52,1.4,2.15,1.67,1.4,6.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00065500,2018-01-08,2018-01-12,XLK,C,65.5,117.0,0.93,1.07,-13.07,YES,1.07,1.63,0.93,1.42,1.07,0.93,5.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00066000,2018-01-08,2018-01-12,XLK,C,66.0,6.0,0.57,0.79,-12.41,YES,0.79,1.2,0.57,0.86,0.79,0.57,2.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00066500,2018-01-08,2018-01-12,XLK,C,66.5,519.0,0.32,0.38,-11.75,YES,0.38,0.57,0.32,0.48,0.45,0.29,29.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00067000,2018-01-08,2018-01-12,XLK,C,67.0,88.0,0.11,0.14,-11.08,YES,0.14,0.21,0.11,0.16,0.19,0.11,20.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180112C00068000,2018-01-08,2018-01-12,XLK,C,68.0,1.0,0.03,0.03,-9.75,YES,0.03,0.04,0.03,0.04,0.03,0.03,1.0,1515387600000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00066000,2018-01-22,2018-01-26,XLK,C,66.0,16.0,2.14,2.27,-12.41,YES,2.27,3.44,2.14,3.24,2.27,2.14,3.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00067000,2018-01-22,2018-01-26,XLK,C,67.0,86.0,0.88,1.4,-11.08,YES,1.4,2.09,0.88,1.31,1.4,0.88,11.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00067500,2018-01-22,2018-01-26,XLK,C,67.5,29.0,0.58,1.04,-10.42,YES,1.04,1.54,0.58,0.86,1.04,0.58,8.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00068000,2018-01-22,2018-01-26,XLK,C,68.0,448.0,0.31,0.64,-9.75,YES,0.64,0.94,0.31,0.46,0.65,0.31,27.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00068500,2018-01-22,2018-01-26,XLK,C,68.5,122.0,0.16,0.36,-9.09,YES,0.36,0.53,0.16,0.23,0.36,0.16,17.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00069000,2018-01-22,2018-01-26,XLK,C,69.0,34.0,0.07,0.14,-8.43,YES,0.14,0.2,0.07,0.1,0.14,0.07,4.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180126C00069500,2018-01-22,2018-01-26,XLK,C,69.5,37.0,0.05,0.05,-7.76,YES,0.05,0.07,0.05,0.07,0.05,0.05,1.0,1516597200000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
O:XLK180202C00064500,2018-01-29,2018-02-02,XLK,C,64.5,1.0,4.44,4.44,-14.4,YES,4.44,6.88,4.44,6.88,4.44,4.44,1.0,1517202000000000000,4.0,Weekly,75.35,75.35,75.35,75.35,75.35,75.35,75.35,75.35,0.0141,,
