ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,implied_volatility,probability_itm,mid_price,fedfunds_rate
O:SMCI180216C00022500,2018-01-16,2018-02-16,SMCI,C,225.0,5,1.05,1.05,1.05,1.05,1,1516078800000000000,31,Monthly,,,1.05,0.02
O:SMCI180216C00022500,2018-01-17,2018-02-16,SMCI,C,225.0,68,1.0,1.0,1.05,0.8,4,1516165200000000000,30,Monthly,,,0.925,0.02
O:SMCI180216C00025000,2018-01-17,2018-02-16,SMCI,C,250.0,5,0.35,0.35,0.35,0.35,1,1516165200000000000,30,Monthly,,,0.35,0.02
O:SMCI180216C00020000,2018-01-19,2018-02-16,SMCI,C,200.0,10,3.2,3.2,3.2,3.2,1,1516338000000000000,28,Monthly,,,3.2,0.02
O:SMCI180216C00022500,2018-01-19,2018-02-16,SMCI,C,225.0,54,0.9,1.61,1.61,0.9,10,1516338000000000000,28,Monthly,,,1.2550000000000001,0.02
O:SMCI180216C00025000,2018-01-19,2018-02-16,SMCI,C,250.0,25,0.62,0.51,0.62,0.51,7,1516338000000000000,28,Monthly,,,0.565,0.02
O:SMCI180316C00020000,2018-02-12,2018-03-16,SMCI,C,200.0,3,0.9,0.85,0.9,0.85,3,1518411600000000000,32,Monthly,,,0.875,0.02
O:SMCI180316C00022500,2018-02-12,2018-03-16,SMCI,C,225.0,20,0.2,0.25,0.25,0.2,2,1518411600000000000,32,Monthly,,,0.225,0.02
O:SMCI180316C00017500,2018-02-13,2018-03-16,SMCI,C,175.0,10,1.65,1.65,1.65,1.65,1,1518498000000000000,31,Monthly,,,1.65,0.02
O:SMCI180316C00020000,2018-02-13,2018-03-16,SMCI,C,200.0,13,0.65,0.6,0.65,0.55,4,1518498000000000000,31,Monthly,,,0.6000000000000001,0.02
O:SMCI180316C00022500,2018-02-13,2018-03-16,SMCI,C,225.0,40,0.21,0.15,0.21,0.15,2,1518498000000000000,31,Monthly,,,0.18,0.02
O:SMCI180316C00020000,2018-02-16,2018-03-16,SMCI,C,200.0,6,1.0,1.05,1.05,1.0,2,1518757200000000000,28,Monthly,,,1.025,0.02
O:SMCI180420C00020000,2018-03-19,2018-04-20,SMCI,C,200.0,75,0.55,0.65,0.65,0.55,2,1521432000000000000,32,Monthly,,,0.6000000000000001,0.02
O:SMCI180420C00022500,2018-03-19,2018-04-20,SMCI,C,225.0,5,0.2,0.2,0.2,0.2,1,1521432000000000000,32,Monthly,,,0.2,0.02
O:SMCI180420C00020000,2018-03-20,2018-04-20,SMCI,C,200.0,37,0.55,0.55,0.55,0.45,5,1521518400000000000,31,Monthly,,,0.5,0.02
O:SMCI180420C00020000,2018-03-21,2018-04-20,SMCI,C,200.0,9,0.45,0.4,0.45,0.4,3,1521604800000000000,30,Monthly,,,0.42500000000000004,0.02
O:SMCI180420C00022500,2018-03-21,2018-04-20,SMCI,C,225.0,5,0.05,0.05,0.05,0.05,1,1521604800000000000,30,Monthly,,,0.05,0.02
O:SMCI180420C00020000,2018-03-22,2018-04-20,SMCI,C,200.0,5,0.25,0.25,0.25,0.25,1,1521691200000000000,29,Monthly,,,0.25,0.02
O:SMCI180420C00020000,2018-03-23,2018-04-20,SMCI,C,200.0,1,0.25,0.25,0.25,0.25,1,1521777600000000000,28,Monthly,,,0.25,0.02
O:SMCI180518C00017500,2018-04-16,2018-05-18,SMCI,C,175.0,6,1.4,1.45,1.45,1.4,2,1523851200000000000,32,Monthly,,,1.4249999999999998,0.02
O:SMCI180518C00020000,2018-04-16,2018-05-18,SMCI,C,200.0,1,0.5,0.5,0.5,0.5,1,1523851200000000000,32,Monthly,,,0.5,0.02
O:SMCI180518C00012500,2018-04-17,2018-05-18,SMCI,C,125.0,1,5.9,5.9,5.9,5.9,1,1523937600000000000,31,Monthly,,,5.9,0.02
O:SMCI180518C00020000,2018-04-18,2018-05-18,SMCI,C,200.0,3,0.42,0.42,0.42,0.42,1,1524024000000000000,30,Monthly,,,0.42,0.02
O:SMCI180518C00020000,2018-04-20,2018-05-18,SMCI,C,200.0,20,0.25,0.25,0.25,0.25,2,1524196800000000000,28,Monthly,,,0.25,0.02
O:SMCI180615C00020000,2018-05-14,2018-06-15,SMCI,C,200.0,5,3.72,3.72,3.72,3.72,1,1526270400000000000,32,Monthly,,,3.72,0.02
O:SMCI180615C00022500,2018-05-14,2018-06-15,SMCI,C,225.0,5,1.77,1.77,1.77,1.77,1,1526270400000000000,32,Monthly,,,1.77,0.02
O:SMCI180615C00025000,2018-05-14,2018-06-15,SMCI,C,250.0,1,0.55,0.55,0.55,0.55,1,1526270400000000000,32,Monthly,,,0.55,0.02
O:SMCI180615C00022500,2018-05-15,2018-06-15,SMCI,C,225.0,10,1.95,1.95,1.95,1.95,1,1526356800000000000,31,Monthly,,,1.95,0.02
O:SMCI180615C00025000,2018-05-15,2018-06-15,SMCI,C,250.0,1,0.55,0.55,0.55,0.55,1,1526356800000000000,31,Monthly,,,0.55,0.02
O:SMCI180615C00020000,2018-05-17,2018-06-15,SMCI,C,200.0,16,4.13,4.07,4.15,4.07,4,1526529600000000000,29,Monthly,,,4.11,0.02
O:SMCI180615C00022500,2018-05-17,2018-06-15,SMCI,C,225.0,5,1.9,1.9,1.9,1.9,2,1526529600000000000,29,Monthly,,,1.9,0.02
O:SMCI180615C00022500,2018-05-18,2018-06-15,SMCI,C,225.0,10,1.73,1.73,1.73,1.73,1,1526616000000000000,28,Monthly,,,1.73,0.02
O:SMCI180720C00030000,2018-06-18,2018-07-20,SMCI,C,300.0,39,0.1,0.1,0.1,0.1,2,1529294400000000000,32,Monthly,,,0.1,0.02
O:SMCI180720C00022500,2018-06-19,2018-07-20,SMCI,C,225.0,202,3.25,3.1,3.25,3.1,2,1529380800000000000,31,Monthly,,,3.175,0.02
O:SMCI180720C00017500,2018-06-20,2018-07-20,SMCI,C,175.0,1,7.92,7.92,7.92,7.92,1,1529467200000000000,30,Monthly,,,7.92,0.02
O:SMCI180720C00030000,2018-06-20,2018-07-20,SMCI,C,300.0,3,0.05,0.05,0.05,0.05,1,1529467200000000000,30,Monthly,,,0.05,0.02
O:SMCI180720C00025000,2018-06-21,2018-07-20,SMCI,C,250.0,1,1.09,1.09,1.09,1.09,1,1529553600000000000,29,Monthly,,,1.09,0.02
O:SMCI180720C00025000,2018-06-22,2018-07-20,SMCI,C,250.0,2,1.0,1.0,1.0,1.0,1,1529640000000000000,28,Monthly,,,1.0,0.02
O:SMCI180720C00030000,2018-06-22,2018-07-20,SMCI,C,300.0,8,0.15,0.05,0.15,0.05,2,1529640000000000000,28,Monthly,,,0.1,0.02
O:SMCI180817C00025000,2018-07-16,2018-08-17,SMCI,C,250.0,1,1.05,1.05,1.05,1.05,1,1531713600000000000,32,Monthly,,,1.05,0.02
O:SMCI180817C00020000,2018-07-18,2018-08-17,SMCI,C,200.0,6,4.49,4.49,4.49,4.49,1,1531886400000000000,30,Monthly,,,4.49,0.02
O:SMCI180817C00025000,2018-07-18,2018-08-17,SMCI,C,250.0,1,1.0,1.0,1.0,1.0,1,1531886400000000000,30,Monthly,,,1.0,0.02
O:SMCI180817C00025000,2018-07-19,2018-08-17,SMCI,C,250.0,1,1.1,1.1,1.1,1.1,1,1531972800000000000,29,Monthly,,,1.1,0.02
O:SMCI180817C00030000,2018-07-19,2018-08-17,SMCI,C,300.0,2,0.1,0.1,0.1,0.1,1,1531972800000000000,29,Monthly,,,0.1,0.02
O:SMCI180921C00015000,2018-08-20,2018-09-21,SMCI,C,150.0,1,5.2,5.2,5.2,5.2,1,1534737600000000000,32,Monthly,,,5.2,0.02
O:SMCI180921C00017500,2018-08-20,2018-09-21,SMCI,C,175.0,36,3.2,3.3,3.3,3.2,3,1534737600000000000,32,Monthly,,,3.25,0.02
O:SMCI180921C00020000,2018-08-20,2018-09-21,SMCI,C,200.0,42,2.8,2.0,2.8,1.84,7,1534737600000000000,32,Monthly,,,2.32,0.02
O:SMCI180921C00022500,2018-08-20,2018-09-21,SMCI,C,225.0,22,1.2,0.96,1.2,0.96,2,1534737600000000000,32,Monthly,,,1.08,0.02
O:SMCI180921C00035000,2018-08-20,2018-09-21,SMCI,C,350.0,8,0.05,0.05,0.05,0.05,2,1534737600000000000,32,Monthly,,,0.05,0.02
O:SMCI180921C00012500,2018-08-21,2018-09-21,SMCI,C,125.0,10,6.79,6.6,6.79,6.6,2,1534824000000000000,31,Monthly,,,6.695,0.02
O:SMCI180921C00017500,2018-08-21,2018-09-21,SMCI,C,175.0,14,3.0,3.0,3.4,3.0,7,1534824000000000000,31,Monthly,,,3.2,0.02
O:SMCI180921C00020000,2018-08-21,2018-09-21,SMCI,C,200.0,106,2.05,2.0,2.15,1.7,23,1534824000000000000,31,Monthly,,,1.9249999999999998,0.02
O:SMCI180921C00022500,2018-08-21,2018-09-21,SMCI,C,225.0,19,1.1,1.1,1.12,0.95,7,1534824000000000000,31,Monthly,,,1.0350000000000001,0.02
O:SMCI180921C00025000,2018-08-21,2018-09-21,SMCI,C,250.0,5,0.64,0.6,0.72,0.6,3,1534824000000000000,31,Monthly,,,0.6599999999999999,0.02
