ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:SOFI250110C00005000,2025-01-06,2025-01-10,SOFI,C,50.0,2,10.1,10.1,10.1,10.1,1,1736139600000000000,4,Weekly
O:SOFI250110C00007000,2025-01-06,2025-01-10,SOFI,C,70.0,3,8.1,8.1,8.1,8.1,1,1736139600000000000,4,Weekly
O:SOFI250110C00008000,2025-01-06,2025-01-10,SOFI,C,80.0,2,7.45,7.29,7.45,7.29,2,1736139600000000000,4,Weekly
O:SOFI250110C00008500,2025-01-06,2025-01-10,SOFI,C,85.0,1,7.25,7.25,7.25,7.25,1,1736139600000000000,4,Weekly
O:SOFI250110C00009000,2025-01-06,2025-01-10,SOFI,C,90.0,55,6.32,6.32,6.32,6.32,2,1736139600000000000,4,Weekly
O:SOFI250110C00010000,2025-01-06,2025-01-10,SOFI,C,100.0,30,5.35,5.34,5.35,5.25,8,1736139600000000000,4,Weekly
O:SOFI250110C00010500,2025-01-06,2025-01-10,SOFI,C,105.0,14,4.79,4.82,4.9,4.5,9,1736139600000000000,4,Weekly
O:SOFI250110C00011000,2025-01-06,2025-01-10,SOFI,C,110.0,12,4.25,4.3,4.35,4.25,6,1736139600000000000,4,Weekly
O:SOFI250110C00011500,2025-01-06,2025-01-10,SOFI,C,115.0,13,3.69,3.85,3.9,3.69,7,1736139600000000000,4,Weekly
O:SOFI250110C00012000,2025-01-06,2025-01-10,SOFI,C,120.0,42,3.2,3.12,3.5,3.12,25,1736139600000000000,4,Weekly
O:SOFI250110C00012500,2025-01-06,2025-01-10,SOFI,C,125.0,125,2.59,2.92,2.97,2.55,31,1736139600000000000,4,Weekly
O:SOFI250110C00013000,2025-01-06,2025-01-10,SOFI,C,130.0,127,2.21,2.27,2.45,2.1,70,1736139600000000000,4,Weekly
O:SOFI250110C00013500,2025-01-06,2025-01-10,SOFI,C,135.0,371,1.42,1.79,2.0,1.42,109,1736139600000000000,4,Weekly
O:SOFI250110C00014000,2025-01-06,2025-01-10,SOFI,C,140.0,1777,1.0,1.32,1.5,1.0,290,1736139600000000000,4,Weekly
O:SOFI250110C00014500,2025-01-06,2025-01-10,SOFI,C,145.0,2332,0.86,0.88,1.06,0.65,698,1736139600000000000,4,Weekly
O:SOFI250110C00015000,2025-01-06,2025-01-10,SOFI,C,150.0,10207,0.53,0.53,0.66,0.38,1435,1736139600000000000,4,Weekly
O:SOFI250110C00015500,2025-01-06,2025-01-10,SOFI,C,155.0,16613,0.3,0.26,0.36,0.2,2079,1736139600000000000,4,Weekly
O:SOFI250110C00016000,2025-01-06,2025-01-10,SOFI,C,160.0,17652,0.14,0.11,0.25,0.08,2085,1736139600000000000,4,Weekly
O:SOFI250110C00016500,2025-01-06,2025-01-10,SOFI,C,165.0,10451,0.07,0.05,0.08,0.05,1022,1736139600000000000,4,Weekly
O:SOFI250110C00017000,2025-01-06,2025-01-10,SOFI,C,170.0,7750,0.04,0.03,0.05,0.02,666,1736139600000000000,4,Weekly
O:SOFI250110C00017500,2025-01-06,2025-01-10,SOFI,C,175.0,1672,0.02,0.02,0.03,0.01,168,1736139600000000000,4,Weekly
O:SOFI250110C00018000,2025-01-06,2025-01-10,SOFI,C,180.0,2891,0.02,0.01,0.02,0.01,247,1736139600000000000,4,Weekly
O:SOFI250110C00018500,2025-01-06,2025-01-10,SOFI,C,185.0,403,0.02,0.01,0.02,0.01,78,1736139600000000000,4,Weekly
O:SOFI250110C00019000,2025-01-06,2025-01-10,SOFI,C,190.0,154,0.02,0.01,0.02,0.01,36,1736139600000000000,4,Weekly
O:SOFI250110C00019500,2025-01-06,2025-01-10,SOFI,C,195.0,29,0.01,0.01,0.01,0.01,9,1736139600000000000,4,Weekly
O:SOFI250110C00020000,2025-01-06,2025-01-10,SOFI,C,200.0,30,0.02,0.01,0.06,0.01,11,1736139600000000000,4,Weekly
O:SOFI250110C00020500,2025-01-06,2025-01-10,SOFI,C,205.0,10,0.02,0.02,0.02,0.02,1,1736139600000000000,4,Weekly
O:SOFI250110C00022000,2025-01-06,2025-01-10,SOFI,C,220.0,50,0.01,0.01,0.01,0.01,1,1736139600000000000,4,Weekly
O:SOFI250110C00024000,2025-01-06,2025-01-10,SOFI,C,240.0,4,0.01,0.01,0.01,0.01,2,1736139600000000000,4,Weekly
O:SOFI250110P00009500,2025-01-06,2025-01-10,SOFI,P,95.0,226,0.01,0.01,0.01,0.01,3,1736139600000000000,4,Weekly
O:SOFI250110P00010000,2025-01-06,2025-01-10,SOFI,P,100.0,28,0.01,0.01,0.01,0.01,1,1736139600000000000,4,Weekly
O:SOFI250110P00011500,2025-01-06,2025-01-10,SOFI,P,115.0,3,0.01,0.01,0.01,0.01,1,1736139600000000000,4,Weekly
O:SOFI250110P00012000,2025-01-06,2025-01-10,SOFI,P,120.0,724,0.02,0.01,0.02,0.01,29,1736139600000000000,4,Weekly
O:SOFI250110P00012500,2025-01-06,2025-01-10,SOFI,P,125.0,1335,0.02,0.01,0.02,0.01,81,1736139600000000000,4,Weekly
O:SOFI250110P00013000,2025-01-06,2025-01-10,SOFI,P,130.0,599,0.02,0.02,0.03,0.01,101,1736139600000000000,4,Weekly
O:SOFI250110P00013500,2025-01-06,2025-01-10,SOFI,P,135.0,1549,0.04,0.02,0.06,0.02,212,1736139600000000000,4,Weekly
O:SOFI250110P00014000,2025-01-06,2025-01-10,SOFI,P,140.0,3445,0.09,0.04,0.12,0.03,509,1736139600000000000,4,Weekly
O:SOFI250110P00014500,2025-01-06,2025-01-10,SOFI,P,145.0,4202,0.11,0.09,0.25,0.07,703,1736139600000000000,4,Weekly
O:SOFI250110P00015000,2025-01-06,2025-01-10,SOFI,P,150.0,7014,0.34,0.24,0.48,0.18,1191,1736139600000000000,4,Weekly
O:SOFI250110P00015500,2025-01-06,2025-01-10,SOFI,P,155.0,2727,0.75,0.49,0.8,0.38,307,1736139600000000000,4,Weekly
O:SOFI250110P00016000,2025-01-06,2025-01-10,SOFI,P,160.0,462,1.15,0.75,1.15,0.71,131,1736139600000000000,4,Weekly
O:SOFI250110P00016500,2025-01-06,2025-01-10,SOFI,P,165.0,207,1.22,1.16,1.46,1.13,37,1736139600000000000,4,Weekly
O:SOFI250110P00017000,2025-01-06,2025-01-10,SOFI,P,170.0,55,2.03,1.7,2.03,1.6,26,1736139600000000000,4,Weekly
O:SOFI250110P00017500,2025-01-06,2025-01-10,SOFI,P,175.0,22,2.45,2.18,2.45,2.14,8,1736139600000000000,4,Weekly
O:SOFI250110P00018000,2025-01-06,2025-01-10,SOFI,P,180.0,45,2.71,2.73,2.75,2.63,10,1736139600000000000,4,Weekly
O:SOFI250110P00018500,2025-01-06,2025-01-10,SOFI,P,185.0,35,3.27,3.22,3.27,3.1,4,1736139600000000000,4,Weekly
O:SOFI250110P00020000,2025-01-06,2025-01-10,SOFI,P,200.0,1,4.8,4.8,4.8,4.8,1,1736139600000000000,4,Weekly
O:SOFI250110P00020500,2025-01-06,2025-01-10,SOFI,P,205.0,30,5.22,5.22,5.22,5.22,1,1736139600000000000,4,Weekly
O:SOFI250131C00005000,2025-01-27,2025-01-31,SOFI,C,50.0,5,10.7,11.26,11.26,10.45,5,1737954000000000000,4,Weekly
O:SOFI250131C00006000,2025-01-27,2025-01-31,SOFI,C,60.0,1,9.8,9.8,9.8,9.8,1,1737954000000000000,4,Weekly
O:SOFI250131C00007000,2025-01-27,2025-01-31,SOFI,C,70.0,2,9.13,9.13,9.13,9.13,1,1737954000000000000,4,Weekly
O:SOFI250131C00007500,2025-01-27,2025-01-31,SOFI,C,75.0,30,9.15,9.15,9.15,9.15,1,1737954000000000000,4,Weekly
O:SOFI250131C00008000,2025-01-27,2025-01-31,SOFI,C,80.0,6,9.05,7.75,9.05,7.75,2,1737954000000000000,4,Weekly
O:SOFI250131C00009000,2025-01-27,2025-01-31,SOFI,C,90.0,9,8.05,6.97,8.05,6.75,3,1737954000000000000,4,Weekly
O:SOFI250131C00009500,2025-01-27,2025-01-31,SOFI,C,95.0,3,6.55,6.65,6.65,6.55,2,1737954000000000000,4,Weekly
O:SOFI250131C00010000,2025-01-27,2025-01-31,SOFI,C,100.0,175,5.75,6.1,6.55,5.75,30,1737954000000000000,4,Weekly
O:SOFI250131C00010500,2025-01-27,2025-01-31,SOFI,C,105.0,53,5.26,5.95,5.95,5.26,15,1737954000000000000,4,Weekly
O:SOFI250131C00011000,2025-01-27,2025-01-31,SOFI,C,110.0,34,5.2,5.25,5.35,4.77,8,1737954000000000000,4,Weekly
O:SOFI250131C00011500,2025-01-27,2025-01-31,SOFI,C,115.0,18,4.5,4.75,4.8,4.3,5,1737954000000000000,4,Weekly
O:SOFI250131C00012000,2025-01-27,2025-01-31,SOFI,C,120.0,80,4.22,4.2,4.59,3.76,25,1737954000000000000,4,Weekly
O:SOFI250131C00012500,2025-01-27,2025-01-31,SOFI,C,125.0,147,3.05,3.42,4.05,3.05,25,1737954000000000000,4,Weekly
O:SOFI250131C00013000,2025-01-27,2025-01-31,SOFI,C,130.0,145,4.15,3.1,4.15,2.0,45,1737954000000000000,4,Weekly
O:SOFI250131C00013500,2025-01-27,2025-01-31,SOFI,C,135.0,380,2.61,2.77,2.77,2.21,63,1737954000000000000,4,Weekly
O:SOFI250131C00014000,2025-01-27,2025-01-31,SOFI,C,140.0,1046,2.09,2.28,2.74,1.69,199,1737954000000000000,4,Weekly
O:SOFI250131C00014500,2025-01-27,2025-01-31,SOFI,C,145.0,1622,1.59,1.69,2.2,1.15,278,1737954000000000000,4,Weekly
O:SOFI250131C00015000,2025-01-27,2025-01-31,SOFI,C,150.0,5893,1.31,1.22,1.75,0.91,646,1737954000000000000,4,Weekly
O:SOFI250131C00015500,2025-01-27,2025-01-31,SOFI,C,155.0,5156,0.93,0.83,1.35,0.63,1061,1737954000000000000,4,Weekly
O:SOFI250131C00016000,2025-01-27,2025-01-31,SOFI,C,160.0,25311,0.96,0.51,1.06,0.39,3913,1737954000000000000,4,Weekly
O:SOFI250131C00016500,2025-01-27,2025-01-31,SOFI,C,165.0,25332,0.6,0.31,0.73,0.22,3936,1737954000000000000,4,Weekly
O:SOFI250131C00017000,2025-01-27,2025-01-31,SOFI,C,170.0,37105,0.41,0.17,0.49,0.1,3676,1737954000000000000,4,Weekly
O:SOFI250131C00017500,2025-01-27,2025-01-31,SOFI,C,175.0,14728,0.25,0.11,0.33,0.01,1739,1737954000000000000,4,Weekly
O:SOFI250131C00018000,2025-01-27,2025-01-31,SOFI,C,180.0,28794,0.2,0.08,0.43,0.01,3162,1737954000000000000,4,Weekly
O:SOFI250131C00018500,2025-01-27,2025-01-31,SOFI,C,185.0,12658,0.1,0.06,0.22,0.01,1414,1737954000000000000,4,Weekly
O:SOFI250131C00019000,2025-01-27,2025-01-31,SOFI,C,190.0,11315,0.05,0.04,0.15,0.01,1387,1737954000000000000,4,Weekly
O:SOFI250131C00019500,2025-01-27,2025-01-31,SOFI,C,195.0,4285,0.05,0.04,0.18,0.01,532,1737954000000000000,4,Weekly
