ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:SPOT250110C00385000,2025-01-06,2025-01-10,SPOT,C,385.0,4,19.61,19.61,19.61,19.61,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00430000,2025-01-06,2025-01-10,SPOT,C,430.0,1,9.77,9.77,9.77,9.77,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00445000,2025-01-06,2025-01-10,SPOT,C,445.0,1,5.99,5.99,5.99,5.99,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00457500,2025-01-06,2025-01-10,SPOT,C,457.5,2,2.25,2.77,2.77,2.25,2,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00460000,2025-01-06,2025-01-10,SPOT,C,460.0,35,1.9,2.62,2.62,1.9,16,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00462500,2025-01-06,2025-01-10,SPOT,C,462.5,76,1.8,1.72,1.89,1.62,18,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00465000,2025-01-06,2025-01-10,SPOT,C,465.0,27,2.25,2.15,2.25,1.4,21,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00467500,2025-01-06,2025-01-10,SPOT,C,467.5,60,1.74,1.88,2.12,1.11,39,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00470000,2025-01-06,2025-01-10,SPOT,C,470.0,81,1.38,1.54,1.74,0.9,37,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00472500,2025-01-06,2025-01-10,SPOT,C,472.5,19,1.5,1.32,1.5,0.59,12,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00475000,2025-01-06,2025-01-10,SPOT,C,475.0,92,1.25,1.04,1.25,0.55,43,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00477500,2025-01-06,2025-01-10,SPOT,C,477.5,306,0.74,0.75,0.78,0.5,13,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00480000,2025-01-06,2025-01-10,SPOT,C,480.0,56,0.48,0.63,0.75,0.31,29,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00482500,2025-01-06,2025-01-10,SPOT,C,482.5,154,0.29,0.5,0.5,0.24,8,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00485000,2025-01-06,2025-01-10,SPOT,C,485.0,119,0.35,0.38,0.38,0.16,31,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00487500,2025-01-06,2025-01-10,SPOT,C,487.5,70,0.21,0.17,0.3,0.17,5,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00490000,2025-01-06,2025-01-10,SPOT,C,490.0,198,0.33,0.22,0.33,0.1,25,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00495000,2025-01-06,2025-01-10,SPOT,C,495.0,14,0.07,0.08,0.14,0.07,8,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00500000,2025-01-06,2025-01-10,SPOT,C,500.0,25,0.2,0.04,0.2,0.0,12,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00505000,2025-01-06,2025-01-10,SPOT,C,505.0,1,0.04,0.04,0.04,0.04,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00510000,2025-01-06,2025-01-10,SPOT,C,510.0,14,0.1,0.04,0.1,0.01,5,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00515000,2025-01-06,2025-01-10,SPOT,C,515.0,1,0.02,0.02,0.02,0.02,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250110C00540000,2025-01-06,2025-01-10,SPOT,C,540.0,1,0.17,0.17,0.17,0.17,1,1736139600000000000,4,Weekly,469.44,468.93,474.31,460.6,474.31,459.53,479.43,479.43
O:SPOT250117C00240000,2025-01-13,2025-01-17,SPOT,C,240.0,2,54.0,54.0,54.0,54.0,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00260000,2025-01-13,2025-01-17,SPOT,C,260.0,13,49.81,49.62,49.81,49.52,6,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00300000,2025-01-13,2025-01-17,SPOT,C,300.0,1,40.3,40.3,40.3,40.3,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00350000,2025-01-13,2025-01-17,SPOT,C,350.0,2,27.74,27.74,27.74,27.74,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00400000,2025-01-13,2025-01-17,SPOT,C,400.0,2,15.24,15.04,15.24,15.04,2,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00420000,2025-01-13,2025-01-17,SPOT,C,420.0,1,10.11,10.11,10.11,10.11,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00427500,2025-01-13,2025-01-17,SPOT,C,427.5,1,9.2,9.2,9.2,9.2,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00435000,2025-01-13,2025-01-17,SPOT,C,435.0,1,6.89,6.89,6.89,6.89,1,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00440000,2025-01-13,2025-01-17,SPOT,C,440.0,8,5.1,4.62,5.5,4.62,3,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00450000,2025-01-13,2025-01-17,SPOT,C,450.0,9,3.21,3.06,3.21,3.06,2,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00452500,2025-01-13,2025-01-17,SPOT,C,452.5,4,3.12,3.26,3.26,3.12,2,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00455000,2025-01-13,2025-01-17,SPOT,C,455.0,4,2.56,2.18,2.72,2.18,3,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00457500,2025-01-13,2025-01-17,SPOT,C,457.5,49,1.97,2.12,2.94,1.72,16,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
O:SPOT250117C00460000,2025-01-13,2025-01-17,SPOT,C,460.0,39,1.29,1.74,2.26,1.29,20,1736744400000000000,4,Weekly,452.43,458.54,463.5,451.43,463.5,485.53,490.78,490.78
