ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:SPY180105C00225000,2018-01-02,2018-01-05,SPY,C,225.0,1,10.83,10.83,-16.3,YES,10.83,4.03,10.83,4.03,10.83,10.83,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,10.83,4.03
O:SPY180105C00230000,2018-01-02,2018-01-05,SPY,C,230.0,2,9.46,9.46,-14.44,YES,9.46,3.52,9.46,3.52,9.46,9.46,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,9.46,3.52
O:SPY180105C00247500,2018-01-02,2018-01-05,SPY,C,247.5,7,5.22,5.22,-7.93,YES,5.22,1.94,5.22,1.94,5.22,5.22,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,5.22,1.94
O:SPY180105C00248000,2018-01-02,2018-01-05,SPY,C,248.0,7,5.1,5.1,-7.74,YES,5.1,1.9,5.1,1.9,5.1,5.1,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,5.1,1.9
O:SPY180105C00255000,2018-01-02,2018-01-05,SPY,C,255.0,17,3.34,3.34,-5.14,YES,3.34,1.24,3.34,1.24,3.34,3.34,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,3.34,1.24
O:SPY180105C00257500,2018-01-02,2018-01-05,SPY,C,257.5,6,2.72,2.81,-4.21,YES,2.76,1.03,2.71,1.01,2.81,2.71,3,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,2.76,1.05
O:SPY180105C00260000,2018-01-02,2018-01-05,SPY,C,260.0,357,1.97,2.08,-3.28,YES,2.0,0.74,1.93,0.72,2.08,1.93,9,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,2.0,0.77
O:SPY180105C00262000,2018-01-02,2018-01-05,SPY,C,262.0,116,1.47,1.64,-2.53,YES,1.54,0.57,1.44,0.54,1.64,1.44,5,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,1.54,0.61
O:SPY180105C00262500,2018-01-02,2018-01-05,SPY,C,262.5,5,1.36,1.36,-2.35,YES,1.36,0.51,1.36,0.51,1.36,1.36,1,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,1.36,0.51
O:SPY180105C00263000,2018-01-02,2018-01-05,SPY,C,263.0,45,1.21,1.35,-2.16,YES,1.28,0.48,1.21,0.45,1.35,1.21,7,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,1.28,0.5
O:SPY180105C00263500,2018-01-02,2018-01-05,SPY,C,263.5,8,1.16,1.22,-1.98,YES,1.18,0.44,1.14,0.43,1.22,1.14,4,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,1.18,0.45
O:SPY180105C00264000,2018-01-02,2018-01-05,SPY,C,264.0,37,0.98,1.2,-1.79,YES,1.09,0.4,0.98,0.36,1.2,0.98,20,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,1.09,0.45
O:SPY180105C00264500,2018-01-02,2018-01-05,SPY,C,264.5,5,0.98,0.98,-1.6,YES,0.98,0.36,0.97,0.36,0.98,0.97,4,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.98,0.37
O:SPY180105C00265000,2018-01-02,2018-01-05,SPY,C,265.0,400,0.76,0.92,-1.42,YES,0.84,0.31,0.71,0.26,0.96,0.71,31,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.84,0.36
O:SPY180105C00265500,2018-01-02,2018-01-05,SPY,C,265.5,90,0.62,0.82,-1.23,YES,0.71,0.26,0.6,0.22,0.82,0.6,19,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.71,0.3
O:SPY180105C00266000,2018-01-02,2018-01-05,SPY,C,266.0,932,0.59,0.72,-1.05,YES,0.6,0.22,0.48,0.18,0.72,0.48,106,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.6,0.27
O:SPY180105C00266500,2018-01-02,2018-01-05,SPY,C,266.5,848,0.44,0.56,-0.86,YES,0.49,0.18,0.38,0.14,0.6,0.38,126,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.49,0.22
O:SPY180105C00267000,2018-01-02,2018-01-05,SPY,C,267.0,7426,0.34,0.46,-0.67,YES,0.39,0.15,0.28,0.1,0.51,0.28,679,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.39,0.19
O:SPY180105C00267500,2018-01-02,2018-01-05,SPY,C,267.5,12976,0.25,0.37,-0.49,YES,0.3,0.11,0.21,0.08,0.4,0.21,808,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.3,0.15
O:SPY180105C00268000,2018-01-02,2018-01-05,SPY,C,268.0,17939,0.18,0.25,-0.3,YES,0.22,0.08,0.14,0.05,0.3,0.14,912,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.22,0.11
O:SPY180105C00268500,2018-01-02,2018-01-05,SPY,C,268.5,15810,0.13,0.17,-0.12,YES,0.15,0.06,0.09,0.03,0.21,0.09,938,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.15,0.08
O:SPY180105C00269000,2018-01-02,2018-01-05,SPY,C,269.0,11521,0.08,0.11,0.07,YES,0.1,0.04,0.06,0.02,0.14,0.06,558,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.1,0.05
O:SPY180105C00269500,2018-01-02,2018-01-05,SPY,C,269.5,4159,0.03,0.06,0.26,YES,0.06,0.02,0.03,0.01,0.08,0.03,182,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.06,0.03
O:SPY180105C00270000,2018-01-02,2018-01-05,SPY,C,270.0,10123,0.02,0.04,0.44,YES,0.03,0.01,0.02,0.01,0.04,0.02,327,1514869200000000000,3,Weekly,267.84,268.77,268.81,267.4,268.81,273.42,273.56,273.56,0.02,,,0.03,0.02
