ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:SPY180216C00100000,2018-01-16,2018-02-16,SPY,C,1000.0,6,179.7,179.7,179.7,179.7,1,1516078800000000000,31,Monthly
O:SPY180216C00110000,2018-01-16,2018-02-16,SPY,C,1100.0,6,169.85,169.85,169.85,169.85,1,1516078800000000000,31,Monthly
O:SPY180216C00200000,2018-01-16,2018-02-16,SPY,C,2000.0,4,78.8,78.8,78.8,78.8,1,1516078800000000000,31,Monthly
O:SPY180216C00232000,2018-01-16,2018-02-16,SPY,C,2320.0,5,45.86,45.86,45.86,45.86,1,1516078800000000000,31,Monthly
O:SPY180216C00235000,2018-01-16,2018-02-16,SPY,C,2350.0,19,43.06,42.68,43.07,42.42,6,1516078800000000000,31,Monthly
O:SPY180216C00237000,2018-01-16,2018-02-16,SPY,C,2370.0,6,40.89,40.89,40.89,40.89,1,1516078800000000000,31,Monthly
O:SPY180216C00238000,2018-01-16,2018-02-16,SPY,C,2380.0,7,41.45,39.9,41.45,39.9,2,1516078800000000000,31,Monthly
O:SPY180216C00240000,2018-01-16,2018-02-16,SPY,C,2400.0,16,40.49,37.54,40.49,37.43,5,1516078800000000000,31,Monthly
O:SPY180216C00242000,2018-01-16,2018-02-16,SPY,C,2420.0,3,38.07,37.42,38.07,37.42,2,1516078800000000000,31,Monthly
O:SPY180216C00244000,2018-01-16,2018-02-16,SPY,C,2440.0,15,36.18,35.33,36.18,35.33,2,1516078800000000000,31,Monthly
O:SPY180216C00245000,2018-01-16,2018-02-16,SPY,C,2450.0,19,35.57,33.04,35.58,33.04,5,1516078800000000000,31,Monthly
O:SPY180216C00248000,2018-01-16,2018-02-16,SPY,C,2480.0,10,31.36,31.36,31.36,31.36,1,1516078800000000000,31,Monthly
O:SPY180216C00249000,2018-01-16,2018-02-16,SPY,C,2490.0,35,30.09,30.05,30.09,29.96,10,1516078800000000000,31,Monthly
O:SPY180216C00250000,2018-01-16,2018-02-16,SPY,C,2500.0,208,30.15,28.0,30.4,27.7,16,1516078800000000000,31,Monthly
O:SPY180216C00252000,2018-01-16,2018-02-16,SPY,C,2520.0,31,28.58,27.13,28.58,27.13,3,1516078800000000000,31,Monthly
