ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:SPY170113C00210000,2017-01-09,2017-01-13,SPY,C,2100.0,6,16.79,16.6,16.79,16.59,5,1483938000000000000,4.0,Weekly
O:SPY170113C00219000,2017-01-09,2017-01-13,SPY,C,2190.0,4,7.7,7.7,7.7,7.7,1,1483938000000000000,4.0,Weekly
O:SPY170113C00220000,2017-01-09,2017-01-13,SPY,C,2200.0,22,6.61,6.68,6.69,6.61,4,1483938000000000000,4.0,Weekly
O:SPY170113C00221000,2017-01-09,2017-01-13,SPY,C,2210.0,36,5.82,5.7,5.91,5.68,4,1483938000000000000,4.0,Weekly
O:SPY170113C00221500,2017-01-09,2017-01-13,SPY,C,2215.0,1,5.34,5.34,5.34,5.34,1,1483938000000000000,4.0,Weekly
O:SPY170113C00222000,2017-01-09,2017-01-13,SPY,C,2220.0,161,4.54,4.6,4.95,4.54,17,1483938000000000000,4.0,Weekly
O:SPY170113C00222500,2017-01-09,2017-01-13,SPY,C,2225.0,617,4.32,4.25,4.55,4.25,21,1483938000000000000,4.0,Weekly
O:SPY170113C00223000,2017-01-09,2017-01-13,SPY,C,2230.0,749,4.07,3.62,4.08,3.62,37,1483938000000000000,4.0,Weekly
O:SPY170113C00223500,2017-01-09,2017-01-13,SPY,C,2235.0,184,3.36,3.27,3.63,3.19,18,1483938000000000000,4.0,Weekly
O:SPY170113C00224000,2017-01-09,2017-01-13,SPY,C,2240.0,1590,2.89,2.68,3.14,2.65,184,1483938000000000000,4.0,Weekly
O:SPY170113C00224500,2017-01-09,2017-01-13,SPY,C,2245.0,767,2.62,2.24,2.73,2.24,73,1483938000000000000,4.0,Weekly
O:SPY170113C00225000,2017-01-09,2017-01-13,SPY,C,2250.0,1700,2.28,1.88,2.34,1.79,151,1483938000000000000,4.0,Weekly
O:SPY170113C00225500,2017-01-09,2017-01-13,SPY,C,2255.0,1964,1.85,1.45,1.93,1.42,82,1483938000000000000,4.0,Weekly
O:SPY170113C00226000,2017-01-09,2017-01-13,SPY,C,2260.0,6753,1.5,1.15,1.54,1.07,252,1483938000000000000,4.0,Weekly
O:SPY170113C00226500,2017-01-09,2017-01-13,SPY,C,2265.0,7307,1.1,0.83,1.18,0.78,331,1483938000000000000,4.0,Weekly
O:SPY170113C00227000,2017-01-09,2017-01-13,SPY,C,2270.0,19382,0.88,0.57,0.94,0.54,758,1483938000000000000,4.0,Weekly
O:SPY170113C00227500,2017-01-09,2017-01-13,SPY,C,2275.0,10395,0.65,0.38,0.65,0.35,342,1483938000000000000,4.0,Weekly
O:SPY170113C00228000,2017-01-09,2017-01-13,SPY,C,2280.0,14987,0.46,0.24,0.46,0.23,477,1483938000000000000,4.0,Weekly
O:SPY170113C00228500,2017-01-09,2017-01-13,SPY,C,2285.0,4625,0.3,0.15,0.31,0.14,229,1483938000000000000,4.0,Weekly
