ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:SPY180112C00245000,2018-01-08,2018-01-12,SPY,C,245.0,7.0,28.86,28.86,-10.56,YES,28.86,11.78,28.86,11.78,28.86,28.86,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00254000,2018-01-08,2018-01-12,SPY,C,254.0,3.0,19.98,19.98,-7.27,YES,19.98,7.87,19.98,7.87,19.98,19.98,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,0.298,0.992
O:SPY180112C00255000,2018-01-08,2018-01-12,SPY,C,255.0,5.0,18.89,19.0,-6.91,YES,19.0,7.45,18.89,7.41,19.0,18.89,2.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,0.3099,0.9859
O:SPY180112C00256000,2018-01-08,2018-01-12,SPY,C,256.0,2.0,17.91,17.91,-6.54,YES,17.91,7.0,17.91,7.0,17.91,17.91,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00257500,2018-01-08,2018-01-12,SPY,C,257.5,1.0,16.04,16.04,-5.99,YES,16.04,6.23,16.04,6.23,16.04,16.04,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00260000,2018-01-08,2018-01-12,SPY,C,260.0,9.0,13.11,13.8,-5.08,YES,13.8,5.31,13.11,5.04,13.8,13.11,4.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00262000,2018-01-08,2018-01-12,SPY,C,262.0,1.0,11.6,11.6,-4.35,YES,11.6,4.43,11.6,4.43,11.6,11.6,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00263000,2018-01-08,2018-01-12,SPY,C,263.0,1.0,10.55,10.55,-3.99,YES,10.55,4.01,10.55,4.01,10.55,10.55,1.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
O:SPY180112C00264000,2018-01-08,2018-01-12,SPY,C,264.0,5.0,9.43,9.99,-3.62,YES,9.99,3.78,9.43,3.57,9.99,9.41,5.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,0.1673,0.9824
O:SPY180112C00265000,2018-01-08,2018-01-12,SPY,C,265.0,702.0,8.42,9.11,-3.26,YES,9.11,3.44,8.42,3.18,9.11,8.37,13.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,0.2044,0.9387
O:SPY180112C00265500,2018-01-08,2018-01-12,SPY,C,265.5,8.0,8.26,8.39,-3.07,YES,8.39,3.16,8.26,3.11,8.39,8.26,2.0,1515387600000000000,4.0,Weekly,273.31,273.92,274.1,272.98,273.92,273.92,274.1,273.92,0.0141,,
