ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility
O:SPY210108C00260000,2021-01-04,2021-01-08,SPY,C,260.0,7.0,115.38,115.38,-29.5,YES,115.38,44.38,115.38,44.38,115.38,115.38,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,3.0199
O:SPY210108C00280000,2021-01-04,2021-01-08,SPY,C,280.0,4.0,88.13,87.79,-24.08,YES,87.79,31.35,88.13,31.48,88.13,87.79,2.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
O:SPY210108C00300000,2021-01-04,2021-01-08,SPY,C,300.0,4.0,73.88,67.26,-18.65,YES,67.26,22.42,73.88,24.63,73.88,67.26,3.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
O:SPY210108C00310000,2021-01-04,2021-01-08,SPY,C,310.0,1.0,57.59,57.59,-15.94,YES,57.59,18.58,57.59,18.58,57.59,57.59,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
O:SPY210108C00315000,2021-01-04,2021-01-08,SPY,C,315.0,2.0,56.35,52.0,-14.59,YES,52.0,16.51,56.35,17.89,56.35,52.0,2.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
O:SPY210108C00320000,2021-01-04,2021-01-08,SPY,C,320.0,5.0,54.18,54.18,-13.23,YES,54.18,16.93,54.18,16.93,54.18,54.18,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,1.5018
O:SPY210108C00325000,2021-01-04,2021-01-08,SPY,C,325.0,1.0,44.07,44.07,-11.87,YES,44.07,13.56,44.07,13.56,44.07,44.07,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,0.6447
O:SPY210108C00330000,2021-01-04,2021-01-08,SPY,C,330.0,2.0,37.97,37.97,-10.52,YES,37.97,11.51,37.97,11.51,37.97,37.97,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
O:SPY210108C00333000,2021-01-04,2021-01-08,SPY,C,333.0,7.0,40.75,40.75,-9.7,YES,40.75,12.24,40.75,12.24,40.75,40.75,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,1.1797
O:SPY210108C00337500,2021-01-04,2021-01-08,SPY,C,337.5,10.0,29.84,29.84,-8.48,YES,29.84,8.84,29.84,8.84,29.84,29.84,1.0,1609736400000000000,4.0,Weekly,375.31,368.79,375.45,364.82,368.79,368.79,375.45,368.79,0.0009,
