ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:TSLA160108C00200000,2016-01-04,2016-01-08,TSLA,C,13.33,1.0,22.0,22.0,-13.61,YES,22.0,165.04,22.0,165.04,22.0,22.0,1.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00210000,2016-01-04,2016-01-08,TSLA,C,14.0,92.0,15.4,14.07,-9.27,YES,14.07,100.5,11.5,82.14,15.4,11.5,17.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00212500,2016-01-04,2016-01-08,TSLA,C,14.17,7.0,11.17,13.5,-8.17,YES,13.5,95.27,9.7,68.45,13.5,9.7,5.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00215000,2016-01-04,2016-01-08,TSLA,C,14.33,174.0,10.99,9.73,-7.13,YES,9.73,67.9,8.65,60.36,11.2,8.65,19.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00217500,2016-01-04,2016-01-08,TSLA,C,14.5,140.0,9.58,7.77,-6.03,YES,7.77,53.59,6.0,41.38,9.59,6.0,54.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00220000,2016-01-04,2016-01-08,TSLA,C,14.67,595.0,11.5,6.3,-4.93,YES,6.3,42.94,4.5,30.67,11.5,4.5,157.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,9.8244,0.3209
O:TSLA160108C00222500,2016-01-04,2016-01-08,TSLA,C,14.83,858.0,7.3,4.59,-3.89,NO,4.59,30.95,3.5,23.6,7.3,3.5,212.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,6.9282,0.3791
O:TSLA160108C00225000,2016-01-04,2016-01-08,TSLA,C,15.0,1685.0,6.55,3.4,-2.79,NO,3.4,22.67,2.44,16.27,8.58,2.44,403.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,5.0637,0.4162
O:TSLA160108C00227500,2016-01-04,2016-01-08,TSLA,C,15.17,1305.0,6.58,2.41,-1.69,NO,2.41,15.89,1.72,11.34,6.58,1.72,223.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,3.5851,0.4434
O:TSLA160108C00230000,2016-01-04,2016-01-08,TSLA,C,15.33,2447.0,5.0,1.75,-0.65,NO,1.75,11.42,1.23,8.02,5.78,1.23,543.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,2.6541,0.4541
O:TSLA160108C00232500,2016-01-04,2016-01-08,TSLA,C,15.5,1257.0,4.26,1.15,0.45,NO,1.15,7.42,0.82,5.29,4.75,0.82,266.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,1.8367,0.4524
O:TSLA160108C00235000,2016-01-04,2016-01-08,TSLA,C,15.67,1921.0,2.61,0.77,1.56,NO,0.77,4.91,0.59,3.77,3.7,0.59,416.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,1.3633,0.4289
O:TSLA160108C00237500,2016-01-04,2016-01-08,TSLA,C,15.83,742.0,2.4,0.48,2.59,NO,0.48,3.03,0.39,2.46,2.81,0.39,128.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,1.0125,0.3843
O:TSLA160108C00240000,2016-01-04,2016-01-08,TSLA,C,16.0,1587.0,2.0,0.34,3.69,NO,0.34,2.12,0.26,1.62,2.38,0.26,366.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,0.8854,0.3309
O:TSLA160108C00242500,2016-01-04,2016-01-08,TSLA,C,16.17,431.0,1.33,0.24,4.8,NO,0.24,1.48,0.2,1.24,1.37,0.2,154.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,0.803,0.2746
O:TSLA160108C00245000,2016-01-04,2016-01-08,TSLA,C,16.33,989.0,0.99,0.19,5.83,NO,0.19,1.16,0.14,0.86,1.98,0.14,211.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,0.7857,0.2327
O:TSLA160108C00247500,2016-01-04,2016-01-08,TSLA,C,16.5,379.0,0.72,0.12,6.93,NO,0.12,0.73,0.1,0.61,2.13,0.1,100.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00250000,2016-01-04,2016-01-08,TSLA,C,16.67,1475.0,0.5,0.1,8.04,NO,0.1,0.6,0.07,0.42,2.55,0.07,209.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00252500,2016-01-04,2016-01-08,TSLA,C,16.83,262.0,0.4,0.09,9.07,NO,0.09,0.53,0.08,0.48,0.49,0.08,26.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00255000,2016-01-04,2016-01-08,TSLA,C,17.0,227.0,0.21,0.06,10.17,NO,0.06,0.35,0.05,0.29,2.45,0.05,44.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00260000,2016-01-04,2016-01-08,TSLA,C,17.33,467.0,0.3,0.04,12.31,NO,0.04,0.23,0.03,0.17,0.3,0.03,67.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00265000,2016-01-04,2016-01-08,TSLA,C,17.67,118.0,0.43,0.04,14.52,NO,0.04,0.23,0.02,0.11,0.43,0.02,23.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00270000,2016-01-04,2016-01-08,TSLA,C,18.0,53.0,0.05,0.03,16.66,NO,0.03,0.17,0.02,0.11,0.05,0.02,13.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00275000,2016-01-04,2016-01-08,TSLA,C,18.33,5.0,0.05,0.03,18.79,NO,0.03,0.16,0.03,0.16,0.05,0.03,2.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160108C00280000,2016-01-04,2016-01-08,TSLA,C,18.67,232.0,0.21,0.02,21.0,NO,0.02,0.11,0.01,0.05,0.21,0.01,10.0,1451883600000000000,4.0,Weekly,15.38,14.89,15.43,14.6,15.43,14.07,14.7,14.7,0.0034,,
O:TSLA160129C00005000,2016-01-25,2016-01-29,TSLA,C,0.33,44.0,194.73,194.76,-97.57,YES,194.76,59018.18,194.72,59006.06,194.76,194.72,11.0,1453698000000000000,4.0,Weekly,13.34,13.09,13.57,13.06,13.57,12.75,12.92,12.92,0.0034,,
O:TSLA160129C00015000,2016-01-25,2016-01-29,TSLA,C,1.0,109.0,185.65,184.85,-92.63,YES,184.85,18485.0,184.74,18474.0,185.65,184.74,13.0,1453698000000000000,4.0,Weekly,13.34,13.09,13.57,13.06,13.57,12.75,12.92,12.92,0.0034,,
O:TSLA160129C00025000,2016-01-25,2016-01-29,TSLA,C,1.67,20.0,172.01,172.01,-87.69,YES,172.01,10300.0,172.01,10300.0,172.01,172.01,7.0,1453698000000000000,4.0,Weekly,13.34,13.09,13.57,13.06,13.57,12.75,12.92,12.92,0.0034,,
O:TSLA160129C00040000,2016-01-25,2016-01-29,TSLA,C,2.67,5.0,158.35,158.35,-80.32,YES,158.35,5930.71,158.35,5930.71,158.35,158.35,1.0,1453698000000000000,4.0,Weekly,13.34,13.09,13.57,13.06,13.57,12.75,12.92,12.92,0.0034,,
O:TSLA160129C00160000,2016-01-25,2016-01-29,TSLA,C,10.67,3.0,42.0,40.21,-21.37,YES,40.21,376.85,40.21,376.85,42.0,40.21,2.0,1453698000000000000,4.0,Weekly,13.34,13.09,13.57,13.06,13.57,12.75,12.92,12.92,0.0034,,
