ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:TSLA190111C00230000,2019-01-07,2019-01-11,TSLA,C,15.33,2,103.0,103.0,-31.71,YES,103.0,671.8852,103.0,671.8852,103.0,103.0,1,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00250000,2019-01-07,2019-01-11,TSLA,C,16.67,7,69.93,81.0,-25.75,YES,81.0,485.9028,69.93,419.4961,81.0,69.93,5,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00255000,2019-01-07,2019-01-11,TSLA,C,17.0,4,66.24,66.2,-24.28,YES,66.2,389.4118,66.2,389.4118,66.24,66.2,2,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00270000,2019-01-07,2019-01-11,TSLA,C,18.0,7,52.0,60.55,-19.82,YES,60.55,336.3889,52.0,288.8889,64.26,52.0,7,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00280000,2019-01-07,2019-01-11,TSLA,C,18.67,27,41.15,55.1,-16.84,YES,55.1,295.1259,41.15,220.4071,55.77,41.15,5,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00282500,2019-01-07,2019-01-11,TSLA,C,18.83,5,40.05,37.2,-16.12,YES,37.2,197.5571,37.2,197.5571,40.05,37.2,2,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00285000,2019-01-07,2019-01-11,TSLA,C,19.0,14,36.4,45.75,-15.37,YES,45.75,240.7895,36.4,191.5789,48.92,36.4,5,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00287500,2019-01-07,2019-01-11,TSLA,C,19.17,2,37.75,37.0,-14.61,YES,37.0,193.0099,37.0,193.0099,37.75,37.0,2,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00290000,2019-01-07,2019-01-11,TSLA,C,19.33,68,32.92,44.88,-13.9,YES,44.88,232.178,32.92,170.3052,45.58,32.92,20,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00292500,2019-01-07,2019-01-11,TSLA,C,19.5,3,30.0,30.0,-13.14,YES,30.0,153.8462,30.0,153.8462,30.0,30.0,1,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00295000,2019-01-07,2019-01-11,TSLA,C,19.67,38,26.5,40.6,-12.38,YES,40.6,206.4057,26.5,134.7229,40.7,26.5,18,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00297500,2019-01-07,2019-01-11,TSLA,C,19.83,8,25.5,34.72,-11.67,YES,34.72,175.0883,25.5,128.593,34.72,25.5,5,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00300000,2019-01-07,2019-01-11,TSLA,C,20.0,229,22.8,35.74,-10.91,YES,35.74,178.7,22.27,111.35,36.08,22.27,63,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00302500,2019-01-07,2019-01-11,TSLA,C,20.17,27,21.91,33.6,-10.16,YES,33.6,166.584,19.59,97.1244,33.6,19.59,10,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00305000,2019-01-07,2019-01-11,TSLA,C,20.33,149,20.1,30.85,-9.44,YES,30.85,151.7462,18.55,91.2445,32.0,18.55,57,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00307500,2019-01-07,2019-01-11,TSLA,C,20.5,94,17.29,27.9,-8.69,YES,27.9,136.0976,16.11,78.5854,28.46,16.11,29,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00310000,2019-01-07,2019-01-11,TSLA,C,20.67,194,14.7,25.87,-7.93,YES,25.87,125.1572,14.7,71.1176,27.79,14.7,75,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00312500,2019-01-07,2019-01-11,TSLA,C,20.83,99,14.4,23.82,-7.22,YES,23.82,114.3543,12.85,61.6899,25.15,12.85,47,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00315000,2019-01-07,2019-01-11,TSLA,C,21.0,470,12.7,21.36,-6.46,YES,21.36,101.7143,10.65,50.7143,23.5,10.65,173,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00317500,2019-01-07,2019-01-11,TSLA,C,21.17,157,11.4,19.45,-5.7,YES,19.45,91.8753,8.95,42.2768,20.42,8.95,82,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00320000,2019-01-07,2019-01-11,TSLA,C,21.33,762,9.5,17.75,-4.99,YES,17.75,83.2161,7.79,36.5213,19.18,7.79,297,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00322500,2019-01-07,2019-01-11,TSLA,C,21.5,371,8.15,15.9,-4.23,YES,15.9,73.9535,6.35,29.5349,17.42,6.35,170,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00325000,2019-01-07,2019-01-11,TSLA,C,21.67,2043,6.35,14.05,-3.47,YES,14.05,64.8362,5.25,24.227,15.53,5.25,635,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00327500,2019-01-07,2019-01-11,TSLA,C,21.83,652,6.0,12.25,-2.76,YES,12.25,56.1154,4.75,21.759,13.45,4.75,304,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00330000,2019-01-07,2019-01-11,TSLA,C,22.0,4564,4.68,10.7,-2.0,YES,10.7,48.6364,3.61,16.4091,12.25,3.61,1298,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00332500,2019-01-07,2019-01-11,TSLA,C,22.17,1473,4.05,9.18,-1.25,YES,9.18,41.4073,3.04,13.7122,10.76,3.04,463,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00335000,2019-01-07,2019-01-11,TSLA,C,22.33,3227,3.55,7.85,-0.53,YES,7.85,35.1545,2.4,10.7479,9.27,2.4,1058,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00337500,2019-01-07,2019-01-11,TSLA,C,22.5,1205,2.6,6.8,0.22,NO,6.8,30.2222,1.91,8.4889,8.1,1.91,391,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00340000,2019-01-07,2019-01-11,TSLA,C,22.67,5420,2.44,5.6,0.98,NO,5.6,24.7022,1.56,6.8813,6.85,1.56,1390,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00342500,2019-01-07,2019-01-11,TSLA,C,22.83,1274,1.53,4.72,1.69,NO,4.72,20.6746,1.33,5.8257,5.8,1.33,371,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00345000,2019-01-07,2019-01-11,TSLA,C,23.0,2174,1.49,3.85,2.45,NO,3.85,16.7391,0.99,4.3043,4.94,0.99,622,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00347500,2019-01-07,2019-01-11,TSLA,C,23.17,871,1.1,3.15,3.21,NO,3.15,13.5952,0.8,3.4527,4.19,0.8,300,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00350000,2019-01-07,2019-01-11,TSLA,C,23.33,9082,1.1,2.6,3.92,NO,2.6,11.1444,0.65,2.7861,3.5,0.65,2228,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00352500,2019-01-07,2019-01-11,TSLA,C,23.5,1025,0.6,2.14,4.68,NO,2.14,9.1064,0.49,2.0851,2.83,0.49,256,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00355000,2019-01-07,2019-01-11,TSLA,C,23.67,1567,0.5,1.67,5.43,NO,1.67,7.0553,0.38,1.6054,2.38,0.38,465,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00357500,2019-01-07,2019-01-11,TSLA,C,23.83,727,0.38,1.39,6.15,NO,1.39,5.833,0.36,1.5107,1.99,0.36,197,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00360000,2019-01-07,2019-01-11,TSLA,C,24.0,2145,0.32,1.11,6.9,NO,1.11,4.625,0.23,0.9583,1.65,0.23,539,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00362500,2019-01-07,2019-01-11,TSLA,C,24.17,364,0.3,0.88,7.66,NO,0.88,3.6409,0.24,0.993,1.35,0.24,133,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00365000,2019-01-07,2019-01-11,TSLA,C,24.33,474,0.19,0.7,8.37,NO,0.7,2.8771,0.19,0.7809,1.11,0.19,143,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00367500,2019-01-07,2019-01-11,TSLA,C,24.5,292,0.14,0.59,9.13,NO,0.59,2.4082,0.14,0.5714,0.89,0.14,99,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00370000,2019-01-07,2019-01-11,TSLA,C,24.67,505,0.15,0.44,9.89,NO,0.44,1.7835,0.11,0.4459,0.75,0.11,172,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00372500,2019-01-07,2019-01-11,TSLA,C,24.83,749,0.16,0.38,10.6,NO,0.38,1.5304,0.16,0.6444,0.52,0.16,140,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00375000,2019-01-07,2019-01-11,TSLA,C,25.0,319,0.1,0.32,11.36,NO,0.32,1.28,0.01,0.04,0.52,0.01,89,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00377500,2019-01-07,2019-01-11,TSLA,C,25.17,171,1.49,0.27,12.12,NO,0.27,1.0727,0.05,0.1986,1.49,0.05,30,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
O:TSLA190111C00380000,2019-01-07,2019-01-11,TSLA,C,25.33,543,0.1,0.24,12.83,NO,0.24,0.9475,0.09,0.3553,0.36,0.09,127,1546837200000000000,4.0,Weekly,21.45,22.33,22.45,21.18,22.45,23.15,23.23,23.23
