ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:UBER190524C00030000,2019-05-20,2019-05-24,UBER,C,30.0,6,2.48,2.68,-28.02,YES,2.58,6.19,2.48,5.95,2.68,2.48,2,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,2.58,6.43
O:UBER190524C00034500,2019-05-20,2019-05-24,UBER,C,34.5,1,1.68,1.68,-17.23,YES,1.68,4.03,1.68,4.03,1.68,1.68,1,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,1.68,4.03
O:UBER190524C00036500,2019-05-20,2019-05-24,UBER,C,36.5,37,1.08,1.23,-12.43,YES,1.12,2.68,1.0,2.4,1.23,1.0,4,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,1.12,2.95
O:UBER190524C00037000,2019-05-20,2019-05-24,UBER,C,37.0,16,0.92,0.98,-11.23,YES,0.93,2.23,0.88,2.11,0.98,0.88,3,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.93,2.35
O:UBER190524C00037500,2019-05-20,2019-05-24,UBER,C,37.5,53,0.75,0.75,-10.03,YES,0.75,1.8,0.75,1.8,0.75,0.75,2,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.75,1.8
O:UBER190524C00038000,2019-05-20,2019-05-24,UBER,C,38.0,118,0.56,0.78,-8.83,YES,0.68,1.63,0.56,1.34,0.8,0.56,6,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.68,1.92
O:UBER190524C00038500,2019-05-20,2019-05-24,UBER,C,38.5,60,0.6,0.68,-7.63,YES,0.6,1.44,0.5,1.2,0.7,0.5,10,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.6,1.68
O:UBER190524C00039000,2019-05-20,2019-05-24,UBER,C,39.0,18,0.52,0.57,-6.43,YES,0.55,1.32,0.5,1.2,0.6,0.5,7,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.55,1.44
O:UBER190524C00039500,2019-05-20,2019-05-24,UBER,C,39.5,236,0.36,0.59,-5.23,YES,0.47,1.13,0.34,0.82,0.6,0.34,11,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.47,1.44
O:UBER190524C00040000,2019-05-20,2019-05-24,UBER,C,40.0,416,0.36,0.54,-4.03,YES,0.42,1.01,0.29,0.7,0.55,0.29,78,1558324800000000000,4,Weekly,41.19,41.59,41.68,39.46,41.68,41.51,41.51,41.51,0.0239,0.42,1.32
