ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:UBER250110C00052000,2025-01-06,2025-01-10,UBER,C,52.0,1,3.55,3.55,3.55,3.55,1,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00055000,2025-01-06,2025-01-10,UBER,C,55.0,2,2.99,2.99,2.99,2.99,2,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00057000,2025-01-06,2025-01-10,UBER,C,57.0,3,2.5,2.41,2.5,2.41,2,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00058000,2025-01-06,2025-01-10,UBER,C,58.0,20,2.28,2.08,2.28,2.08,12,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00059000,2025-01-06,2025-01-10,UBER,C,59.0,3,1.95,1.82,1.95,1.82,3,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00060000,2025-01-06,2025-01-10,UBER,C,60.0,122,1.6,1.54,1.81,1.52,44,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00061000,2025-01-06,2025-01-10,UBER,C,61.0,567,1.5,1.39,1.57,1.31,61,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00062000,2025-01-06,2025-01-10,UBER,C,62.0,237,1.1,1.1,1.35,1.06,103,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00063000,2025-01-06,2025-01-10,UBER,C,63.0,1631,0.9,0.89,1.11,0.84,200,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00064000,2025-01-06,2025-01-10,UBER,C,64.0,1803,0.8,0.68,0.88,0.62,298,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00065000,2025-01-06,2025-01-10,UBER,C,65.0,2089,0.54,0.47,0.66,0.43,439,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00066000,2025-01-06,2025-01-10,UBER,C,66.0,2314,0.38,0.32,0.5,0.27,541,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
O:UBER250110C00067000,2025-01-06,2025-01-10,UBER,C,67.0,10369,0.23,0.2,0.34,0.18,1544,1736139600000000000,4,Weekly,66.97,66.31,67.35,66.04,67.35,65.97,66.6,66.6
