ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:UBER190621C00027000,2019-05-20,2019-06-21,UBER,C,270.0,1,14.3,14.3,14.3,14.3,1,1558324800000000000,32,Monthly
O:UBER190621C00032000,2019-05-20,2019-06-21,UBER,C,320.0,1,9.4,9.4,9.4,9.4,1,1558324800000000000,32,Monthly
O:UBER190621C00034000,2019-05-20,2019-06-21,UBER,C,340.0,1,7.68,7.68,7.68,7.68,1,1558324800000000000,32,Monthly
O:UBER190621C00035000,2019-05-20,2019-06-21,UBER,C,350.0,5,6.71,6.75,6.75,6.71,4,1558324800000000000,32,Monthly
O:UBER190621C00037000,2019-05-20,2019-06-21,UBER,C,370.0,13,5.4,5.4,5.4,5.4,1,1558324800000000000,32,Monthly
O:UBER190621C00038000,2019-05-20,2019-06-21,UBER,C,380.0,117,4.43,4.88,4.9,4.43,29,1558324800000000000,32,Monthly
O:UBER190621C00039000,2019-05-20,2019-06-21,UBER,C,390.0,3,3.7,3.7,3.7,3.7,1,1558324800000000000,32,Monthly
O:UBER190621C00040000,2019-05-20,2019-06-21,UBER,C,400.0,83,3.05,3.55,3.55,2.85,30,1558324800000000000,32,Monthly
O:UBER190621C00040500,2019-05-20,2019-06-21,UBER,C,405.0,20,2.75,2.85,2.85,2.75,2,1558324800000000000,32,Monthly
O:UBER190621C00041000,2019-05-20,2019-06-21,UBER,C,410.0,53,2.5,3.0,3.1,2.49,25,1558324800000000000,32,Monthly
O:UBER190621C00041500,2019-05-20,2019-06-21,UBER,C,415.0,36,2.35,2.75,2.78,2.25,10,1558324800000000000,32,Monthly
O:UBER190621C00042000,2019-05-20,2019-06-21,UBER,C,420.0,115,2.24,2.53,2.53,1.85,34,1558324800000000000,32,Monthly
O:UBER190621C00042500,2019-05-20,2019-06-21,UBER,C,425.0,114,1.75,2.09,2.15,1.75,20,1558324800000000000,32,Monthly
O:UBER190621C00043000,2019-05-20,2019-06-21,UBER,C,430.0,341,1.73,2.05,2.07,1.44,41,1558324800000000000,32,Monthly
O:UBER190621C00043500,2019-05-20,2019-06-21,UBER,C,435.0,12,1.8,1.7,1.9,1.6,6,1558324800000000000,32,Monthly
O:UBER190621C00044000,2019-05-20,2019-06-21,UBER,C,440.0,400,1.42,1.74,1.74,1.29,43,1558324800000000000,32,Monthly
O:UBER190621C00044500,2019-05-20,2019-06-21,UBER,C,445.0,18,1.22,1.49,1.49,1.22,7,1558324800000000000,32,Monthly
O:UBER190621C00045000,2019-05-20,2019-06-21,UBER,C,450.0,580,1.1,1.4,1.4,0.9,104,1558324800000000000,32,Monthly
O:UBER190621C00045500,2019-05-20,2019-06-21,UBER,C,455.0,3,1.12,1.25,1.25,1.1,3,1558324800000000000,32,Monthly
O:UBER190621C00046000,2019-05-20,2019-06-21,UBER,C,460.0,137,1.0,1.15,1.15,0.84,37,1558324800000000000,32,Monthly
O:UBER190621C00046500,2019-05-20,2019-06-21,UBER,C,465.0,1,0.9,0.9,0.9,0.9,1,1558324800000000000,32,Monthly
O:UBER190621C00047000,2019-05-20,2019-06-21,UBER,C,470.0,409,0.85,0.87,0.9,0.61,69,1558324800000000000,32,Monthly
O:UBER190621C00048000,2019-05-20,2019-06-21,UBER,C,480.0,162,0.5,0.7,0.74,0.5,75,1558324800000000000,32,Monthly
O:UBER190621C00049000,2019-05-20,2019-06-21,UBER,C,490.0,18,0.62,0.54,0.62,0.42,14,1558324800000000000,32,Monthly
O:UBER190621C00050000,2019-05-20,2019-06-21,UBER,C,500.0,172,0.43,0.45,0.45,0.29,43,1558324800000000000,32,Monthly
O:UBER190621C00055000,2019-05-20,2019-06-21,UBER,C,550.0,44,0.15,0.1,0.15,0.1,18,1558324800000000000,32,Monthly
O:UBER190621C00060000,2019-05-20,2019-06-21,UBER,C,600.0,12,0.1,0.04,0.1,0.04,3,1558324800000000000,32,Monthly
O:UBER190621C00065000,2019-05-20,2019-06-21,UBER,C,650.0,20,0.05,0.05,0.05,0.05,1,1558324800000000000,32,Monthly
O:UBER190621P00027000,2019-05-20,2019-06-21,UBER,P,270.0,11,0.09,0.08,0.09,0.07,3,1558324800000000000,32,Monthly
O:UBER190621P00029000,2019-05-20,2019-06-21,UBER,P,290.0,62,0.15,0.1,0.15,0.1,11,1558324800000000000,32,Monthly
O:UBER190621P00030000,2019-05-20,2019-06-21,UBER,P,300.0,13,0.22,0.16,0.22,0.16,4,1558324800000000000,32,Monthly
O:UBER190621P00031000,2019-05-20,2019-06-21,UBER,P,310.0,13,0.2,0.18,0.29,0.17,7,1558324800000000000,32,Monthly
O:UBER190621P00032000,2019-05-20,2019-06-21,UBER,P,320.0,4,0.3,0.25,0.35,0.25,4,1558324800000000000,32,Monthly
O:UBER190621P00033000,2019-05-20,2019-06-21,UBER,P,330.0,132,0.42,0.33,0.5,0.31,16,1558324800000000000,32,Monthly
