ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:UBER210219C00040000,2021-01-19,2021-02-19,UBER,C,400.0,1,15.95,15.95,703.7,NO,15.95,28.06,15.95,28.06,15.95,15.95,1,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,15.95,28.06,6.35,0.02
O:UBER210219C00045000,2021-01-19,2021-02-19,UBER,C,450.0,30,11.32,11.75,791.66,NO,11.32,19.92,10.9,19.18,11.75,10.9,8,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,11.32,20.67,5.86,0.02
O:UBER210219C00049000,2021-01-19,2021-02-19,UBER,C,490.0,8,7.55,7.5,862.03,NO,7.52,13.24,7.5,13.19,7.55,7.5,6,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,7.52,13.28,5.25,0.01
O:UBER210219C00050000,2021-01-19,2021-02-19,UBER,C,500.0,878,7.6,7.53,879.63,NO,7.22,12.71,6.85,12.05,7.6,6.85,57,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,7.22,13.37,5.28,0.01
O:UBER210219C00050500,2021-01-19,2021-02-19,UBER,C,505.0,7,6.75,7.08,888.42,NO,6.92,12.17,6.75,11.87,7.08,6.75,3,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,6.92,12.46,5.21,0.01
O:UBER210219C00051000,2021-01-19,2021-02-19,UBER,C,510.0,3,6.15,6.15,897.22,NO,6.15,10.82,6.15,10.82,6.15,6.15,3,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,6.15,10.82,5.04,0.01
O:UBER210219C00051500,2021-01-19,2021-02-19,UBER,C,515.0,1,6.4,6.4,906.01,NO,6.4,11.26,6.4,11.26,6.4,6.4,1,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,6.4,11.26,5.11,0.01
O:UBER210219C00052500,2021-01-19,2021-02-19,UBER,C,525.0,27,5.55,5.6,923.61,NO,5.48,9.63,5.35,9.41,5.6,5.35,8,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,5.48,9.85,4.97,0.01
O:UBER210219C00053500,2021-01-19,2021-02-19,UBER,C,535.0,31,4.95,5.1,941.2,NO,4.92,8.66,4.75,8.36,5.1,4.75,4,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,4.92,8.97,4.89,0.01
O:UBER210219C00054000,2021-01-19,2021-02-19,UBER,C,540.0,8,4.4,5.1,950.0,NO,4.75,8.36,4.4,7.74,5.1,4.4,4,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,4.75,8.97,4.9,0.01
O:UBER210219C00054500,2021-01-19,2021-02-19,UBER,C,545.0,15,4.4,4.45,958.79,NO,4.32,7.61,4.2,7.39,4.45,4.2,6,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,4.32,7.83,4.76,0.01
O:UBER210219C00055000,2021-01-19,2021-02-19,UBER,C,550.0,293,4.76,4.31,967.59,NO,4.28,7.53,3.8,6.69,4.76,3.8,95,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,4.28,8.37,4.74,0.01
O:UBER210219C00055500,2021-01-19,2021-02-19,UBER,C,555.0,153,4.0,4.25,976.38,NO,4.01,7.05,3.77,6.63,4.25,3.77,25,1611032400000000000,31,Monthly,56.39,56.3,56.84,55.0,56.84,58.39,60.46,60.46,0.0009,4.01,7.48,4.74,0.01
