ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:UBER230217C00020000,2023-01-17,2023-02-17,UBER,C,200.0,30,9.5,9.8,671.59,NO,9.65,32.4,9.5,31.9,9.8,9.5,8,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,9.65,32.91
O:UBER230217C00022500,2023-01-17,2023-02-17,UBER,C,225.0,53,7.0,7.24,755.54,NO,7.12,23.91,7.0,23.51,7.24,7.0,8,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,7.12,24.31
O:UBER230217C00025000,2023-01-17,2023-02-17,UBER,C,250.0,53,5.0,4.99,839.49,NO,4.87,16.35,4.74,15.92,5.0,4.74,10,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,4.87,16.79
O:UBER230217C00027500,2023-01-17,2023-02-17,UBER,C,275.0,229,3.09,3.1,923.44,NO,3.18,10.66,2.95,9.91,3.4,2.95,49,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,3.18,11.42
O:UBER230217C00030000,2023-01-17,2023-02-17,UBER,C,300.0,1521,1.89,1.69,1007.39,NO,1.74,5.84,1.55,5.2,1.93,1.55,171,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,1.74,6.48
O:UBER230217C00032500,2023-01-17,2023-02-17,UBER,C,325.0,2396,0.92,0.79,1091.34,NO,0.87,2.92,0.74,2.48,1.0,0.74,116,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.87,3.36
O:UBER230217C00035000,2023-01-17,2023-02-17,UBER,C,350.0,461,0.4,0.33,1175.29,NO,0.35,1.18,0.29,0.97,0.41,0.29,102,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.35,1.38
O:UBER230217C00037500,2023-01-17,2023-02-17,UBER,C,375.0,111,0.13,0.14,1259.23,NO,0.13,0.44,0.11,0.37,0.15,0.11,8,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.13,0.5
O:UBER230217C00040000,2023-01-17,2023-02-17,UBER,C,400.0,16,0.06,0.06,1343.18,NO,0.06,0.18,0.05,0.17,0.06,0.05,5,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.06,0.2
O:UBER230217C00042500,2023-01-17,2023-02-17,UBER,C,425.0,1,0.04,0.04,1427.13,NO,0.04,0.13,0.04,0.13,0.04,0.04,1,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.04,0.13
O:UBER230217C00045000,2023-01-17,2023-02-17,UBER,C,450.0,10,0.02,0.02,1511.08,NO,0.02,0.07,0.02,0.07,0.02,0.02,1,1673931600000000000,31,Monthly,29.44,29.2,29.78,28.96,29.78,34.77,36.23,36.23,0.0433,0.02,0.07
O:UBER230217C00020000,2023-01-18,2023-02-17,UBER,C,200.0,2,9.37,9.37,664.67,NO,9.37,31.14,9.37,31.14,9.37,9.37,2,1674018000000000000,30,Monthly,29.95,28.96,30.09,28.88,30.09,34.77,36.23,36.23,0.0433,9.37,31.14
O:UBER230217C00025000,2023-01-18,2023-02-17,UBER,C,250.0,239,5.35,4.75,830.84,NO,5.05,16.78,4.75,15.79,5.35,4.75,19,1674018000000000000,30,Monthly,29.95,28.96,30.09,28.88,30.09,34.77,36.23,36.23,0.0433,5.05,17.78
O:UBER230217C00027500,2023-01-18,2023-02-17,UBER,C,275.0,195,3.5,2.94,913.92,NO,3.27,10.87,2.94,9.77,3.6,2.94,50,1674018000000000000,30,Monthly,29.95,28.96,30.09,28.88,30.09,34.77,36.23,36.23,0.0433,3.27,11.96
