ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:UBER190524C00030000,2019-05-20,2019-05-24,UBER,C,300.0,6,9.9,10.7,10.7,9.9,2,1558324800000000000,4,Weekly
O:UBER190524C00034500,2019-05-20,2019-05-24,UBER,C,345.0,1,6.7,6.7,6.7,6.7,1,1558324800000000000,4,Weekly
O:UBER190524C00036500,2019-05-20,2019-05-24,UBER,C,365.0,37,4.3,4.9,4.9,4.0,4,1558324800000000000,4,Weekly
O:UBER190524C00037000,2019-05-20,2019-05-24,UBER,C,370.0,16,3.7,3.9,3.9,3.5,3,1558324800000000000,4,Weekly
O:UBER190524C00037500,2019-05-20,2019-05-24,UBER,C,375.0,53,3.0,3.0,3.0,3.0,2,1558324800000000000,4,Weekly
O:UBER190524C00038000,2019-05-20,2019-05-24,UBER,C,380.0,118,2.23,3.1,3.2,2.23,6,1558324800000000000,4,Weekly
O:UBER190524C00038500,2019-05-20,2019-05-24,UBER,C,385.0,60,2.4,2.7,2.81,1.98,10,1558324800000000000,4,Weekly
O:UBER190524C00039000,2019-05-20,2019-05-24,UBER,C,390.0,18,2.1,2.3,2.4,2.0,7,1558324800000000000,4,Weekly
O:UBER190524C00039500,2019-05-20,2019-05-24,UBER,C,395.0,236,1.42,2.35,2.4,1.38,11,1558324800000000000,4,Weekly
O:UBER190524C00040000,2019-05-20,2019-05-24,UBER,C,400.0,416,1.45,2.15,2.2,1.15,78,1558324800000000000,4,Weekly
O:UBER190524C00040500,2019-05-20,2019-05-24,UBER,C,405.0,215,1.0,1.8,1.8,1.0,62,1558324800000000000,4,Weekly
O:UBER190524C00041000,2019-05-20,2019-05-24,UBER,C,410.0,1024,1.1,1.44,1.45,0.8,227,1558324800000000000,4,Weekly
O:UBER190524C00041500,2019-05-20,2019-05-24,UBER,C,415.0,755,1.4,1.23,1.4,0.64,75,1558324800000000000,4,Weekly
O:UBER190524C00042000,2019-05-20,2019-05-24,UBER,C,420.0,793,1.25,1.0,1.25,0.5,118,1558324800000000000,4,Weekly
O:UBER190524C00042500,2019-05-20,2019-05-24,UBER,C,425.0,225,0.8,0.8,0.8,0.4,65,1558324800000000000,4,Weekly
O:UBER190524C00043000,2019-05-20,2019-05-24,UBER,C,430.0,503,0.58,0.6,0.61,0.3,108,1558324800000000000,4,Weekly
O:UBER190524C00043500,2019-05-20,2019-05-24,UBER,C,435.0,87,0.65,0.5,0.65,0.25,26,1558324800000000000,4,Weekly
O:UBER190524C00044000,2019-05-20,2019-05-24,UBER,C,440.0,814,0.33,0.3,0.37,0.18,75,1558324800000000000,4,Weekly
O:UBER190524C00044500,2019-05-20,2019-05-24,UBER,C,445.0,171,0.35,0.25,0.35,0.12,34,1558324800000000000,4,Weekly
O:UBER190524C00045000,2019-05-20,2019-05-24,UBER,C,450.0,1909,0.25,0.2,0.25,0.1,114,1558324800000000000,4,Weekly
O:UBER190524C00045500,2019-05-20,2019-05-24,UBER,C,455.0,517,0.25,0.15,0.25,0.1,26,1558324800000000000,4,Weekly
O:UBER190524C00046000,2019-05-20,2019-05-24,UBER,C,460.0,162,0.1,0.1,0.13,0.05,32,1558324800000000000,4,Weekly
O:UBER190524C00046500,2019-05-20,2019-05-24,UBER,C,465.0,52,0.05,0.1,0.1,0.05,13,1558324800000000000,4,Weekly
O:UBER190524C00047000,2019-05-20,2019-05-24,UBER,C,470.0,159,0.05,0.05,0.05,0.05,32,1558324800000000000,4,Weekly
O:UBER190524C00047500,2019-05-20,2019-05-24,UBER,C,475.0,10,0.1,0.05,0.1,0.05,4,1558324800000000000,4,Weekly
O:UBER190524C00048000,2019-05-20,2019-05-24,UBER,C,480.0,10,0.04,0.04,0.04,0.04,1,1558324800000000000,4,Weekly
O:UBER190524C00049000,2019-05-20,2019-05-24,UBER,C,490.0,3,0.05,0.03,0.05,0.03,2,1558324800000000000,4,Weekly
O:UBER190524C00051000,2019-05-20,2019-05-24,UBER,C,510.0,203,0.05,0.05,0.05,0.05,2,1558324800000000000,4,Weekly
O:UBER190524C00055000,2019-05-20,2019-05-24,UBER,C,550.0,1,0.05,0.05,0.05,0.05,1,1558324800000000000,4,Weekly
O:UBER190524P00031000,2019-05-20,2019-05-24,UBER,P,310.0,2,0.05,0.05,0.05,0.05,1,1558324800000000000,4,Weekly
O:UBER190524P00032000,2019-05-20,2019-05-24,UBER,P,320.0,2,0.05,0.05,0.05,0.05,1,1558324800000000000,4,Weekly
O:UBER190524P00033000,2019-05-20,2019-05-24,UBER,P,330.0,4,0.05,0.05,0.05,0.05,1,1558324800000000000,4,Weekly
