ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:UNH180105C00215000,2018-01-02,2018-01-05,UNH,C,215.0,1,1.6,1.6,-3.35,YES,1.6,0.72,1.6,0.72,1.6,1.6,1,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,1.6,0.72
O:UNH180105C00217500,2018-01-02,2018-01-05,UNH,C,217.5,20,1.02,1.02,-2.23,YES,1.02,0.46,1.02,0.46,1.02,1.02,1,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,1.02,0.46
O:UNH180105C00220000,2018-01-02,2018-01-05,UNH,C,220.0,36,0.44,0.48,-1.1,YES,0.49,0.22,0.41,0.18,0.57,0.41,8,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,0.49,0.26
O:UNH180105C00222500,2018-01-02,2018-01-05,UNH,C,222.5,36,0.22,0.14,0.02,YES,0.18,0.08,0.14,0.06,0.22,0.14,13,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,0.18,0.1
O:UNH180105C00225000,2018-01-02,2018-01-05,UNH,C,225.0,147,0.1,0.04,1.15,YES,0.07,0.03,0.03,0.01,0.11,0.03,17,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,0.07,0.05
O:UNH180105C00227500,2018-01-02,2018-01-05,UNH,C,227.5,4,0.01,0.02,2.27,YES,0.02,0.01,0.01,0.0,0.02,0.01,3,1514869200000000000,3,Weekly,221.02,221.16,222.45,220.0,222.45,228.73,229.05,229.05,0.0141,0.02,0.01
O:UNH180112C00180000,2018-01-08,2018-01-12,UNH,C,180.0,3,11.62,11.62,-21.3,YES,11.62,5.08,11.62,5.08,11.62,11.62,1,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,11.62,5.08
O:UNH180112C00200000,2018-01-08,2018-01-12,UNH,C,200.0,15,6.35,6.35,-12.55,YES,6.35,2.78,6.35,2.78,6.35,6.35,1,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,6.35,2.78
O:UNH180112C00210000,2018-01-08,2018-01-12,UNH,C,210.0,1,4.06,4.06,-8.18,YES,4.06,1.78,4.06,1.78,4.06,4.06,1,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,4.06,1.78
O:UNH180112C00220000,2018-01-08,2018-01-12,UNH,C,220.0,8,1.48,1.4,-3.81,YES,1.44,0.63,1.4,0.61,1.48,1.4,4,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,1.44,0.65
O:UNH180112C00222500,2018-01-08,2018-01-12,UNH,C,222.5,57,1.06,0.88,-2.72,YES,0.97,0.42,0.88,0.38,1.06,0.88,4,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.97,0.46
O:UNH180112C00225000,2018-01-08,2018-01-12,UNH,C,225.0,72,0.6,0.41,-1.62,YES,0.55,0.24,0.41,0.18,0.68,0.41,13,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.55,0.3
O:UNH180112C00227500,2018-01-08,2018-01-12,UNH,C,227.5,69,0.41,0.16,-0.53,YES,0.29,0.13,0.16,0.07,0.42,0.16,18,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.29,0.18
O:UNH180112C00230000,2018-01-08,2018-01-12,UNH,C,230.0,1058,0.33,0.06,0.56,YES,0.2,0.09,0.06,0.03,0.33,0.06,82,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.2,0.14
O:UNH180112C00232500,2018-01-08,2018-01-12,UNH,C,232.5,31,0.12,0.02,1.66,YES,0.07,0.03,0.02,0.01,0.12,0.02,6,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.07,0.05
O:UNH180112C00240000,2018-01-08,2018-01-12,UNH,C,240.0,2,0.01,0.01,4.94,YES,0.01,0.0,0.01,0.0,0.01,0.01,2,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.01,0.0
O:UNH180112C00242500,2018-01-08,2018-01-12,UNH,C,242.5,1,0.02,0.02,6.03,YES,0.02,0.01,0.02,0.01,0.02,0.02,1,1515387600000000000,4,Weekly,228.13,224.76,228.71,224.61,228.71,228.64,229.9,229.9,0.0141,0.02,0.01
O:UNH180119C00115000,2018-01-16,2018-01-19,UNH,C,115.0,20,29.81,29.65,-51.06,YES,29.73,12.65,29.65,12.62,29.81,29.65,3,1516078800000000000,3,Weekly,233.37,232.9,235.0,231.25,235.0,243.35,244.35,244.35,0.0141,29.73,12.69
O:UNH180119C00120000,2018-01-16,2018-01-19,UNH,C,120.0,2,28.25,28.25,-48.94,YES,28.25,12.02,28.25,12.02,28.25,28.25,1,1516078800000000000,3,Weekly,233.37,232.9,235.0,231.25,235.0,243.35,244.35,244.35,0.0141,28.25,12.02
