ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:UNH210108C00220000,2021-01-04,2021-01-08,UNH,C,220.0,28,32.02,31.98,62.49,YES,32.02,9.09,31.95,9.07,32.08,31.95,10,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,32.02,9.11,,
O:UNH210108C00327500,2021-01-04,2021-01-08,UNH,C,327.5,30,6.32,5.42,93.02,YES,5.68,1.61,5.05,1.43,6.32,5.05,12,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,5.68,1.8,,
O:UNH210108C00330000,2021-01-04,2021-01-08,UNH,C,330.0,5,4.51,3.88,93.73,YES,4.2,1.19,3.88,1.1,4.51,3.88,3,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,4.2,1.28,,
O:UNH210108C00332500,2021-01-04,2021-01-08,UNH,C,332.5,18,3.99,4.12,94.44,YES,3.73,1.06,3.34,0.95,4.12,3.34,7,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,3.73,1.17,,
O:UNH210108C00335000,2021-01-04,2021-01-08,UNH,C,335.0,11,3.04,3.54,95.15,YES,3.29,0.93,3.04,0.86,3.54,3.04,7,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,3.29,1.01,,
O:UNH210108C00337500,2021-01-04,2021-01-08,UNH,C,337.5,16,2.52,3.05,95.86,YES,2.87,0.82,2.5,0.71,3.24,2.5,4,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,2.87,0.92,,
O:UNH210108C00340000,2021-01-04,2021-01-08,UNH,C,340.0,23,3.18,2.98,96.57,YES,2.61,0.74,2.04,0.58,3.18,2.04,15,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,2.61,0.9,,
O:UNH210108C00342500,2021-01-04,2021-01-08,UNH,C,342.5,128,2.02,2.72,97.28,YES,2.16,0.61,1.61,0.46,2.72,1.61,53,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,2.16,0.77,,
O:UNH210108C00345000,2021-01-04,2021-01-08,UNH,C,345.0,202,2.16,2.08,97.99,YES,1.69,0.48,1.19,0.34,2.19,1.19,105,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,1.69,0.62,,
O:UNH210108C00347500,2021-01-04,2021-01-08,UNH,C,347.5,156,2.22,1.82,98.7,YES,1.61,0.46,0.9,0.26,2.32,0.9,101,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,1.61,0.66,,
O:UNH210108C00350000,2021-01-04,2021-01-08,UNH,C,350.0,485,1.71,1.49,99.41,YES,1.23,0.35,0.74,0.21,1.71,0.74,168,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,1.23,0.49,,
O:UNH210108C00352500,2021-01-04,2021-01-08,UNH,C,352.5,104,1.44,1.26,100.12,YES,1.0,0.29,0.57,0.16,1.44,0.57,60,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,1.0,0.41,0.0992,0.4526
O:UNH210108C00355000,2021-01-04,2021-01-08,UNH,C,355.0,191,1.3,1.02,100.83,YES,0.86,0.25,0.43,0.12,1.3,0.43,55,1609736400000000000,4,Weekly,351.45,349.5,352.08,340.38,352.08,363.39,367.49,367.49,0.0009,0.86,0.37,0.1473,0.2936
