ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:UNH230106C00340000,2023-01-03,2023-01-06,UNH,C,340.0,2,44.45,43.73,44.45,43.73,2,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00460000,2023-01-03,2023-01-06,UNH,C,460.0,2,15.59,15.24,15.59,15.24,2,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00495000,2023-01-03,2023-01-06,UNH,C,495.0,1,5.23,5.23,5.23,5.23,1,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00500000,2023-01-03,2023-01-06,UNH,C,500.0,6,5.7,3.88,6.11,3.88,6,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00505000,2023-01-03,2023-01-06,UNH,C,505.0,5,3.68,3.3,3.68,3.06,4,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00510000,2023-01-03,2023-01-06,UNH,C,510.0,6,2.0,2.1,2.44,2.0,4,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00512500,2023-01-03,2023-01-06,UNH,C,512.5,86,2.45,2.01,2.45,1.58,24,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00515000,2023-01-03,2023-01-06,UNH,C,515.0,97,2.82,1.89,2.82,1.12,41,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00517500,2023-01-03,2023-01-06,UNH,C,517.5,62,2.08,1.57,2.29,0.96,47,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00520000,2023-01-03,2023-01-06,UNH,C,520.0,215,1.55,1.15,1.92,0.62,89,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00522500,2023-01-03,2023-01-06,UNH,C,522.5,103,1.71,0.89,1.71,0.48,54,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00525000,2023-01-03,2023-01-06,UNH,C,525.0,442,1.21,0.66,1.39,0.35,150,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00527500,2023-01-03,2023-01-06,UNH,C,527.5,149,0.89,0.43,0.99,0.22,38,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00530000,2023-01-03,2023-01-06,UNH,C,530.0,266,0.82,0.3,0.82,0.17,103,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00532500,2023-01-03,2023-01-06,UNH,C,532.5,86,0.48,0.18,0.5,0.12,59,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00535000,2023-01-03,2023-01-06,UNH,C,535.0,125,0.4,0.15,0.4,0.07,50,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00537500,2023-01-03,2023-01-06,UNH,C,537.5,93,0.24,0.1,0.32,0.06,35,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00540000,2023-01-03,2023-01-06,UNH,C,540.0,182,0.19,0.06,0.19,0.03,54,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00542500,2023-01-03,2023-01-06,UNH,C,542.5,9,0.13,0.04,0.13,0.04,5,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00545000,2023-01-03,2023-01-06,UNH,C,545.0,69,0.09,0.04,0.09,0.02,32,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00547500,2023-01-03,2023-01-06,UNH,C,547.5,8,0.02,0.05,0.05,0.02,5,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00550000,2023-01-03,2023-01-06,UNH,C,550.0,108,0.08,0.03,0.08,0.0,36,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00552500,2023-01-03,2023-01-06,UNH,C,552.5,38,0.02,0.04,0.04,0.02,3,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00555000,2023-01-03,2023-01-06,UNH,C,555.0,198,0.05,0.02,0.05,0.01,16,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00557500,2023-01-03,2023-01-06,UNH,C,557.5,5,0.01,0.02,0.02,0.01,2,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00560000,2023-01-03,2023-01-06,UNH,C,560.0,36,0.02,0.02,0.02,0.0,12,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00565000,2023-01-03,2023-01-06,UNH,C,565.0,1,0.09,0.09,0.09,0.09,1,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00570000,2023-01-03,2023-01-06,UNH,C,570.0,2,0.09,0.01,0.09,0.01,2,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00575000,2023-01-03,2023-01-06,UNH,C,575.0,41,0.01,0.0,0.01,0.0,10,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00595000,2023-01-03,2023-01-06,UNH,C,595.0,16,0.0,0.0,0.0,0.0,16,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00605000,2023-01-03,2023-01-06,UNH,C,605.0,8,0.0,0.0,0.0,0.0,2,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
O:UNH230106C00630000,2023-01-03,2023-01-06,UNH,C,630.0,3,0.04,0.04,0.04,0.04,3,1672722000000000000,3,Weekly,525.13,518.64,525.63,512.16,525.63,490.0,492.87,492.87
