ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:UNH210108C00220000,2021-01-04,2021-01-08,UNH,C,2200.0,28,128.1,127.9,128.3,127.79,10,1609736400000000000,4,Weekly
O:UNH210108C00327500,2021-01-04,2021-01-08,UNH,C,3275.0,30,25.28,21.69,25.28,20.2,12,1609736400000000000,4,Weekly
O:UNH210108C00330000,2021-01-04,2021-01-08,UNH,C,3300.0,5,18.04,15.5,18.04,15.5,3,1609736400000000000,4,Weekly
O:UNH210108C00332500,2021-01-04,2021-01-08,UNH,C,3325.0,18,15.97,16.5,16.5,13.35,7,1609736400000000000,4,Weekly
O:UNH210108C00335000,2021-01-04,2021-01-08,UNH,C,3350.0,11,12.15,14.15,14.15,12.15,7,1609736400000000000,4,Weekly
O:UNH210108C00337500,2021-01-04,2021-01-08,UNH,C,3375.0,16,10.1,12.2,12.95,10.0,4,1609736400000000000,4,Weekly
O:UNH210108C00340000,2021-01-04,2021-01-08,UNH,C,3400.0,23,12.7,11.9,12.7,8.15,15,1609736400000000000,4,Weekly
O:UNH210108C00342500,2021-01-04,2021-01-08,UNH,C,3425.0,128,8.1,10.9,10.9,6.45,53,1609736400000000000,4,Weekly
O:UNH210108C00345000,2021-01-04,2021-01-08,UNH,C,3450.0,202,8.65,8.32,8.75,4.75,105,1609736400000000000,4,Weekly
O:UNH210108C00347500,2021-01-04,2021-01-08,UNH,C,3475.0,156,8.9,7.26,9.29,3.6,101,1609736400000000000,4,Weekly
O:UNH210108C00350000,2021-01-04,2021-01-08,UNH,C,3500.0,485,6.85,5.95,6.85,2.97,168,1609736400000000000,4,Weekly
O:UNH210108C00352500,2021-01-04,2021-01-08,UNH,C,3525.0,104,5.75,5.04,5.75,2.27,60,1609736400000000000,4,Weekly
O:UNH210108C00355000,2021-01-04,2021-01-08,UNH,C,3550.0,191,5.18,4.1,5.18,1.71,55,1609736400000000000,4,Weekly
O:UNH210108C00357500,2021-01-04,2021-01-08,UNH,C,3575.0,62,3.95,3.0,4.0,1.34,26,1609736400000000000,4,Weekly
