ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:UNH220107C00280000,2022-01-03,2022-01-07,UNH,C,280.0,3,215.75,216.0,-44.32,NO,215.88,42.93,215.75,42.9,216.0,215.75,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,215.88,42.95
O:UNH220107C00410000,2022-01-03,2022-01-07,UNH,C,410.0,1,87.2,87.2,-18.47,NO,87.2,17.34,87.2,17.34,87.2,87.2,1,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,87.2,17.34
O:UNH220107C00415000,2022-01-03,2022-01-07,UNH,C,415.0,1,82.25,82.25,-17.48,NO,82.25,16.36,82.25,16.36,82.25,82.25,1,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,82.25,16.36
O:UNH220107C00435000,2022-01-03,2022-01-07,UNH,C,435.0,2,61.5,61.5,-13.5,NO,61.5,12.23,61.5,12.23,61.5,61.5,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,61.5,12.23
O:UNH220107C00450000,2022-01-03,2022-01-07,UNH,C,450.0,4,46.5,45.7,-10.52,NO,46.1,9.17,45.7,9.09,46.5,45.7,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,46.1,9.25
O:UNH220107C00455000,2022-01-03,2022-01-07,UNH,C,455.0,3,40.0,41.6,-9.52,NO,40.8,8.11,40.0,7.95,41.6,40.0,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,40.8,8.27
O:UNH220107C00465000,2022-01-03,2022-01-07,UNH,C,465.0,2,31.0,31.0,-7.54,NO,31.0,6.16,31.0,6.16,31.0,31.0,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,31.0,6.16
O:UNH220107C00470000,2022-01-03,2022-01-07,UNH,C,470.0,11,28.6,29.51,-6.54,NO,29.06,5.78,28.6,5.69,29.51,28.6,10,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,29.06,5.87
O:UNH220107C00475000,2022-01-03,2022-01-07,UNH,C,475.0,22,23.0,26.92,-5.55,NO,23.18,4.61,19.45,3.87,26.92,19.45,8,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,23.18,5.35
O:UNH220107C00480000,2022-01-03,2022-01-07,UNH,C,480.0,3,15.16,19.67,-4.55,NO,17.42,3.46,15.16,3.01,19.67,15.16,3,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,17.42,3.91
O:UNH220107C00482500,2022-01-03,2022-01-07,UNH,C,482.5,2,12.9,12.9,-4.06,NO,12.9,2.57,12.9,2.57,12.9,12.9,1,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,12.9,2.57
O:UNH220107C00485000,2022-01-03,2022-01-07,UNH,C,485.0,11,12.7,12.79,-3.56,NO,11.58,2.3,10.38,2.06,12.79,10.38,8,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,11.58,2.54
O:UNH220107C00487500,2022-01-03,2022-01-07,UNH,C,487.5,3,10.5,12.9,-3.06,NO,11.7,2.33,10.5,2.09,12.9,10.5,3,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,11.7,2.57
O:UNH220107C00490000,2022-01-03,2022-01-07,UNH,C,490.0,31,8.3,13.05,-2.57,NO,9.93,1.97,6.81,1.35,13.05,6.81,18,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,9.93,2.59
O:UNH220107C00492500,2022-01-03,2022-01-07,UNH,C,492.5,2,7.1,7.15,-2.07,NO,7.12,1.42,7.1,1.41,7.15,7.1,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,7.12,1.42
O:UNH220107C00495000,2022-01-03,2022-01-07,UNH,C,495.0,66,5.2,9.1,-1.57,NO,6.45,1.28,3.8,0.76,9.1,3.8,35,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,6.45,1.81
O:UNH220107C00497500,2022-01-03,2022-01-07,UNH,C,497.5,216,4.86,6.6,-1.07,NO,4.7,0.93,2.8,0.56,6.6,2.8,51,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,4.7,1.31
O:UNH220107C00500000,2022-01-03,2022-01-07,UNH,C,500.0,360,3.9,5.6,-0.58,NO,3.8,0.76,2.0,0.4,5.6,2.0,134,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,3.8,1.11
O:UNH220107C00502500,2022-01-03,2022-01-07,UNH,C,502.5,119,2.67,3.97,-0.08,NO,2.95,0.59,1.85,0.37,4.05,1.85,39,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,2.95,0.81
O:UNH220107C00505000,2022-01-03,2022-01-07,UNH,C,505.0,174,2.96,2.79,0.42,NO,2.0,0.4,1.0,0.2,3.0,1.0,54,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,2.0,0.6
O:UNH220107C00510000,2022-01-03,2022-01-07,UNH,C,510.0,127,1.13,1.29,1.41,NO,0.92,0.18,0.04,0.01,1.8,0.04,62,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.92,0.36
O:UNH220107C00515000,2022-01-03,2022-01-07,UNH,C,515.0,84,0.3,0.95,2.41,NO,0.57,0.11,0.19,0.04,0.95,0.19,36,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.57,0.19
O:UNH220107C00520000,2022-01-03,2022-01-07,UNH,C,520.0,24,0.17,0.31,3.4,NO,0.16,0.03,0.02,0.0,0.31,0.02,10,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.16,0.06
O:UNH220107C00525000,2022-01-03,2022-01-07,UNH,C,525.0,132,0.05,0.7,4.39,NO,0.36,0.07,0.01,0.0,0.7,0.01,31,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.36,0.14
O:UNH220107C00530000,2022-01-03,2022-01-07,UNH,C,530.0,4,0.62,0.03,5.39,NO,0.32,0.06,0.03,0.01,0.62,0.03,3,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.32,0.12
O:UNH220107C00535000,2022-01-03,2022-01-07,UNH,C,535.0,4,0.05,0.01,6.38,NO,0.03,0.01,0.01,0.0,0.05,0.01,2,1641186000000000000,4,Weekly,500.0,502.28,502.9,493.05,502.9,458.6,467.97,467.97,0.0008,0.03,0.01
O:UNH220114C00395000,2022-01-10,2022-01-14,UNH,C,395.0,1,62.05,62.05,-15.21,NO,62.05,13.32,62.05,13.32,62.05,62.05,1,1641790800000000000,4,Weekly,456.0,465.0,465.86,454.44,465.86,468.69,473.17,473.17,0.0008,62.05,13.32
O:UNH220114C00430000,2022-01-10,2022-01-14,UNH,C,430.0,2,30.0,30.85,-7.7,NO,30.42,6.53,30.0,6.44,30.85,30.0,2,1641790800000000000,4,Weekly,456.0,465.0,465.86,454.44,465.86,468.69,473.17,473.17,0.0008,30.42,6.62
O:UNH220114C00435000,2022-01-10,2022-01-14,UNH,C,435.0,2,26.42,26.42,-6.62,NO,26.42,5.67,26.42,5.67,26.42,26.42,1,1641790800000000000,4,Weekly,456.0,465.0,465.86,454.44,465.86,468.69,473.17,473.17,0.0008,26.42,5.67
O:UNH220114C00440000,2022-01-10,2022-01-14,UNH,C,440.0,8,20.25,17.5,-5.55,NO,18.88,4.05,17.5,3.76,20.25,17.5,3,1641790800000000000,4,Weekly,456.0,465.0,465.86,454.44,465.86,468.69,473.17,473.17,0.0008,18.88,4.35
