ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:V190111C00116000,2019-01-07,2019-01-11,V,C,116.0,2,5.1,5.1,-15.43,YES,5.1,3.72,5.1,3.72,5.1,5.1,1,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,5.1,3.72,,
O:V190111C00120000,2019-01-07,2019-01-11,V,C,120.0,2,3.9,4.08,-12.52,YES,3.99,2.91,3.9,2.84,4.08,3.9,2,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,3.99,2.97,,
O:V190111C00125000,2019-01-07,2019-01-11,V,C,125.0,3,2.92,2.86,-8.87,YES,2.89,2.11,2.86,2.09,2.92,2.86,2,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,2.89,2.13,,
O:V190111C00126000,2019-01-07,2019-01-11,V,C,126.0,10,2.47,2.47,-8.14,YES,2.47,1.8,2.47,1.8,2.47,2.47,1,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,2.47,1.8,,
O:V190111C00127000,2019-01-07,2019-01-11,V,C,127.0,15,2.23,2.36,-7.41,YES,2.3,1.67,2.23,1.63,2.36,2.23,4,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,2.3,1.72,,
O:V190111C00128000,2019-01-07,2019-01-11,V,C,128.0,7,1.84,2.09,-6.69,YES,1.96,1.43,1.84,1.34,2.09,1.84,3,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,1.96,1.52,,
O:V190111C00129000,2019-01-07,2019-01-11,V,C,129.0,3,1.72,2.08,-5.96,YES,1.9,1.39,1.72,1.25,2.09,1.72,3,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,1.9,1.52,,
O:V190111C00130000,2019-01-07,2019-01-11,V,C,130.0,32,1.23,1.65,-5.23,YES,1.51,1.1,1.23,0.9,1.79,1.23,13,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,1.51,1.3,,
O:V190111C00131000,2019-01-07,2019-01-11,V,C,131.0,59,1.08,1.5,-4.5,YES,1.29,0.94,1.08,0.79,1.5,1.08,6,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,1.29,1.09,,
O:V190111C00132000,2019-01-07,2019-01-11,V,C,132.0,88,0.92,1.24,-3.77,YES,1.12,0.82,0.86,0.63,1.38,0.86,22,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,1.12,1.01,,
O:V190111C00133000,2019-01-07,2019-01-11,V,C,133.0,49,0.7,1.01,-3.04,YES,0.92,0.67,0.7,0.51,1.15,0.7,28,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.92,0.84,,
O:V190111C00134000,2019-01-07,2019-01-11,V,C,134.0,301,0.55,0.81,-2.31,YES,0.73,0.53,0.5,0.36,0.96,0.5,63,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.73,0.7,,
O:V190111C00135000,2019-01-07,2019-01-11,V,C,135.0,463,0.36,0.6,-1.58,YES,0.57,0.42,0.36,0.26,0.78,0.36,103,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.57,0.57,,
O:V190111C00136000,2019-01-07,2019-01-11,V,C,136.0,447,0.27,0.44,-0.85,YES,0.44,0.32,0.27,0.2,0.6,0.27,129,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.44,0.44,,
O:V190111C00137000,2019-01-07,2019-01-11,V,C,137.0,977,0.19,0.34,-0.12,YES,0.32,0.24,0.19,0.14,0.46,0.19,130,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.32,0.34,0.0388,0.6437
O:V190111C00138000,2019-01-07,2019-01-11,V,C,138.0,249,0.12,0.21,0.61,YES,0.22,0.16,0.12,0.09,0.32,0.12,67,1546837200000000000,4,Weekly,134.45,136.06,137.17,134.04,137.17,138.06,138.6,138.6,0.024,0.22,0.23,0.0891,0.2666
