ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:VIXY200110C00012000,2020-01-06,2020-01-10,VIXY,C,0.8,40,0.22,0.16,0.22,0.16,13,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00012000,2020-01-06,2020-01-10,VXX,C,0.8,30,0.84,0.84,0.84,0.84,1,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIXY200110C00012500,2020-01-06,2020-01-10,VIXY,C,0.83,77,0.16,0.1,0.17,0.1,17,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00012500,2020-01-06,2020-01-10,VXX,C,0.83,46,0.76,0.67,0.76,0.67,8,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIPS200110C00013000,2020-01-06,2020-01-10,VIPS,C,0.87,3,0.42,0.42,0.42,0.42,2,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIXY200110C00013000,2020-01-06,2020-01-10,VIXY,C,0.87,182,0.14,0.06,0.14,0.06,9,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00013000,2020-01-06,2020-01-10,VXX,C,0.87,287,0.65,0.53,0.66,0.53,34,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VALE200110C00013500,2020-01-06,2020-01-10,VALE,C,0.9,122,0.01,0.01,0.02,0.01,16,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIXY200110C00013500,2020-01-06,2020-01-10,VIXY,C,0.9,62,0.05,0.06,0.09,0.05,6,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00013500,2020-01-06,2020-01-10,VXX,C,0.9,468,0.53,0.4,0.53,0.4,41,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VALE200110C00014000,2020-01-06,2020-01-10,VALE,C,0.93,30,0.0,0.0,0.0,0.0,1,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIPS200110C00014000,2020-01-06,2020-01-10,VIPS,C,0.93,21,0.18,0.17,0.18,0.16,4,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIXY200110C00014000,2020-01-06,2020-01-10,VIXY,C,0.93,21,0.05,0.04,0.06,0.04,6,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00014000,2020-01-06,2020-01-10,VXX,C,0.93,1474,0.43,0.3,0.43,0.3,191,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIPS200110C00014500,2020-01-06,2020-01-10,VIPS,C,0.97,80,0.09,0.08,0.09,0.08,4,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VIXY200110C00014500,2020-01-06,2020-01-10,VIXY,C,0.97,5,0.04,0.01,0.04,0.01,5,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
O:VXX200110C00014500,2020-01-06,2020-01-10,VXX,C,0.97,1288,0.36,0.21,0.36,0.2,166,1578286800000000000,4,Weekly,188.0,189.19,189.21,187.16,189.21,193.77,194.57,194.57
