ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:V190215C00085000,2019-01-14,2019-02-15,V,C,85.0,1,53.04,53.04,-38.46,YES,53.04,38.4,53.04,38.4,53.04,53.04,1,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,53.04,38.4,0.0005,1.0
O:V190215C00105000,2019-01-14,2019-02-15,V,C,105.0,11,33.2,33.2,-23.98,YES,33.2,24.04,33.2,24.04,33.2,33.2,1,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,33.2,24.04,0.0003,1.0
O:V190215C00120000,2019-01-14,2019-02-15,V,C,120.0,4,17.99,17.99,-13.13,YES,17.99,13.02,17.99,13.02,17.99,17.99,2,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,17.99,13.02,,
O:V190215C00125000,2019-01-14,2019-02-15,V,C,125.0,7,13.53,13.53,-9.51,YES,13.53,9.8,13.53,9.8,13.53,13.53,2,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,13.53,9.8,0.2008,0.9541
O:V190215C00130000,2019-01-14,2019-02-15,V,C,130.0,15,9.17,9.15,-5.89,YES,9.25,6.7,9.15,6.62,9.35,9.15,8,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,9.25,6.77,0.2168,0.8278
O:V190215C00135000,2019-01-14,2019-02-15,V,C,135.0,102,6.1,5.6,-2.27,YES,5.94,4.3,5.57,4.03,6.3,5.57,22,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,5.94,4.56,0.226,0.6333
O:V190215C00140000,2019-01-14,2019-02-15,V,C,140.0,465,3.28,2.93,1.35,YES,3.12,2.26,2.85,2.06,3.4,2.85,108,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,3.12,2.46,0.2233,0.4189
O:V190215C00145000,2019-01-14,2019-02-15,V,C,145.0,271,1.46,1.25,4.97,NO,1.37,0.99,1.22,0.88,1.52,1.22,55,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,1.37,1.1,0.2171,0.2253
O:V190215C00150000,2019-01-14,2019-02-15,V,C,150.0,92,0.73,0.46,8.59,NO,0.58,0.42,0.43,0.31,0.73,0.43,28,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,0.58,0.53,0.2161,0.099
O:V190215C00155000,2019-01-14,2019-02-15,V,C,155.0,141,0.16,0.16,12.21,NO,0.15,0.11,0.13,0.09,0.17,0.13,35,1547442000000000000,32.0,Monthly,136.99,137.1,138.13,136.65,138.13,144.91,144.91,144.91,0.024,0.15,0.12,0.2202,0.0386
