ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:V230113C00160000,2023-01-09,2023-01-13,V,C,1600.0,5,59.15,58.95,59.15,58.95,2,1673240400000000000,4.0,Weekly
O:V230113C00165000,2023-01-09,2023-01-13,V,C,1650.0,15,56.8,55.2,56.8,55.2,3,1673240400000000000,4.0,Weekly
O:V230113C00202500,2023-01-09,2023-01-13,V,C,2025.0,1,18.5,18.5,18.5,18.5,1,1673240400000000000,4.0,Weekly
O:V230113C00205000,2023-01-09,2023-01-13,V,C,2050.0,7,14.9,14.59,15.98,14.59,3,1673240400000000000,4.0,Weekly
O:V230113C00207500,2023-01-09,2023-01-13,V,C,2075.0,2,13.71,12.52,13.71,12.52,2,1673240400000000000,4.0,Weekly
O:V230113C00210000,2023-01-09,2023-01-13,V,C,2100.0,29,10.01,11.02,12.05,10.01,10,1673240400000000000,4.0,Weekly
O:V230113C00212500,2023-01-09,2023-01-13,V,C,2125.0,42,7.7,7.12,10.15,7.12,21,1673240400000000000,4.0,Weekly
O:V230113C00215000,2023-01-09,2023-01-13,V,C,2150.0,215,5.55,5.25,7.64,5.2,63,1673240400000000000,4.0,Weekly
O:V230113C00217500,2023-01-09,2023-01-13,V,C,2175.0,242,3.94,3.64,5.7,3.64,79,1673240400000000000,4.0,Weekly
O:V230113C00220000,2023-01-09,2023-01-13,V,C,2200.0,574,2.4,2.49,4.06,2.29,219,1673240400000000000,4.0,Weekly
O:V230113C00222500,2023-01-09,2023-01-13,V,C,2225.0,400,1.6,1.36,2.66,1.27,196,1673240400000000000,4.0,Weekly
O:V230113C00225000,2023-01-09,2023-01-13,V,C,2250.0,504,0.8,0.7,1.62,0.64,178,1673240400000000000,4.0,Weekly
O:V230113C00227500,2023-01-09,2023-01-13,V,C,2275.0,418,0.38,0.33,0.85,0.32,124,1673240400000000000,4.0,Weekly
O:V230113C00230000,2023-01-09,2023-01-13,V,C,2300.0,316,0.19,0.15,0.42,0.15,91,1673240400000000000,4.0,Weekly
O:V230113C00232500,2023-01-09,2023-01-13,V,C,2325.0,170,0.1,0.09,0.2,0.08,49,1673240400000000000,4.0,Weekly
O:V230113C00235000,2023-01-09,2023-01-13,V,C,2350.0,73,0.03,0.03,0.09,0.03,26,1673240400000000000,4.0,Weekly
O:V230113C00237500,2023-01-09,2023-01-13,V,C,2375.0,11,0.02,0.04,0.04,0.02,4,1673240400000000000,4.0,Weekly
O:V230113C00240000,2023-01-09,2023-01-13,V,C,2400.0,53,0.02,0.02,0.03,0.01,7,1673240400000000000,4.0,Weekly
O:V230113C00242500,2023-01-09,2023-01-13,V,C,2425.0,2,0.01,0.01,0.01,0.01,2,1673240400000000000,4.0,Weekly
O:V230113P00170000,2023-01-09,2023-01-13,V,P,1700.0,4,0.01,0.01,0.01,0.01,3,1673240400000000000,4.0,Weekly
O:V230113P00175000,2023-01-09,2023-01-13,V,P,1750.0,1,0.01,0.01,0.01,0.01,1,1673240400000000000,4.0,Weekly
O:V230113P00185000,2023-01-09,2023-01-13,V,P,1850.0,13,0.02,0.02,0.02,0.01,8,1673240400000000000,4.0,Weekly
O:V230113P00187500,2023-01-09,2023-01-13,V,P,1875.0,12,0.02,0.02,0.02,0.02,1,1673240400000000000,4.0,Weekly
O:V230113P00190000,2023-01-09,2023-01-13,V,P,1900.0,114,0.02,0.02,0.02,0.02,6,1673240400000000000,4.0,Weekly
