ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:WMT230106C00133000,2023-01-03,2023-01-06,WMT,C,44.33,1,2.48,2.48,-7.45,NO,2.48,5.18,2.48,5.18,2.48,2.48,1,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,2.48,5.18
O:WMT230106C00135000,2023-01-03,2023-01-06,WMT,C,45.0,1,2.05,2.05,-6.05,NO,2.05,4.28,2.05,4.28,2.05,2.05,1,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,2.05,4.28
O:WMT230106C00137000,2023-01-03,2023-01-06,WMT,C,45.67,1,1.48,1.48,-4.66,NO,1.48,3.09,1.48,3.09,1.48,1.48,1,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,1.48,3.09
O:WMT230106C00138000,2023-01-03,2023-01-06,WMT,C,46.0,9,1.27,1.44,-3.97,NO,1.36,2.83,1.27,2.65,1.44,1.27,3,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,1.36,3.01
O:WMT230106C00139000,2023-01-03,2023-01-06,WMT,C,46.33,69,0.92,1.2,-3.27,NO,1.04,2.18,0.89,1.86,1.2,0.89,17,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,1.04,2.51
O:WMT230106C00140000,2023-01-03,2023-01-06,WMT,C,46.67,29,0.81,0.76,-2.57,NO,0.82,1.72,0.75,1.57,0.9,0.75,14,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.82,1.88
O:WMT230106C00141000,2023-01-03,2023-01-06,WMT,C,47.0,58,0.52,0.74,-1.88,NO,0.63,1.32,0.52,1.09,0.74,0.52,39,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.63,1.54
O:WMT230106C00142000,2023-01-03,2023-01-06,WMT,C,47.33,719,0.34,0.56,-1.18,NO,0.45,0.94,0.34,0.71,0.56,0.34,119,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.45,1.17
O:WMT230106C00143000,2023-01-03,2023-01-06,WMT,C,47.67,1179,0.26,0.38,-0.49,NO,0.3,0.63,0.21,0.44,0.39,0.21,275,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.3,0.81
O:WMT230106C00144000,2023-01-03,2023-01-06,WMT,C,48.0,1152,0.14,0.24,0.21,NO,0.19,0.4,0.12,0.25,0.26,0.12,264,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.19,0.54
O:WMT230106C00145000,2023-01-03,2023-01-06,WMT,C,48.33,810,0.1,0.14,0.9,NO,0.1,0.22,0.06,0.13,0.15,0.06,261,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.1,0.31
O:WMT230106C00146000,2023-01-03,2023-01-06,WMT,C,48.67,304,0.05,0.08,1.6,NO,0.06,0.11,0.03,0.06,0.08,0.03,114,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.06,0.17
O:WMT230106C00147000,2023-01-03,2023-01-06,WMT,C,49.0,373,0.02,0.04,2.3,NO,0.03,0.06,0.02,0.04,0.04,0.02,97,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.03,0.08
O:WMT230106C00148000,2023-01-03,2023-01-06,WMT,C,49.33,361,0.02,0.02,2.99,NO,0.02,0.03,0.01,0.02,0.02,0.01,50,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.02,0.04
O:WMT230106C00149000,2023-01-03,2023-01-06,WMT,C,49.67,73,0.01,0.02,3.69,NO,0.01,0.02,0.0,0.0,0.02,0.0,28,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.01,0.04
O:WMT230106C00150000,2023-01-03,2023-01-06,WMT,C,50.0,114,0.01,0.01,4.38,NO,0.0,0.01,0.0,0.0,0.01,0.0,33,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.0,0.02
O:WMT230106C00152500,2023-01-03,2023-01-06,WMT,C,50.83,531,0.0,0.0,6.12,NO,0.0,0.0,0.0,0.0,0.0,0.0,11,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.0,0.0
O:WMT230106C00155000,2023-01-03,2023-01-06,WMT,C,51.67,1,0.0,0.0,7.86,NO,0.0,0.0,0.0,0.0,0.0,0.0,1,1672722000000000000,3,Weekly,47.52,47.87,47.9,47.36,47.9,48.93,49.18,49.18,0.0433,0.0,0.0
O:WMT230113C00133000,2023-01-09,2023-01-13,WMT,C,44.33,1,3.5,3.5,-10.06,NO,3.5,7.1,3.5,7.1,3.5,3.5,1,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,3.5,7.1
O:WMT230113C00140000,2023-01-09,2023-01-13,WMT,C,46.67,2,1.5,1.5,-5.32,NO,1.5,3.04,1.5,3.04,1.5,1.5,2,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,1.5,3.04
O:WMT230113C00141000,2023-01-09,2023-01-13,WMT,C,47.0,5,1.41,1.14,-4.65,NO,1.32,2.67,1.14,2.31,1.49,1.14,3,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,1.32,3.02
O:WMT230113C00142000,2023-01-09,2023-01-13,WMT,C,47.33,6,1.18,0.95,-3.97,NO,1.11,2.25,0.95,1.93,1.27,0.95,5,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,1.11,2.58
O:WMT230113C00143000,2023-01-09,2023-01-13,WMT,C,47.67,225,0.99,0.73,-3.29,NO,0.99,2.01,0.73,1.48,1.25,0.73,15,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.99,2.54
O:WMT230113C00144000,2023-01-09,2023-01-13,WMT,C,48.0,33,0.79,0.52,-2.62,NO,0.68,1.39,0.52,1.06,0.85,0.52,18,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.68,1.72
O:WMT230113C00145000,2023-01-09,2023-01-13,WMT,C,48.33,279,0.6,0.37,-1.94,NO,0.59,1.2,0.36,0.73,0.82,0.36,98,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.59,1.66
O:WMT230113C00146000,2023-01-09,2023-01-13,WMT,C,48.67,1070,0.43,0.25,-1.26,NO,0.44,0.88,0.24,0.49,0.63,0.24,217,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.44,1.28
O:WMT230113C00147000,2023-01-09,2023-01-13,WMT,C,49.0,2651,0.3,0.16,-0.59,NO,0.32,0.65,0.16,0.32,0.48,0.16,412,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.32,0.97
O:WMT230113C00148000,2023-01-09,2023-01-13,WMT,C,49.33,572,0.17,0.1,0.09,NO,0.21,0.43,0.09,0.18,0.33,0.09,232,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.21,0.67
O:WMT230113C00149000,2023-01-09,2023-01-13,WMT,C,49.67,325,0.12,0.06,0.76,NO,0.14,0.28,0.06,0.12,0.22,0.06,149,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.14,0.45
O:WMT230113C00150000,2023-01-09,2023-01-13,WMT,C,50.0,1498,0.11,0.04,1.44,NO,0.08,0.17,0.03,0.06,0.14,0.03,303,1673240400000000000,4,Weekly,48.77,48.32,49.29,48.27,49.29,48.43,48.61,48.61,0.0433,0.08,0.28
