ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:WMT190215C00087500,2019-01-14,2019-02-15,WMT,C,29.17,5,7.97,7.97,-8.34,YES,7.97,25.05,7.97,25.05,7.97,7.97,1,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,7.97,25.05,1.8368,0.4569
O:WMT190215C00090000,2019-01-14,2019-02-15,WMT,C,30.0,86,5.52,6.0,-5.72,YES,5.8,18.23,5.52,17.35,6.08,5.52,9,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,5.8,19.11,1.3814,0.4779
O:WMT190215C00092500,2019-01-14,2019-02-15,WMT,C,30.83,11,3.53,3.86,-3.1,YES,3.7,11.61,3.53,11.09,3.86,3.53,2,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,3.7,12.13,0.8971,0.4977
O:WMT190215C00095000,2019-01-14,2019-02-15,WMT,C,31.67,5508,1.96,2.14,-0.48,YES,2.14,6.73,1.88,5.91,2.4,1.88,138,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,2.14,7.54,0.5425,0.4849
O:WMT190215C00097500,2019-01-14,2019-02-15,WMT,C,32.5,204,0.9,0.99,2.14,YES,1.03,3.24,0.88,2.77,1.18,0.88,85,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,1.03,3.71,0.3355,0.4046
O:WMT190215C00100000,2019-01-14,2019-02-15,WMT,C,33.33,171,0.39,0.37,4.76,YES,0.43,1.35,0.37,1.16,0.49,0.37,25,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,0.43,1.54,0.2382,0.2538
O:WMT190215C00105000,2019-01-14,2019-02-15,WMT,C,35.0,34,0.05,0.05,9.99,NO,0.06,0.19,0.05,0.16,0.07,0.05,8,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,0.06,0.22,0.201,0.0554
O:WMT190215C00120000,2019-01-14,2019-02-15,WMT,C,40.0,1,0.04,0.04,25.71,NO,0.04,0.13,0.04,0.13,0.04,0.04,1,1547442000000000000,32,Monthly,31.49,31.65,31.82,31.43,31.82,33.33,33.33,33.33,0.024,0.04,0.13,0.3924,0.0223
O:WMT190215C00080000,2019-01-15,2019-02-15,WMT,C,26.67,1,16.35,16.35,-17.18,YES,16.35,50.78,16.35,50.78,16.35,16.35,1,1547528400000000000,31,Monthly,31.82,32.08,32.2,31.79,32.2,33.33,33.33,33.33,0.024,16.35,50.78,4.1651,0.3264
O:WMT190215C00087500,2019-01-15,2019-02-15,WMT,C,29.17,16,8.48,8.98,-9.42,YES,8.79,27.3,8.48,26.34,9.1,8.48,5,1547528400000000000,31,Monthly,31.82,32.08,32.2,31.79,32.2,33.33,33.33,33.33,0.024,8.79,28.26,2.0908,0.4447
