ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLE170106C00073000,2017-01-03,2017-01-06,XLE,C,4.87,115,0.79,0.78,-87.32,YES,0.77,2.0,0.62,1.63,0.91,0.62,18,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.77,2.38
O:XLE170106C00073500,2017-01-03,2017-01-06,XLE,C,4.9,9,0.55,0.55,-87.24,YES,0.54,1.42,0.54,1.4,0.55,0.54,4,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.54,1.44
O:XLE170106C00074000,2017-01-03,2017-01-06,XLE,C,4.93,19,0.49,0.49,-87.16,YES,0.46,1.2,0.42,1.11,0.5,0.42,12,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.46,1.29
O:XLE170106C00074500,2017-01-03,2017-01-06,XLE,C,4.97,35,0.55,0.32,-87.06,YES,0.44,1.14,0.32,0.84,0.55,0.32,8,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.44,1.44
O:XLE170106C00075000,2017-01-03,2017-01-06,XLE,C,5.0,75,0.44,0.34,-86.98,YES,0.34,0.89,0.23,0.6,0.45,0.23,13,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.34,1.17
O:XLE170106C00075500,2017-01-03,2017-01-06,XLE,C,5.03,414,0.24,0.2,-86.9,YES,0.24,0.64,0.14,0.37,0.35,0.14,40,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.24,0.9
O:XLE170106C00076000,2017-01-03,2017-01-06,XLE,C,5.07,673,0.16,0.15,-86.8,YES,0.17,0.45,0.08,0.21,0.26,0.08,82,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.17,0.68
O:XLE170106C00076500,2017-01-03,2017-01-06,XLE,C,5.1,608,0.1,0.08,-86.72,YES,0.11,0.29,0.05,0.13,0.18,0.05,85,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.11,0.46
O:XLE170106C00077000,2017-01-03,2017-01-06,XLE,C,5.13,1018,0.06,0.05,-86.64,YES,0.06,0.17,0.02,0.07,0.1,0.02,118,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.06,0.27
O:XLE170106C00077500,2017-01-03,2017-01-06,XLE,C,5.17,2417,0.04,0.02,-86.54,YES,0.04,0.1,0.01,0.03,0.06,0.01,145,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.04,0.16
O:XLE170106C00078000,2017-01-03,2017-01-06,XLE,C,5.2,1348,0.01,0.01,-86.46,YES,0.02,0.05,0.01,0.02,0.03,0.01,37,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.02,0.08
O:XLE170106C00078500,2017-01-03,2017-01-06,XLE,C,5.23,302,0.02,0.01,-86.38,YES,0.01,0.03,0.01,0.03,0.02,0.01,14,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.01,0.04
O:XLE170106C00079000,2017-01-03,2017-01-06,XLE,C,5.27,2,0.0,0.0,-86.28,YES,0.0,0.01,0.0,0.01,0.0,0.0,1,1483419600000000000,3,Weekly,38.06,38.08,38.4,37.68,38.4,37.94,38.07,38.07,0.02,,,0.0,0.01
O:XLE170113C00073000,2017-01-09,2017-01-13,XLE,C,4.87,10,0.52,0.5,-87.09,YES,0.51,1.35,0.5,1.31,0.52,0.5,3,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.51,1.38
O:XLE170113C00073500,2017-01-09,2017-01-13,XLE,C,4.9,28,0.4,0.4,-87.01,YES,0.41,1.09,0.4,1.06,0.42,0.4,12,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.41,1.13
O:XLE170113C00074000,2017-01-09,2017-01-13,XLE,C,4.93,160,0.35,0.27,-86.93,YES,0.31,0.82,0.27,0.71,0.35,0.27,31,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.31,0.92
O:XLE170113C00074500,2017-01-09,2017-01-13,XLE,C,4.97,155,0.24,0.18,-86.83,YES,0.21,0.55,0.18,0.48,0.24,0.18,13,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.21,0.62
O:XLE170113C00075000,2017-01-09,2017-01-13,XLE,C,5.0,462,0.17,0.12,-86.75,YES,0.14,0.37,0.12,0.3,0.17,0.12,52,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.14,0.44
O:XLE170113C00075500,2017-01-09,2017-01-13,XLE,C,5.03,960,0.1,0.08,-86.67,YES,0.08,0.22,0.06,0.17,0.1,0.06,66,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.08,0.26
O:XLE170113C00076000,2017-01-09,2017-01-13,XLE,C,5.07,927,0.06,0.04,-86.56,YES,0.05,0.14,0.04,0.09,0.07,0.04,55,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.05,0.19
O:XLE170113C00076500,2017-01-09,2017-01-13,XLE,C,5.1,164,0.03,0.02,-86.48,YES,0.03,0.07,0.02,0.06,0.03,0.02,22,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.03,0.09
O:XLE170113C00077000,2017-01-09,2017-01-13,XLE,C,5.13,103,0.02,0.01,-86.4,YES,0.02,0.05,0.01,0.03,0.02,0.01,14,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.02,0.07
O:XLE170113C00077500,2017-01-09,2017-01-13,XLE,C,5.17,669,0.02,0.01,-86.3,YES,0.01,0.04,0.01,0.02,0.02,0.01,19,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.01,0.05
O:XLE170113C00078000,2017-01-09,2017-01-13,XLE,C,5.2,187,0.01,0.0,-86.22,YES,0.01,0.02,0.0,0.01,0.01,0.0,6,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.01,0.02
O:XLE170113C00078500,2017-01-09,2017-01-13,XLE,C,5.23,1,0.01,0.01,-86.14,YES,0.01,0.03,0.01,0.03,0.01,0.01,1,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.01,0.03
O:XLE170113C00079500,2017-01-09,2017-01-13,XLE,C,5.3,2,0.0,0.0,-85.95,YES,0.0,0.01,0.0,0.01,0.0,0.0,1,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.0,0.01
O:XLE170113C00083000,2017-01-09,2017-01-13,XLE,C,5.53,30,0.0,0.0,-85.34,YES,0.0,0.01,0.0,0.01,0.0,0.0,1,1483938000000000000,4,Weekly,37.7,37.4,37.73,37.34,37.73,37.19,37.33,37.33,0.02,,,0.0,0.01
O:XLE170120C00045000,2017-01-17,2017-01-20,XLE,C,3.0,3,7.42,7.42,-92.0,YES,7.42,19.77,7.42,19.77,7.42,7.42,1,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,7.42,19.77
O:XLE170120C00050000,2017-01-17,2017-01-20,XLE,C,3.33,2,6.18,6.18,-91.12,YES,6.18,16.49,6.18,16.49,6.18,6.18,1,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,6.18,16.49
O:XLE170120C00054000,2017-01-17,2017-01-20,XLE,C,3.6,20,5.21,5.21,-90.4,YES,5.21,13.89,5.21,13.89,5.21,5.21,1,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,5.21,13.89
O:XLE170120C00055000,2017-01-17,2017-01-20,XLE,C,3.67,1,4.95,4.95,-90.22,YES,4.95,13.2,4.95,13.2,4.95,4.95,1,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,4.95,13.2
O:XLE170120C00060000,2017-01-17,2017-01-20,XLE,C,4.0,34,3.7,3.75,-89.34,YES,3.71,9.88,3.66,9.76,3.75,3.66,14,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,3.71,10.0
O:XLE170120C00063500,2017-01-17,2017-01-20,XLE,C,4.23,3,2.82,2.86,-88.72,YES,2.84,7.56,2.82,7.5,2.86,2.82,3,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,2.84,7.61
O:XLE170120C00064000,2017-01-17,2017-01-20,XLE,C,4.27,2,2.68,2.68,-88.62,YES,2.68,7.14,2.68,7.14,2.68,2.68,1,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,2.68,7.14
O:XLE170120C00065000,2017-01-17,2017-01-20,XLE,C,4.33,23,2.44,2.46,-88.46,YES,2.47,6.59,2.44,6.5,2.5,2.44,9,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,2.47,6.68
O:XLE170120C00069000,2017-01-17,2017-01-20,XLE,C,4.6,14,1.45,1.5,-87.74,YES,1.48,3.93,1.45,3.87,1.5,1.45,3,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,1.48,4.0
O:XLE170120C00070000,2017-01-17,2017-01-20,XLE,C,4.67,159,1.19,1.19,-87.55,YES,1.2,3.21,1.16,3.09,1.25,1.16,14,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,1.2,3.33
O:XLE170120C00071000,2017-01-17,2017-01-20,XLE,C,4.73,246,0.95,0.98,-87.39,YES,0.94,2.52,0.91,2.43,0.98,0.91,22,1484629200000000000,3,Weekly,37.3,37.42,37.51,37.28,37.51,37.27,37.49,37.49,0.02,,,0.94,2.6
