ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLE160219C00050000,2016-01-19,2016-02-19,XLE,C,50.0,22,4.95,3.95,88.04,NO,3.95,7.9,4.95,9.9,4.95,3.95,2,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00050500,2016-01-19,2016-02-19,XLE,C,50.5,36,3.9,4.09,89.92,NO,4.09,8.1,3.9,7.72,4.09,3.9,2,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00051500,2016-01-19,2016-02-19,XLE,C,51.5,1,3.05,3.05,93.68,NO,3.05,5.92,3.05,5.92,3.05,3.05,1,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00052000,2016-01-19,2016-02-19,XLE,C,52.0,10,2.64,2.64,95.56,NO,2.64,5.08,2.64,5.08,2.64,2.64,1,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00052500,2016-01-19,2016-02-19,XLE,C,52.5,8,3.62,2.52,97.44,NO,2.52,4.8,3.62,6.9,3.62,2.52,2,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00053000,2016-01-19,2016-02-19,XLE,C,53.0,421,2.87,2.62,99.32,NO,2.62,4.94,2.87,5.42,2.87,2.12,19,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00053500,2016-01-19,2016-02-19,XLE,C,53.5,178,2.96,2.27,101.2,NO,2.27,4.24,2.96,5.53,2.96,1.91,27,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00054000,2016-01-19,2016-02-19,XLE,C,54.0,1738,2.98,2.03,103.08,NO,2.03,3.76,2.98,5.52,2.98,1.75,60,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00054500,2016-01-19,2016-02-19,XLE,C,54.5,74,2.46,1.86,104.96,NO,1.86,3.41,2.46,4.51,2.46,1.44,12,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00055000,2016-01-19,2016-02-19,XLE,C,55.0,504,2.32,1.61,106.84,NO,1.61,2.93,2.32,4.22,2.35,1.23,72,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00055500,2016-01-19,2016-02-19,XLE,C,55.5,229,2.1,1.3,108.73,NO,1.3,2.34,2.1,3.78,2.1,1.09,16,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00056000,2016-01-19,2016-02-19,XLE,C,56.0,459,1.58,1.12,110.61,NO,1.12,2.0,1.58,2.82,1.72,0.92,57,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00056500,2016-01-19,2016-02-19,XLE,C,56.5,31,1.34,0.98,112.49,NO,0.98,1.73,1.34,2.37,1.47,0.98,15,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00057000,2016-01-19,2016-02-19,XLE,C,57.0,532,1.54,0.82,114.37,NO,0.82,1.44,1.54,2.7,1.54,0.67,62,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00057500,2016-01-19,2016-02-19,XLE,C,57.5,371,1.34,0.7,116.25,NO,0.7,1.22,1.34,2.33,1.34,0.57,41,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00058000,2016-01-19,2016-02-19,XLE,C,58.0,230,1.06,0.61,118.13,NO,0.61,1.05,1.06,1.83,1.06,0.45,64,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00058500,2016-01-19,2016-02-19,XLE,C,58.5,71,0.8,0.51,120.01,NO,0.51,0.87,0.8,1.37,0.8,0.4,10,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00059000,2016-01-19,2016-02-19,XLE,C,59.0,322,0.8,0.41,121.89,NO,0.41,0.69,0.8,1.36,0.8,0.3,43,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00059500,2016-01-19,2016-02-19,XLE,C,59.5,220,0.49,0.27,123.77,NO,0.27,0.45,0.49,0.82,0.55,0.27,12,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00060000,2016-01-19,2016-02-19,XLE,C,60.0,439,0.62,0.29,125.65,NO,0.29,0.48,0.62,1.03,0.62,0.21,84,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00060500,2016-01-19,2016-02-19,XLE,C,60.5,13,0.33,0.25,127.53,NO,0.25,0.41,0.33,0.55,0.34,0.19,8,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00061000,2016-01-19,2016-02-19,XLE,C,61.0,77,0.35,0.19,129.41,NO,0.19,0.31,0.35,0.57,0.35,0.15,19,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00061500,2016-01-19,2016-02-19,XLE,C,61.5,3,0.23,0.13,131.29,NO,0.13,0.21,0.23,0.37,0.23,0.13,2,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00062000,2016-01-19,2016-02-19,XLE,C,62.0,160,0.18,0.1,133.17,NO,0.1,0.16,0.18,0.29,0.23,0.1,30,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00062500,2016-01-19,2016-02-19,XLE,C,62.5,61,0.19,0.11,135.05,NO,0.11,0.18,0.19,0.3,0.19,0.1,8,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00063000,2016-01-19,2016-02-19,XLE,C,63.0,58,0.2,0.08,136.93,NO,0.08,0.13,0.2,0.32,0.2,0.05,32,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00063500,2016-01-19,2016-02-19,XLE,C,63.5,6,0.12,0.05,138.81,NO,0.05,0.08,0.12,0.19,0.12,0.05,3,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00064000,2016-01-19,2016-02-19,XLE,C,64.0,234,0.1,0.05,140.69,NO,0.05,0.08,0.1,0.16,0.1,0.03,22,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00065000,2016-01-19,2016-02-19,XLE,C,65.0,125,0.07,0.02,144.45,NO,0.02,0.03,0.07,0.11,0.07,0.02,13,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
O:XLE160219C00065500,2016-01-19,2016-02-19,XLE,C,65.5,2,0.02,0.02,146.33,NO,0.02,0.03,0.02,0.03,0.02,0.02,2,1453179600000000000,31,Monthly,27.38,26.59,27.5075,26.165,26.59,26.59,27.5075,26.59
