ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLE160108C00058000,2016-01-04,2016-01-08,XLE,C,58.0,115,2.76,1.9,,NO,1.9,3.28,2.76,4.76,2.76,1.9,8,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00059000,2016-01-04,2016-01-08,XLE,C,59.0,161,1.75,1.64,,NO,1.64,2.78,1.75,2.97,1.92,1.2,19,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00059500,2016-01-04,2016-01-08,XLE,C,59.5,492,1.5,0.9,,NO,0.9,1.51,1.5,2.52,1.5,0.9,30,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00060000,2016-01-04,2016-01-08,XLE,C,60.0,216,0.98,1.0,,NO,1.0,1.67,0.98,1.63,1.29,0.66,43,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00060500,2016-01-04,2016-01-08,XLE,C,60.5,283,0.75,0.6,,NO,0.6,0.99,0.75,1.24,1.05,0.49,49,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00061000,2016-01-04,2016-01-08,XLE,C,61.0,424,0.5,0.51,,NO,0.51,0.84,0.5,0.82,0.76,0.34,34,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00061500,2016-01-04,2016-01-08,XLE,C,61.5,248,0.4,0.35,,NO,0.35,0.57,0.4,0.65,0.53,0.23,23,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00062000,2016-01-04,2016-01-08,XLE,C,62.0,272,0.3,0.24,,NO,0.24,0.39,0.3,0.48,0.36,0.14,49,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00062500,2016-01-04,2016-01-08,XLE,C,62.5,775,0.2,0.15,,NO,0.15,0.24,0.2,0.32,0.26,0.08,121,1451883600000000000,4,Weekly,,,,,,,,
O:XLE160108C00063000,2016-01-04,2016-01-08,XLE,C,63.0,82,0.15,0.08,,NO,0.08,0.13,0.15,0.24,0.15,0.06,21,1451883600000000000,4,Weekly,,,,,,,,
