ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLE230113C00079000,2023-01-09,2023-01-13,XLE,C,39.5,1.0,9.85,9.85,-9.46,YES,9.85,22.13,9.85,22.13,9.85,9.85,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,4.4237,0.4935,9.85,22.13
O:XLE230113C00080000,2023-01-09,2023-01-13,XLE,C,40.0,2.0,8.35,7.8,-8.31,YES,8.075,18.14,7.8,17.52,8.35,7.8,2.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,3.3413,0.5296,8.075,18.76
O:XLE230113C00081000,2023-01-09,2023-01-13,XLE,C,40.5,1.0,6.85,6.85,-7.16,YES,6.85,15.39,6.85,15.39,6.85,6.85,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,2.933,0.5357,6.85,15.39
O:XLE230113C00081500,2023-01-09,2023-01-13,XLE,C,40.75,1.0,5.95,5.95,-6.59,YES,5.95,13.37,5.95,13.37,5.95,5.95,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,2.4796,0.5534,5.95,13.37
O:XLE230113C00082000,2023-01-09,2023-01-13,XLE,C,41.0,1.0,5.6,5.6,-6.02,YES,5.6,12.58,5.6,12.58,5.6,5.6,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,2.3543,0.5517,5.6,12.58
O:XLE230113C00082500,2023-01-09,2023-01-13,XLE,C,41.25,4.0,5.88,5.93,-5.44,YES,5.91,13.28,5.88,13.21,5.94,5.88,4.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,2.6264,0.5269,5.91,13.35
O:XLE230113C00083000,2023-01-09,2023-01-13,XLE,C,41.5,4.0,5.98,5.98,-4.87,YES,5.98,13.44,5.98,13.44,5.98,5.98,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,2.7307,0.5132,5.98,13.44
O:XLE230113C00084000,2023-01-09,2023-01-13,XLE,C,42.0,36.0,4.75,3.72,-3.72,YES,4.385,9.85,3.72,8.36,5.05,3.72,12.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,1.5822,0.559,4.385,11.35
O:XLE230113C00084500,2023-01-09,2023-01-13,XLE,C,42.25,94.0,3.91,3.27,-3.15,YES,3.76,8.45,3.27,7.35,4.25,3.27,7.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,1.4038,0.5584,3.76,9.55
O:XLE230113C00085000,2023-01-09,2023-01-13,XLE,C,42.5,39.0,4.0,2.77,-2.58,YES,3.34,7.5,2.58,5.8,4.1,2.58,14.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,1.1978,0.559,3.34,9.21
O:XLE230113C00085500,2023-01-09,2023-01-13,XLE,C,42.75,28.0,3.45,2.32,-2.01,YES,2.905,6.53,2.28,5.12,3.53,2.28,11.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,1.0214,0.5554,2.905,7.93
O:XLE230113C00086000,2023-01-09,2023-01-13,XLE,C,43.0,43.0,3.0,2.12,-1.43,YES,2.635,5.92,1.92,4.31,3.35,1.92,25.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.9856,0.5366,2.635,7.53
O:XLE230113C00086500,2023-01-09,2023-01-13,XLE,C,43.25,10.0,2.66,1.66,-0.86,YES,2.255,5.07,1.66,3.73,2.85,1.66,9.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.8033,0.5259,2.255,6.4
O:XLE230113C00087000,2023-01-09,2023-01-13,XLE,C,43.5,275.0,2.51,1.39,-0.29,YES,1.92,4.31,1.33,2.99,2.51,1.33,69.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.7251,0.5018,1.92,5.64
O:XLE230113C00087500,2023-01-09,2023-01-13,XLE,C,43.75,123.0,2.07,1.12,0.29,YES,1.5699999999999998,3.53,0.99,2.22,2.15,0.99,51.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.6437,0.4718,1.5699999999999998,4.83
O:XLE230113C00088000,2023-01-09,2023-01-13,XLE,C,44.0,875.0,1.84,0.97,0.86,YES,1.31,2.94,0.78,1.75,1.84,0.78,177.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.6236,0.4371,1.31,4.13
O:XLE230113C00088500,2023-01-09,2023-01-13,XLE,C,44.25,185.0,1.58,0.69,1.43,YES,1.11,2.49,0.64,1.44,1.58,0.64,65.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.5256,0.3899,1.11,3.55
O:XLE230113C00089000,2023-01-09,2023-01-13,XLE,C,44.5,1106.0,1.14,0.51,2.01,YES,0.865,1.94,0.46,1.03,1.27,0.46,200.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4746,0.3382,0.865,2.85
O:XLE230113C00089500,2023-01-09,2023-01-13,XLE,C,44.75,105.0,1.05,0.4,2.58,YES,0.71,1.6,0.37,0.83,1.05,0.37,29.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4557,0.2911,0.71,2.36
O:XLE230113C00090000,2023-01-09,2023-01-13,XLE,C,45.0,375.0,0.81,0.26,3.15,NO,0.55,1.24,0.26,0.58,0.84,0.26,127.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4065,0.229,0.55,1.89
O:XLE230113C00090500,2023-01-09,2023-01-13,XLE,C,45.25,325.0,0.51,0.19,3.72,NO,0.385,0.86,0.18,0.4,0.59,0.18,55.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3928,0.1837,0.385,1.33
O:XLE230113C00091000,2023-01-09,2023-01-13,XLE,C,45.5,465.0,0.47,0.13,4.3,NO,0.315,0.71,0.13,0.29,0.5,0.13,96.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3759,0.1401,0.315,1.12
O:XLE230113C00091500,2023-01-09,2023-01-13,XLE,C,45.75,168.0,0.3,0.1,4.87,NO,0.215,0.48,0.09,0.2,0.34,0.09,37.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3773,0.1122,0.215,0.76
O:XLE230113C00092000,2023-01-09,2023-01-13,XLE,C,46.0,527.0,0.21,0.07,5.44,NO,0.145,0.33,0.05,0.11,0.24,0.05,85.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3707,0.0844,0.145,0.54
O:XLE230113C00092500,2023-01-09,2023-01-13,XLE,C,46.25,75.0,0.16,0.05,6.02,NO,0.11,0.25,0.05,0.11,0.17,0.05,21.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3683,0.0636,0.11,0.38
O:XLE230113C00093000,2023-01-09,2023-01-13,XLE,C,46.5,145.0,0.11,0.04,6.59,NO,0.07,0.16,0.03,0.07,0.11,0.03,57.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.376,0.0513,0.07,0.25
O:XLE230113C00093500,2023-01-09,2023-01-13,XLE,C,46.75,36.0,0.08,0.06,7.16,NO,0.055,0.12,0.03,0.07,0.08,0.03,4.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4372,0.0634,0.055,0.18
O:XLE230113C00094000,2023-01-09,2023-01-13,XLE,C,47.0,540.0,0.06,0.01,7.74,NO,0.04,0.09,0.01,0.02,0.07,0.01,28.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3357,0.0167,0.04,0.16
O:XLE230113C00094500,2023-01-09,2023-01-13,XLE,C,47.25,2.0,0.02,0.02,8.31,NO,0.02,0.04,0.02,0.04,0.02,0.02,2.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3963,0.0264,0.02,0.04
O:XLE230113C00095000,2023-01-09,2023-01-13,XLE,C,47.5,23.0,0.04,0.04,8.88,NO,0.03,0.07,0.02,0.04,0.04,0.02,6.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4728,0.0412,0.03,0.09
O:XLE230113C00095500,2023-01-09,2023-01-13,XLE,C,47.75,82.0,0.03,0.01,9.46,NO,0.02,0.04,0.01,0.02,0.03,0.01,9.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.3958,0.0142,0.02,0.07
O:XLE230113C00096000,2023-01-09,2023-01-13,XLE,C,48.0,16.0,0.01,0.01,10.03,NO,0.01,0.02,0.01,0.02,0.01,0.01,3.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4153,0.0135,0.01,0.02
O:XLE230113C00096500,2023-01-09,2023-01-13,XLE,C,48.25,1.0,0.01,0.01,10.6,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4346,0.0129,0.01,0.02
O:XLE230113C00097000,2023-01-09,2023-01-13,XLE,C,48.5,3.0,0.02,0.02,11.17,NO,0.02,0.04,0.02,0.04,0.02,0.02,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.5019,0.0209,0.02,0.04
O:XLE230113C00098000,2023-01-09,2023-01-13,XLE,C,49.0,1.0,0.01,0.01,12.32,NO,0.01,0.02,0.01,0.02,0.01,0.01,1.0,1673240400000000000,4.0,Weekly,44.44,43.62,44.51,43.48,44.51,44.975,45.0827,45.0827,0.0433,0.4913,0.0114,0.01,0.02
