ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:XLF190215C00019000,2019-01-14,2019-02-15,XLF,C,190.0,100,5.53,5.53,5.53,5.53,1,1547442000000000000,32,Monthly
O:XLF190215C00020000,2019-01-14,2019-02-15,XLF,C,200.0,1,4.78,4.78,4.78,4.78,1,1547442000000000000,32,Monthly
O:XLF190215C00022000,2019-01-14,2019-02-15,XLF,C,220.0,228,2.61,2.83,2.83,2.61,17,1547442000000000000,32,Monthly
O:XLF190215C00023000,2019-01-14,2019-02-15,XLF,C,230.0,22,1.58,1.88,1.92,1.58,11,1547442000000000000,32,Monthly
O:XLF190215C00024000,2019-01-14,2019-02-15,XLF,C,240.0,326,0.82,1.06,1.12,0.81,50,1547442000000000000,32,Monthly
O:XLF190215C00025000,2019-01-14,2019-02-15,XLF,C,250.0,4326,0.33,0.46,0.5,0.32,113,1547442000000000000,32,Monthly
O:XLF190215C00026000,2019-01-14,2019-02-15,XLF,C,260.0,295,0.11,0.13,0.14,0.09,31,1547442000000000000,32,Monthly
O:XLF190215C00027000,2019-01-14,2019-02-15,XLF,C,270.0,27,0.03,0.03,0.03,0.03,5,1547442000000000000,32,Monthly
O:XLF190215C00028000,2019-01-14,2019-02-15,XLF,C,280.0,16,0.01,0.01,0.03,0.01,5,1547442000000000000,32,Monthly
O:XLF190215C00029000,2019-01-14,2019-02-15,XLF,C,290.0,5,0.02,0.02,0.02,0.02,3,1547442000000000000,32,Monthly
O:XLF190215C00035000,2019-01-14,2019-02-15,XLF,C,350.0,7,0.01,0.01,0.01,0.01,1,1547442000000000000,32,Monthly
O:XLF190215C00021000,2019-01-15,2019-02-15,XLF,C,210.0,4,3.65,3.85,3.85,3.65,3,1547528400000000000,31,Monthly
O:XLF190215C00022000,2019-01-15,2019-02-15,XLF,C,220.0,16,3.05,2.97,3.05,2.9,6,1547528400000000000,31,Monthly
O:XLF190215C00023000,2019-01-15,2019-02-15,XLF,C,230.0,13,1.88,2.0,2.06,1.88,6,1547528400000000000,31,Monthly
O:XLF190215C00024000,2019-01-15,2019-02-15,XLF,C,240.0,720,1.04,1.16,1.25,0.97,49,1547528400000000000,31,Monthly
O:XLF190215C00025000,2019-01-15,2019-02-15,XLF,C,250.0,1788,0.37,0.5,0.55,0.36,108,1547528400000000000,31,Monthly
O:XLF190215C00026000,2019-01-15,2019-02-15,XLF,C,260.0,1382,0.1,0.13,0.15,0.1,38,1547528400000000000,31,Monthly
O:XLF190215C00027000,2019-01-15,2019-02-15,XLF,C,270.0,15,0.01,0.05,0.05,0.01,2,1547528400000000000,31,Monthly
O:XLF190215C00028000,2019-01-15,2019-02-15,XLF,C,280.0,11,0.01,0.01,0.01,0.01,2,1547528400000000000,31,Monthly
O:XLF190215C00035000,2019-01-15,2019-02-15,XLF,C,350.0,1,0.01,0.01,0.01,0.01,1,1547528400000000000,31,Monthly
O:XLF190215C00020000,2019-01-16,2019-02-15,XLF,C,200.0,60,5.54,5.56,5.56,5.54,2,1547614800000000000,30,Monthly
O:XLF190215C00021000,2019-01-16,2019-02-15,XLF,C,210.0,20,4.56,4.56,4.56,4.56,1,1547614800000000000,30,Monthly
O:XLF190215C00022000,2019-01-16,2019-02-15,XLF,C,220.0,33,3.3,3.65,3.65,3.3,9,1547614800000000000,30,Monthly
O:XLF190215C00023000,2019-01-16,2019-02-15,XLF,C,230.0,73,2.32,2.54,2.65,2.32,22,1547614800000000000,30,Monthly
O:XLF190215C00024000,2019-01-16,2019-02-15,XLF,C,240.0,842,1.29,1.63,1.76,1.29,66,1547614800000000000,30,Monthly
O:XLF190215C00025000,2019-01-16,2019-02-15,XLF,C,250.0,7542,0.6,0.83,0.91,0.6,203,1547614800000000000,30,Monthly
O:XLF190215C00026000,2019-01-16,2019-02-15,XLF,C,260.0,14114,0.16,0.27,0.32,0.15,216,1547614800000000000,30,Monthly
O:XLF190215C00027000,2019-01-16,2019-02-15,XLF,C,270.0,236,0.05,0.07,0.07,0.02,26,1547614800000000000,30,Monthly
O:XLF190215C00028000,2019-01-16,2019-02-15,XLF,C,280.0,1,0.02,0.02,0.02,0.02,1,1547614800000000000,30,Monthly
O:XLF190215C00017000,2019-01-17,2019-02-15,XLF,C,170.0,5,8.3,8.3,8.3,8.3,1,1547701200000000000,29,Monthly
O:XLF190215C00021000,2019-01-17,2019-02-15,XLF,C,210.0,11,4.31,4.3,4.31,4.3,2,1547701200000000000,29,Monthly
O:XLF190215C00022000,2019-01-17,2019-02-15,XLF,C,220.0,33,3.4,3.4,3.4,3.4,1,1547701200000000000,29,Monthly
O:XLF190215C00023000,2019-01-17,2019-02-15,XLF,C,230.0,6,2.52,2.67,2.67,2.52,4,1547701200000000000,29,Monthly
