ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLF230217C00030000,2023-01-17,2023-02-17,XLF,C,30.0,15,5.98,6.05,-16.39,NO,6.05,20.17,5.98,19.93,6.05,5.98,6,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00033000,2023-01-17,2023-02-17,XLF,C,33.0,2,3.15,3.05,-8.03,NO,3.05,9.24,3.15,9.55,3.15,3.05,2,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00034000,2023-01-17,2023-02-17,XLF,C,34.0,40,2.3,2.27,-5.24,NO,2.27,6.68,2.3,6.76,2.32,2.21,19,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00035000,2023-01-17,2023-02-17,XLF,C,35.0,348,1.48,1.37,-2.45,NO,1.37,3.91,1.48,4.23,1.53,1.37,49,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00036000,2023-01-17,2023-02-17,XLF,C,36.0,341,0.95,0.74,0.33,NO,0.74,2.06,0.95,2.64,0.95,0.74,83,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00037000,2023-01-17,2023-02-17,XLF,C,37.0,754,0.35,0.34,3.12,NO,0.34,0.92,0.35,0.95,0.41,0.31,93,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00038000,2023-01-17,2023-02-17,XLF,C,38.0,214,0.14,0.1,5.91,NO,0.1,0.26,0.14,0.37,0.15,0.1,27,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00039000,2023-01-17,2023-02-17,XLF,C,39.0,13,0.09,0.03,8.7,NO,0.03,0.08,0.09,0.23,0.09,0.02,4,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00041000,2023-01-17,2023-02-17,XLF,C,41.0,63,0.02,0.01,14.27,NO,0.01,0.02,0.02,0.05,0.02,0.01,9,1673931600000000000,31,Monthly,36.03,35.88,36.05,35.77,35.88,35.88,36.05,35.88
O:XLF230217C00030000,2023-01-18,2023-02-17,XLF,C,30.0,1,5.55,5.55,-14.8,NO,5.55,18.5,5.55,18.5,5.55,5.55,1,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00032000,2023-01-18,2023-02-17,XLF,C,32.0,8,3.45,3.45,-9.12,NO,3.45,10.78,3.45,10.78,3.45,3.45,1,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00033000,2023-01-18,2023-02-17,XLF,C,33.0,105,2.75,2.56,-6.28,NO,2.56,7.76,2.75,8.33,2.77,2.52,19,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00034000,2023-01-18,2023-02-17,XLF,C,34.0,107,2.04,1.7,-3.44,NO,1.7,5.0,2.04,6.0,2.2,1.69,33,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00035000,2023-01-18,2023-02-17,XLF,C,35.0,1153,1.33,0.97,-0.6,NO,0.97,2.77,1.33,3.8,1.41,0.97,147,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00036000,2023-01-18,2023-02-17,XLF,C,36.0,1626,0.67,0.49,2.24,NO,0.49,1.36,0.67,1.86,0.76,0.46,91,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00037000,2023-01-18,2023-02-17,XLF,C,37.0,5958,0.27,0.18,5.08,NO,0.18,0.49,0.27,0.73,0.31,0.18,97,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00038000,2023-01-18,2023-02-17,XLF,C,38.0,71,0.09,0.05,7.92,NO,0.05,0.13,0.09,0.24,0.1,0.05,18,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00041000,2023-01-18,2023-02-17,XLF,C,41.0,22,0.01,0.01,16.44,NO,0.01,0.02,0.01,0.02,0.01,0.01,3,1674018000000000000,30,Monthly,35.68,35.21,35.9,35.18,35.21,35.21,35.9,35.21
O:XLF230217C00030000,2023-01-19,2023-02-17,XLF,C,30.0,1,4.82,4.82,-13.79,NO,4.82,16.07,4.82,16.07,4.82,4.82,1,1674104400000000000,29,Monthly,34.78,34.8,34.98,34.56,34.8,34.8,34.98,34.8
O:XLF230217C00032000,2023-01-19,2023-02-17,XLF,C,32.0,24,3.0,2.88,-8.05,NO,2.88,9.0,3.0,9.38,3.0,2.87,8,1674104400000000000,29,Monthly,34.78,34.8,34.98,34.56,34.8,34.8,34.98,34.8
