ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:XLF180112C00024000,2018-01-08,2018-01-12,XLF,C,240.0,1,4.36,4.36,4.36,4.36,1,1515387600000000000,4.0,Weekly
O:XLF180112C00026500,2018-01-08,2018-01-12,XLF,C,265.0,7,1.87,1.87,1.87,1.87,1,1515387600000000000,4.0,Weekly
O:XLF180112C00027000,2018-01-08,2018-01-12,XLF,C,270.0,153,1.3,1.39,1.4,1.3,5,1515387600000000000,4.0,Weekly
O:XLF180112C00027500,2018-01-08,2018-01-12,XLF,C,275.0,4,0.95,0.93,0.95,0.86,3,1515387600000000000,4.0,Weekly
O:XLF180112C00028000,2018-01-08,2018-01-12,XLF,C,280.0,71,0.42,0.45,0.45,0.36,11,1515387600000000000,4.0,Weekly
O:XLF180112C00028500,2018-01-08,2018-01-12,XLF,C,285.0,567,0.12,0.13,0.14,0.09,42,1515387600000000000,4.0,Weekly
O:XLF180112C00029000,2018-01-08,2018-01-12,XLF,C,290.0,770,0.02,0.02,0.02,0.01,11,1515387600000000000,4.0,Weekly
O:XLF180126C00027000,2018-01-22,2018-01-26,XLF,C,270.0,10,2.63,2.63,2.63,2.63,1,1516597200000000000,4.0,Weekly
O:XLF180126C00027500,2018-01-22,2018-01-26,XLF,C,275.0,20,2.13,2.13,2.13,2.13,1,1516597200000000000,4.0,Weekly
O:XLF180126C00028000,2018-01-22,2018-01-26,XLF,C,280.0,70,1.58,1.7,1.7,1.58,7,1516597200000000000,4.0,Weekly
O:XLF180126C00028500,2018-01-22,2018-01-26,XLF,C,285.0,1414,1.07,1.25,1.25,1.07,31,1516597200000000000,4.0,Weekly
O:XLF180126C00029000,2018-01-22,2018-01-26,XLF,C,290.0,426,0.62,0.81,0.81,0.58,20,1516597200000000000,4.0,Weekly
O:XLF180126C00029500,2018-01-22,2018-01-26,XLF,C,295.0,2340,0.22,0.36,0.36,0.2,47,1516597200000000000,4.0,Weekly
O:XLF180126C00030000,2018-01-22,2018-01-26,XLF,C,300.0,1488,0.05,0.07,0.07,0.03,44,1516597200000000000,4.0,Weekly
O:XLF180202C00027500,2018-01-29,2018-02-02,XLF,C,275.0,5,2.62,2.62,2.62,2.62,1,1517202000000000000,4.0,Weekly
O:XLF180202C00028000,2018-01-29,2018-02-02,XLF,C,280.0,15,2.15,2.08,2.15,2.08,3,1517202000000000000,4.0,Weekly
O:XLF180202C00028500,2018-01-29,2018-02-02,XLF,C,285.0,22,1.65,1.55,1.66,1.55,7,1517202000000000000,4.0,Weekly
