ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLF210108C00025000,2021-01-04,2021-01-08,XLF,C,25.0,1,4.0,4.0,-14.03,NO,4.0,16.0,4.0,16.0,4.0,4.0,1,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00026500,2021-01-04,2021-01-08,XLF,C,26.5,20,2.53,2.5,-8.87,NO,2.5,9.43,2.53,9.55,2.53,2.5,5,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00027000,2021-01-04,2021-01-08,XLF,C,27.0,21,2.16,2.05,-7.15,NO,2.05,7.59,2.16,8.0,2.16,1.9,10,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00027500,2021-01-04,2021-01-08,XLF,C,27.5,13,2.03,1.53,-5.43,NO,1.53,5.56,2.03,7.38,2.04,1.53,5,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00028000,2021-01-04,2021-01-08,XLF,C,28.0,146,1.52,1.25,-3.71,NO,1.25,4.46,1.52,5.43,1.56,1.06,23,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00028500,2021-01-04,2021-01-08,XLF,C,28.5,474,1.16,0.76,-1.99,NO,0.76,2.67,1.16,4.07,1.16,0.62,115,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00029000,2021-01-04,2021-01-08,XLF,C,29.0,5946,0.77,0.48,-0.28,NO,0.48,1.66,0.77,2.66,0.77,0.33,176,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00029500,2021-01-04,2021-01-08,XLF,C,29.5,4177,0.45,0.25,1.44,NO,0.25,0.85,0.45,1.53,0.45,0.15,266,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00030000,2021-01-04,2021-01-08,XLF,C,30.0,863,0.22,0.11,3.16,NO,0.11,0.37,0.22,0.73,0.22,0.05,161,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00030500,2021-01-04,2021-01-08,XLF,C,30.5,4116,0.08,0.05,4.88,NO,0.05,0.16,0.08,0.26,0.08,0.02,90,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00031000,2021-01-04,2021-01-08,XLF,C,31.0,211,0.04,0.02,6.6,NO,0.02,0.06,0.04,0.13,0.04,0.01,41,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00031500,2021-01-04,2021-01-08,XLF,C,31.5,50,0.02,0.02,8.32,NO,0.02,0.06,0.02,0.06,0.02,0.02,8,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210108C00032000,2021-01-04,2021-01-08,XLF,C,32.0,1,0.01,0.01,10.04,NO,0.01,0.03,0.01,0.03,0.01,0.01,1,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.08,29.08,29.6,29.08
O:XLF210129C00026000,2021-01-25,2021-01-29,XLF,C,26.0,2,4.1,4.05,-13.68,NO,4.05,15.58,4.1,15.77,4.1,4.05,2,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00027000,2021-01-25,2021-01-29,XLF,C,27.0,3,3.05,3.05,-10.36,NO,3.05,11.3,3.05,11.3,3.05,3.05,1,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00028000,2021-01-25,2021-01-29,XLF,C,28.0,1107,2.12,2.14,-7.04,NO,2.14,7.64,2.12,7.57,2.15,1.78,161,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00028500,2021-01-25,2021-01-29,XLF,C,28.5,24,1.51,1.55,-5.38,NO,1.55,5.44,1.51,5.3,1.55,1.4,5,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00029000,2021-01-25,2021-01-29,XLF,C,29.0,202,1.14,1.13,-3.72,NO,1.13,3.9,1.14,3.93,1.16,0.88,36,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00029500,2021-01-25,2021-01-29,XLF,C,29.5,349,0.6,0.78,-2.06,NO,0.78,2.64,0.6,2.03,0.78,0.51,48,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00030000,2021-01-25,2021-01-29,XLF,C,30.0,1249,0.4,0.41,-0.4,NO,0.41,1.37,0.4,1.33,0.45,0.27,259,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00030500,2021-01-25,2021-01-29,XLF,C,30.5,3791,0.22,0.23,1.26,NO,0.23,0.75,0.22,0.72,0.25,0.13,426,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00031000,2021-01-25,2021-01-29,XLF,C,31.0,25742,0.11,0.12,2.92,NO,0.12,0.39,0.11,0.35,0.13,0.06,915,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00031500,2021-01-25,2021-01-29,XLF,C,31.5,4782,0.06,0.05,4.58,NO,0.05,0.16,0.06,0.19,0.06,0.03,330,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
O:XLF210129C00032000,2021-01-25,2021-01-29,XLF,C,32.0,1460,0.04,0.02,6.24,NO,0.02,0.06,0.04,0.12,0.04,0.02,165,1611550800000000000,4,Weekly,30.04,30.12,30.16,29.74,30.12,30.12,30.16,30.12
