ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:XLK180105C00059500,2018-01-02,2018-01-05,XLK,C,29.75,1,1.25,1.25,-8.09,YES,1.25,3.88,1.25,3.88,1.25,1.25,1,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,1.25,3.88,,
O:XLK180105C00063000,2018-01-02,2018-01-05,XLK,C,31.5,3,0.43,0.43,-2.69,YES,0.43,1.32,0.43,1.32,0.43,0.43,1,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.43,1.32,,
O:XLK180105C00063500,2018-01-02,2018-01-05,XLK,C,31.75,10,0.25,0.25,-1.92,YES,0.25,0.76,0.25,0.76,0.25,0.25,1,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.25,0.76,,
O:XLK180105C00064000,2018-01-02,2018-01-05,XLK,C,32.0,36,0.1,0.2,-1.14,YES,0.15,0.46,0.1,0.29,0.2,0.1,7,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.15,0.62,,
O:XLK180105C00064500,2018-01-02,2018-01-05,XLK,C,32.25,108,0.06,0.08,-0.37,YES,0.08,0.23,0.06,0.2,0.08,0.06,21,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.08,0.26,,
O:XLK180105C00065000,2018-01-02,2018-01-05,XLK,C,32.5,24,0.03,0.03,0.4,YES,0.03,0.08,0.02,0.07,0.03,0.02,5,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.03,0.1,0.0654,0.2576
O:XLK180105C00065500,2018-01-02,2018-01-05,XLK,C,32.75,10,0.0,0.0,1.17,YES,0.0,0.02,0.0,0.02,0.0,0.0,1,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.0,0.02,,
O:XLK180105C00066000,2018-01-02,2018-01-05,XLK,C,33.0,10,0.0,0.0,1.95,YES,0.0,0.01,0.0,0.01,0.0,0.0,1,1514869200000000000,3,Weekly,32.1,32.37,32.37,32.02,32.37,33.15,33.18,33.18,0.02,0.0,0.01,,
O:XLK180112C00060000,2018-01-08,2018-01-12,XLK,C,30.0,8,1.6,1.6,-10.02,YES,1.6,4.81,1.6,4.81,1.6,1.6,2,1515387600000000000,4,Weekly,33.14,33.28,33.34,33.12,33.34,33.4,33.45,33.45,0.02,1.6,4.81,,
O:XLK180112C00064500,2018-01-08,2018-01-12,XLK,C,32.25,1,0.54,0.54,-3.27,YES,0.54,1.6,0.54,1.6,0.54,0.54,1,1515387600000000000,4,Weekly,33.14,33.28,33.34,33.12,33.34,33.4,33.45,33.45,0.02,0.54,1.6,,
