ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm
O:XLK180216C00050000,2018-01-16,2018-02-16,XLK,C,25.0,5.0,16.6,16.6,-24.87,YES,16.6,66.4,16.6,66.4,16.6,16.6,1.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,3.7453,0.3887
O:XLK180216C00057000,2018-01-16,2018-02-16,XLK,C,28.5,20.0,9.8,9.8,-14.35,YES,9.8,34.39,9.8,34.39,9.8,9.8,1.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,2.0231,0.4879
O:XLK180216C00058000,2018-01-16,2018-02-16,XLK,C,29.0,1.0,9.74,9.74,-12.85,YES,9.74,33.59,9.74,33.59,9.74,9.74,1.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,2.0769,0.4706
O:XLK180216C00059000,2018-01-16,2018-02-16,XLK,C,29.5,10.0,8.39,8.39,-11.34,YES,8.39,28.44,8.39,28.44,8.39,8.39,1.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,1.7499,0.4933
O:XLK180216C00060000,2018-01-16,2018-02-16,XLK,C,30.0,13.0,7.55,6.75,-9.84,YES,6.75,22.5,7.55,25.17,7.55,6.75,3.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,1.3487,0.5278
O:XLK180216C00061000,2018-01-16,2018-02-16,XLK,C,30.5,2.0,6.6,6.42,-8.34,YES,6.42,21.05,6.6,21.64,6.6,6.42,2.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,1.3287,0.5136
O:XLK180216C00062000,2018-01-16,2018-02-16,XLK,C,31.0,1.0,5.65,5.65,-6.84,YES,5.65,18.23,5.65,18.23,5.65,5.65,1.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,1.1849,0.5141
O:XLK180216C00063000,2018-01-16,2018-02-16,XLK,C,31.5,96.0,4.55,3.79,-5.33,YES,3.79,12.03,4.55,14.44,4.55,3.79,4.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.744,0.5593
O:XLK180216C00064000,2018-01-16,2018-02-16,XLK,C,32.0,84.0,3.74,3.15,-3.83,YES,3.15,9.84,3.74,11.69,3.78,2.94,12.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.6446,0.5476
O:XLK180216C00065000,2018-01-16,2018-02-16,XLK,C,32.5,81.0,2.76,2.35,-2.33,YES,2.35,7.23,2.76,8.49,2.92,2.27,23.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.5026,0.5378
O:XLK180216C00066000,2018-01-16,2018-02-16,XLK,C,33.0,128.0,2.07,1.59,-0.83,YES,1.59,4.82,2.07,6.27,2.12,1.54,27.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.3716,0.5128
O:XLK180216C00067000,2018-01-16,2018-02-16,XLK,C,33.5,2503.0,1.28,0.98,0.68,NO,0.98,2.93,1.28,3.82,1.42,0.95,113.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.2765,0.4558
O:XLK180216C00068000,2018-01-16,2018-02-16,XLK,C,34.0,181.0,0.78,0.6,2.18,NO,0.6,1.76,0.78,2.29,0.87,0.54,30.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.2311,0.3676
O:XLK180216C00069000,2018-01-16,2018-02-16,XLK,C,34.5,385.0,0.4,0.29,3.68,NO,0.29,0.84,0.4,1.16,0.47,0.29,35.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.1872,0.2512
O:XLK180216C00070000,2018-01-16,2018-02-16,XLK,C,35.0,34.0,0.22,0.21,5.18,NO,0.21,0.6,0.22,0.63,0.22,0.19,4.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.1968,0.1863
O:XLK180216C00071000,2018-01-16,2018-02-16,XLK,C,35.5,213.0,0.1,0.09,6.69,NO,0.09,0.25,0.1,0.28,0.11,0.09,15.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.1756,0.1021
O:XLK180216C00072000,2018-01-16,2018-02-16,XLK,C,36.0,1151.0,0.05,0.06,8.19,NO,0.06,0.17,0.05,0.14,0.06,0.05,38.0,1516078800000000000,31.0,Monthly,33.61,33.27,33.73,33.19,33.27,33.27,33.73,33.27,0.0141,0.1832,0.0693
O:XLK180216C00050000,2018-01-17,2018-02-16,XLK,C,25.0,192.0,16.85,17.25,-25.98,YES,17.25,69.0,16.85,67.4,17.25,16.85,10.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,3.8997,0.3863
O:XLK180216C00053000,2018-01-17,2018-02-16,XLK,C,26.5,6.0,14.63,14.63,-21.54,YES,14.63,55.21,14.63,55.21,14.63,14.63,1.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,3.195,0.4238
O:XLK180216C00061000,2018-01-17,2018-02-16,XLK,C,30.5,5.0,6.06,6.06,-9.7,YES,6.06,19.87,6.06,19.87,6.06,6.06,1.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,1.1501,0.5586
O:XLK180216C00063000,2018-01-17,2018-02-16,XLK,C,31.5,17.0,4.11,4.57,-6.74,YES,4.57,14.51,4.11,13.05,4.58,4.11,4.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.8844,0.5605
O:XLK180216C00064000,2018-01-17,2018-02-16,XLK,C,32.0,63.0,3.25,3.9,-5.26,YES,3.9,12.19,3.25,10.16,3.9,3.24,11.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.7753,0.5542
O:XLK180216C00065000,2018-01-17,2018-02-16,XLK,C,32.5,25.0,2.45,3.0,-3.77,YES,3.0,9.23,2.45,7.54,3.0,2.45,11.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.6046,0.5561
O:XLK180216C00066000,2018-01-17,2018-02-16,XLK,C,33.0,116.0,1.71,2.2,-2.29,YES,2.2,6.67,1.71,5.18,2.2,1.64,15.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.4633,0.5462
O:XLK180216C00067000,2018-01-17,2018-02-16,XLK,C,33.5,93.0,1.1,1.51,-0.81,YES,1.51,4.51,1.1,3.28,1.51,1.06,17.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.3513,0.5163
O:XLK180216C00068000,2018-01-17,2018-02-16,XLK,C,34.0,335.0,0.65,0.95,0.67,NO,0.95,2.79,0.65,1.91,0.98,0.65,28.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.2692,0.4556
O:XLK180216C00069000,2018-01-17,2018-02-16,XLK,C,34.5,453.0,0.37,0.52,2.15,NO,0.52,1.51,0.37,1.07,0.56,0.36,32.0,1516165200000000000,30.0,Monthly,33.47,33.77,33.8,33.35,33.77,33.77,33.8,33.77,0.0141,0.21,0.3572
