ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLK200221C00071000,2020-01-21,2020-02-21,XLK,C,35.5,2,26.61,26.63,-26.86,YES,26.63,75.0141,26.61,74.9577,26.63,26.61,2,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00072000,2020-01-21,2020-02-21,XLK,C,36.0,8,25.65,25.65,-25.83,YES,25.65,71.25,25.65,71.25,25.65,25.63,3,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00077000,2020-01-21,2020-02-21,XLK,C,38.5,3,20.45,20.45,-20.68,YES,20.45,53.1169,20.45,53.1169,20.45,20.45,1,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00079000,2020-01-21,2020-02-21,XLK,C,39.5,1,18.4,18.4,-18.62,YES,18.4,46.5823,18.4,46.5823,18.4,18.4,1,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00084000,2020-01-21,2020-02-21,XLK,C,42.0,9,13.52,13.7,-13.47,YES,13.7,32.619,13.52,32.1905,13.7,13.52,2,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00085000,2020-01-21,2020-02-21,XLK,C,42.5,20,12.6,12.72,-12.44,YES,12.72,29.9294,12.6,29.6471,12.72,12.6,6,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00087000,2020-01-21,2020-02-21,XLK,C,43.5,8,10.6,10.38,-10.38,YES,10.38,23.8621,10.6,24.3678,10.79,10.38,5,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00088000,2020-01-21,2020-02-21,XLK,C,44.0,30,9.75,9.57,-9.35,YES,9.57,21.75,9.75,22.1591,9.75,9.57,9,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00090000,2020-01-21,2020-02-21,XLK,C,45.0,33,7.9,7.59,-7.29,YES,7.59,16.8667,7.9,17.5556,8.0,7.55,9,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00091000,2020-01-21,2020-02-21,XLK,C,45.5,25,6.85,6.78,-6.26,YES,6.78,14.9011,6.85,15.0549,7.0,6.78,8,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
O:XLK200221C00092000,2020-01-21,2020-02-21,XLK,C,46.0,41,5.68,6.05,-5.23,YES,6.05,13.1522,5.68,12.3478,6.05,5.68,10,1579582800000000000,31,Monthly,48.41,48.54,48.82,48.4,48.54,48.54,48.82,48.54
