ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLK160108C00041500,2016-01-04,2016-01-08,XLK,C,41.5,2,0.68,0.68,,NO,0.68,1.64,0.68,1.64,0.68,0.68,1,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00042000,2016-01-04,2016-01-08,XLK,C,42.0,660,0.45,0.47,,NO,0.47,1.12,0.45,1.07,0.48,0.31,22,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00042500,2016-01-04,2016-01-08,XLK,C,42.5,43,0.18,0.3,,NO,0.3,0.71,0.18,0.42,0.3,0.18,11,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00043000,2016-01-04,2016-01-08,XLK,C,43.0,319,0.09,0.07,,NO,0.07,0.16,0.09,0.21,0.11,0.07,6,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00043500,2016-01-04,2016-01-08,XLK,C,43.5,40,0.03,0.03,,NO,0.03,0.07,0.03,0.07,0.03,0.03,4,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00044000,2016-01-04,2016-01-08,XLK,C,44.0,2,0.01,0.02,,NO,0.02,0.05,0.01,0.02,0.02,0.01,2,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00044500,2016-01-04,2016-01-08,XLK,C,44.5,155,0.01,0.02,,NO,0.02,0.04,0.01,0.02,0.02,0.01,6,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160108C00045500,2016-01-04,2016-01-08,XLK,C,45.5,43,0.02,0.02,,NO,0.02,0.04,0.02,0.04,0.02,0.02,2,1451883600000000000,4,Weekly,,,,,,,,
O:XLK160129C00038500,2016-01-25,2016-01-29,XLK,C,38.5,20,1.58,1.58,92.93,NO,1.58,4.1,1.58,4.1,1.58,1.58,2,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00039000,2016-01-25,2016-01-29,XLK,C,39.0,200,1.37,1.38,95.44,NO,1.38,3.54,1.37,3.51,1.38,1.36,6,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00039500,2016-01-25,2016-01-29,XLK,C,39.5,5,1.04,1.04,97.95,NO,1.04,2.63,1.04,2.63,1.04,1.04,1,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00040500,2016-01-25,2016-01-29,XLK,C,40.5,501,0.4,0.36,102.96,NO,0.36,0.89,0.4,0.99,0.47,0.36,18,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00041000,2016-01-25,2016-01-29,XLK,C,41.0,27,0.2,0.25,105.46,NO,0.25,0.61,0.2,0.49,0.25,0.19,10,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00042000,2016-01-25,2016-01-29,XLK,C,42.0,3,0.04,0.03,110.47,NO,0.03,0.07,0.04,0.1,0.04,0.03,3,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160129C00043000,2016-01-25,2016-01-29,XLK,C,43.0,3,0.02,0.02,115.48,NO,0.02,0.05,0.02,0.05,0.02,0.02,3,1453698000000000000,4,Weekly,20.08,19.955,20.255,19.92,19.955,19.955,20.255,19.955
O:XLK160205C00037000,2016-02-01,2016-02-05,XLK,C,37.0,2,4.2,4.2,78.79,NO,4.2,11.35,4.2,11.35,4.2,4.2,2,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160205C00040000,2016-02-01,2016-02-05,XLK,C,40.0,204,1.36,1.61,93.28,NO,1.61,4.03,1.36,3.4,1.61,1.36,4,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160205C00040500,2016-02-01,2016-02-05,XLK,C,40.5,10,0.85,0.85,95.7,NO,0.85,2.1,0.85,2.1,0.85,0.85,1,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160205C00041000,2016-02-01,2016-02-05,XLK,C,41.0,20,0.56,0.79,98.12,NO,0.79,1.93,0.56,1.37,0.79,0.56,6,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160205C00041500,2016-02-01,2016-02-05,XLK,C,41.5,227,0.39,0.38,100.53,NO,0.38,0.92,0.39,0.94,0.42,0.38,13,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160205C00042000,2016-02-01,2016-02-05,XLK,C,42.0,470,0.12,0.17,102.95,NO,0.17,0.4,0.12,0.29,0.18,0.12,23,1454302800000000000,4,Weekly,20.535,20.695,20.79,20.5175,20.695,20.695,20.79,20.695
O:XLK160212C00039000,2016-02-08,2016-02-12,XLK,C,39.0,18,0.5,0.45,100.36,NO,0.45,1.15,0.5,1.28,0.5,0.35,5,1454907600000000000,4,Weekly,19.4175,19.465,19.52,19.1275,19.465,19.465,19.52,19.465
O:XLK160212C00039500,2016-02-08,2016-02-12,XLK,C,39.5,30,0.3,0.17,102.93,NO,0.17,0.43,0.3,0.76,0.3,0.17,8,1454907600000000000,4,Weekly,19.4175,19.465,19.52,19.1275,19.465,19.465,19.52,19.465
O:XLK160212C00040000,2016-02-08,2016-02-12,XLK,C,40.0,73,0.17,0.12,105.5,NO,0.12,0.3,0.17,0.43,0.17,0.12,8,1454907600000000000,4,Weekly,19.4175,19.465,19.52,19.1275,19.465,19.465,19.52,19.465
O:XLK160212C00041000,2016-02-08,2016-02-12,XLK,C,41.0,9,0.03,0.03,110.63,NO,0.03,0.07,0.03,0.07,0.03,0.03,1,1454907600000000000,4,Weekly,19.4175,19.465,19.52,19.1275,19.465,19.465,19.52,19.465
O:XLK160226C00040500,2016-02-22,2016-02-26,XLK,C,40.5,5,0.81,0.81,96.6,NO,0.81,2.0,0.81,2.0,0.81,0.81,1,1456117200000000000,4,Weekly,20.515,20.6,20.63,20.485,20.6,20.6,20.63,20.6
O:XLK160226C00041000,2016-02-22,2016-02-26,XLK,C,41.0,42,0.42,0.5,99.03,NO,0.5,1.22,0.42,1.02,0.51,0.42,6,1456117200000000000,4,Weekly,20.515,20.6,20.63,20.485,20.6,20.6,20.63,20.6
O:XLK160226C00041500,2016-02-22,2016-02-26,XLK,C,41.5,25,0.2,0.23,101.46,NO,0.23,0.55,0.2,0.48,0.23,0.2,2,1456117200000000000,4,Weekly,20.515,20.6,20.63,20.485,20.6,20.6,20.63,20.6
O:XLK160226C00042000,2016-02-22,2016-02-26,XLK,C,42.0,20,0.08,0.08,103.88,NO,0.08,0.19,0.08,0.19,0.08,0.08,3,1456117200000000000,4,Weekly,20.515,20.6,20.63,20.485,20.6,20.6,20.63,20.6
O:XLK160304C00041000,2016-02-29,2016-03-04,XLK,C,41.0,12,0.64,0.65,100.15,NO,0.65,1.59,0.64,1.56,0.65,0.64,3,1456722000000000000,4,Weekly,20.61,20.485,20.803,20.485,20.485,20.485,20.803,20.485
O:XLK160304C00041500,2016-02-29,2016-03-04,XLK,C,41.5,266,0.33,0.36,102.59,NO,0.36,0.87,0.33,0.8,0.36,0.33,16,1456722000000000000,4,Weekly,20.61,20.485,20.803,20.485,20.485,20.485,20.803,20.485
O:XLK160304C00042000,2016-02-29,2016-03-04,XLK,C,42.0,10,0.12,0.14,105.03,NO,0.14,0.33,0.12,0.29,0.15,0.12,6,1456722000000000000,4,Weekly,20.61,20.485,20.803,20.485,20.485,20.485,20.803,20.485
O:XLK160311C00040000,2016-03-07,2016-03-11,XLK,C,40.0,1,2.18,2.18,89.75,NO,2.18,5.45,2.18,5.45,2.18,2.18,1,1457326800000000000,4,Weekly,21.09,21.08,21.175,20.925,21.08,21.08,21.175,21.08
O:XLK160311C00041000,2016-03-07,2016-03-11,XLK,C,41.0,11,1.38,1.19,94.5,NO,1.19,2.9,1.38,3.37,1.38,1.19,3,1457326800000000000,4,Weekly,21.09,21.08,21.175,20.925,21.08,21.08,21.175,21.08
O:XLK160311C00042000,2016-03-07,2016-03-11,XLK,C,42.0,201,0.48,0.42,99.24,NO,0.42,1.0,0.48,1.14,0.48,0.42,3,1457326800000000000,4,Weekly,21.09,21.08,21.175,20.925,21.08,21.08,21.175,21.08
O:XLK160311C00042500,2016-03-07,2016-03-11,XLK,C,42.5,51,0.19,0.18,101.61,NO,0.18,0.42,0.19,0.45,0.19,0.18,3,1457326800000000000,4,Weekly,21.09,21.08,21.175,20.925,21.08,21.08,21.175,21.08
O:XLK160401C00043500,2016-03-28,2016-04-01,XLK,C,43.5,198,0.38,0.27,99.95,NO,0.27,0.62,0.38,0.87,0.39,0.27,15,1459137600000000000,4,Weekly,21.83,21.755,21.8575,21.715,21.755,21.755,21.8575,21.755
O:XLK160401C00044000,2016-03-28,2016-04-01,XLK,C,44.0,15,0.08,0.06,102.25,NO,0.06,0.14,0.08,0.18,0.08,0.06,3,1459137600000000000,4,Weekly,21.83,21.755,21.8575,21.715,21.755,21.755,21.8575,21.755
O:XLK160408C00045000,2016-04-04,2016-04-08,XLK,C,45.0,51,0.11,0.1,102.11,NO,0.1,0.22,0.11,0.24,0.11,0.1,2,1459742400000000000,4,Weekly,22.315,22.265,22.365,22.22,22.265,22.265,22.365,22.265
O:XLK160422C00043500,2016-04-18,2016-04-22,XLK,C,43.5,2,0.95,0.95,95.37,NO,0.95,2.18,0.95,2.18,0.95,0.95,1,1460952000000000000,4,Weekly,22.105,22.265,22.265,22.07,22.265,22.265,22.265,22.265
O:XLK160422C00044000,2016-04-18,2016-04-22,XLK,C,44.0,31,0.51,0.58,97.62,NO,0.58,1.32,0.51,1.16,0.58,0.51,2,1460952000000000000,4,Weekly,22.105,22.265,22.265,22.07,22.265,22.265,22.265,22.265
