ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLK200110C00075000,2020-01-06,2020-01-10,XLK,C,37.5,5.0,16.72,17.65,-19.06,YES,17.18,37.09,16.72,36.09,17.65,16.72,5.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,7.52,0.45,17.18,38.1
O:XLK200110C00089000,2020-01-06,2020-01-10,XLK,C,44.5,10.0,3.4,3.49,-3.95,YES,3.44,7.44,3.4,7.34,3.49,3.4,4.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,1.32,0.59,3.44,7.53
O:XLK200110C00090000,2020-01-06,2020-01-10,XLK,C,45.0,182.0,2.21,2.7,-2.87,YES,2.46,5.3,2.21,4.77,2.7,2.21,10.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,1.04,0.58,2.46,5.83
O:XLK200110C00090500,2020-01-06,2020-01-10,XLK,C,45.25,11.0,1.38,1.93,-2.33,YES,1.65,3.57,1.38,2.98,1.93,1.38,2.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.71,0.61,1.65,4.17
O:XLK200110C00091000,2020-01-06,2020-01-10,XLK,C,45.5,42.0,1.37,1.53,-1.79,YES,1.52,3.29,1.37,2.96,1.68,1.37,10.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.57,0.6,1.52,3.63
O:XLK200110C00091500,2020-01-06,2020-01-10,XLK,C,45.75,88.0,1.19,1.18,-1.25,YES,1.17,2.53,1.15,2.48,1.19,1.15,9.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.46,0.59,1.17,2.57
O:XLK200110C00092000,2020-01-06,2020-01-10,XLK,C,46.0,9069.0,0.62,0.94,-0.71,YES,0.87,1.88,0.62,1.34,1.12,0.62,1691.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.41,0.55,0.87,2.42
O:XLK200110C00092500,2020-01-06,2020-01-10,XLK,C,46.25,377.0,0.4,0.72,-0.17,YES,0.56,1.21,0.4,0.86,0.72,0.4,60.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.36,0.5,0.56,1.55
O:XLK200110C00093000,2020-01-06,2020-01-10,XLK,C,46.5,130.0,0.25,0.44,0.37,YES,0.34,0.73,0.24,0.52,0.44,0.24,43.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.28,0.43,0.34,0.95
O:XLK200110C00093500,2020-01-06,2020-01-10,XLK,C,46.75,100.0,0.06,0.19,0.91,YES,0.14,0.29,0.06,0.13,0.21,0.06,36.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.19,0.31,0.14,0.45
O:XLK200110C00094000,2020-01-06,2020-01-10,XLK,C,47.0,81.0,0.06,0.12,1.45,YES,0.09,0.19,0.06,0.13,0.12,0.06,23.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.19,0.22,0.09,0.26
O:XLK200110C00094500,2020-01-06,2020-01-10,XLK,C,47.25,1.0,0.05,0.05,1.99,NO,0.05,0.11,0.05,0.11,0.05,0.05,1.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.17,0.12,0.05,0.11
O:XLK200110C00095000,2020-01-06,2020-01-10,XLK,C,47.5,100.0,0.03,0.03,2.53,NO,0.03,0.06,0.03,0.06,0.03,0.03,2.0,1578286800000000000,4.0,Weekly,45.71,46.28,46.33,45.62,46.33,47.18,47.55,47.55,0.0155,0.17,0.08,0.03,0.06
O:XLK200131C00079500,2020-01-27,2020-01-31,XLK,C,39.75,32.0,15.15,16.19,-17.07,YES,15.67,32.69,15.15,31.61,16.19,15.15,13.0,1580101200000000000,4.0,Weekly,47.58,47.56,47.93,47.36,47.93,47.66,48.75,48.75,0.0155,6.67,0.46,15.67,33.78
O:XLK200131C00087500,2020-01-27,2020-01-31,XLK,C,43.75,4.0,8.02,7.73,-8.72,YES,7.88,16.43,7.73,16.13,8.02,7.73,2.0,1580101200000000000,4.0,Weekly,47.58,47.56,47.93,47.36,47.93,47.66,48.75,48.75,0.0155,2.96,0.55,7.88,16.73
O:XLK200131C00088000,2020-01-27,2020-01-31,XLK,C,44.0,1.0,7.4,7.4,-8.2,YES,7.4,15.44,7.4,15.44,7.4,7.4,1.0,1580101200000000000,4.0,Weekly,47.58,47.56,47.93,47.36,47.93,47.66,48.75,48.75,0.0155,2.86,0.54,7.4,15.44
O:XLK200131C00089000,2020-01-27,2020-01-31,XLK,C,44.5,3.0,6.5,6.5,-7.16,YES,6.5,13.56,6.5,13.56,6.5,6.5,1.0,1580101200000000000,4.0,Weekly,47.58,47.56,47.93,47.36,47.93,47.66,48.75,48.75,0.0155,2.51,0.55,6.5,13.56
O:XLK200131C00090000,2020-01-27,2020-01-31,XLK,C,45.0,10.0,5.58,5.8,-6.11,YES,5.69,11.87,5.58,11.64,5.8,5.58,2.0,1580101200000000000,4.0,Weekly,47.58,47.56,47.93,47.36,47.93,47.66,48.75,48.75,0.0155,2.28,0.54,5.69,12.1
