ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct
O:XOM170113C00075000,2017-01-09,2017-01-13,XOM,C,750.0,1,11.64,11.64,750.15,NO,11.64,13.19,11.64,13.19,11.64,11.64,1,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,11.64,13.19
O:XOM170113C00084000,2017-01-09,2017-01-13,XOM,C,840.0,1,2.97,2.97,852.17,NO,2.97,3.37,2.97,3.37,2.97,2.97,1,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,2.97,3.37
O:XOM170113C00085000,2017-01-09,2017-01-13,XOM,C,850.0,32,2.55,2.29,863.5,NO,2.24,2.53,1.92,2.18,2.55,1.92,9,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,2.24,2.89
O:XOM170113C00085500,2017-01-09,2017-01-13,XOM,C,855.0,41,1.89,1.75,869.17,NO,1.73,1.96,1.56,1.77,1.9,1.56,11,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,1.73,2.15
O:XOM170113C00086000,2017-01-09,2017-01-13,XOM,C,860.0,547,2.01,1.46,874.84,NO,1.52,1.73,1.04,1.18,2.01,1.04,95,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,1.52,2.28
O:XOM170113C00086500,2017-01-09,2017-01-13,XOM,C,865.0,276,1.54,1.08,880.5,NO,1.13,1.28,0.72,0.82,1.54,0.72,45,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,1.13,1.75
O:XOM170113C00087000,2017-01-09,2017-01-13,XOM,C,870.0,2963,1.16,0.72,886.17,NO,0.81,0.92,0.46,0.52,1.16,0.46,238,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.81,1.31
O:XOM170113C00087500,2017-01-09,2017-01-13,XOM,C,875.0,1355,0.82,0.48,891.84,NO,0.55,0.62,0.28,0.32,0.82,0.28,97,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.55,0.93
O:XOM170113C00088000,2017-01-09,2017-01-13,XOM,C,880.0,814,0.55,0.27,897.51,NO,0.36,0.41,0.17,0.19,0.55,0.17,55,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.36,0.62
O:XOM170113C00088500,2017-01-09,2017-01-13,XOM,C,885.0,303,0.33,0.17,903.17,NO,0.22,0.25,0.09,0.1,0.35,0.09,33,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.22,0.4
O:XOM170113C00089000,2017-01-09,2017-01-13,XOM,C,890.0,549,0.21,0.1,908.84,NO,0.14,0.15,0.06,0.07,0.21,0.06,43,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.14,0.24
O:XOM170113C00089500,2017-01-09,2017-01-13,XOM,C,895.0,838,0.04,0.05,914.51,NO,0.07,0.08,0.04,0.05,0.1,0.04,39,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.07,0.11
O:XOM170113C00090000,2017-01-09,2017-01-13,XOM,C,900.0,251,0.06,0.02,920.18,NO,0.04,0.05,0.02,0.02,0.06,0.02,22,1483938000000000000,4.0,Weekly,88.22,87.04,88.22,86.55,88.22,86.35,86.68,86.68,0.0065,0.04,0.07
