ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:XOM220107C00054000,2022-01-03,2022-01-07,XOM,C,540.0,1,9.0,9.0,9.0,9.0,1,1641186000000000000,4,Weekly
O:XOM220107C00056000,2022-01-03,2022-01-07,XOM,C,560.0,48,7.02,7.02,7.02,7.02,1,1641186000000000000,4,Weekly
O:XOM220107C00057500,2022-01-03,2022-01-07,XOM,C,575.0,16,4.4,5.55,5.55,4.4,5,1641186000000000000,4,Weekly
O:XOM220107C00058000,2022-01-03,2022-01-07,XOM,C,580.0,82,3.7,5.45,5.45,3.7,6,1641186000000000000,4,Weekly
O:XOM220107C00059000,2022-01-03,2022-01-07,XOM,C,590.0,48,3.2,4.53,4.53,3.1,10,1641186000000000000,4,Weekly
O:XOM220107C00060000,2022-01-03,2022-01-07,XOM,C,600.0,304,1.94,3.5,3.58,1.94,41,1641186000000000000,4,Weekly
O:XOM220107C00061000,2022-01-03,2022-01-07,XOM,C,610.0,808,0.86,2.64,2.64,0.82,123,1641186000000000000,4,Weekly
O:XOM220107C00062000,2022-01-03,2022-01-07,XOM,C,620.0,2365,0.41,1.66,1.71,0.36,412,1641186000000000000,4,Weekly
O:XOM220107C00062500,2022-01-03,2022-01-07,XOM,C,625.0,2344,0.24,1.28,1.28,0.24,461,1641186000000000000,4,Weekly
O:XOM220107C00063000,2022-01-03,2022-01-07,XOM,C,630.0,2722,0.16,0.89,0.99,0.12,512,1641186000000000000,4,Weekly
O:XOM220107C00064000,2022-01-03,2022-01-07,XOM,C,640.0,3902,0.05,0.42,0.44,0.05,671,1641186000000000000,4,Weekly
O:XOM220107C00065000,2022-01-03,2022-01-07,XOM,C,650.0,4768,0.02,0.15,0.16,0.02,367,1641186000000000000,4,Weekly
O:XOM220107C00066000,2022-01-03,2022-01-07,XOM,C,660.0,925,0.02,0.04,0.05,0.01,115,1641186000000000000,4,Weekly
O:XOM220107C00067000,2022-01-03,2022-01-07,XOM,C,670.0,307,0.01,0.02,0.04,0.01,57,1641186000000000000,4,Weekly
O:XOM220107C00068000,2022-01-03,2022-01-07,XOM,C,680.0,148,0.01,0.01,0.01,0.01,10,1641186000000000000,4,Weekly
O:XOM220107C00069000,2022-01-03,2022-01-07,XOM,C,690.0,1,0.01,0.01,0.01,0.01,1,1641186000000000000,4,Weekly
O:XOM220107C00070000,2022-01-03,2022-01-07,XOM,C,700.0,17,0.01,0.01,0.01,0.01,6,1641186000000000000,4,Weekly
O:XOM220107P00050000,2022-01-03,2022-01-07,XOM,P,500.0,1,0.01,0.01,0.01,0.01,1,1641186000000000000,4,Weekly
O:XOM220107P00052000,2022-01-03,2022-01-07,XOM,P,520.0,16,0.01,0.02,0.02,0.01,3,1641186000000000000,4,Weekly
O:XOM220107P00054000,2022-01-03,2022-01-07,XOM,P,540.0,1,0.01,0.01,0.01,0.01,1,1641186000000000000,4,Weekly
O:XOM220107P00055000,2022-01-03,2022-01-07,XOM,P,550.0,103,0.02,0.01,0.02,0.01,4,1641186000000000000,4,Weekly
O:XOM220107P00056000,2022-01-03,2022-01-07,XOM,P,560.0,6,0.04,0.02,0.04,0.02,4,1641186000000000000,4,Weekly
O:XOM220107P00057000,2022-01-03,2022-01-07,XOM,P,570.0,153,0.03,0.02,0.03,0.01,25,1641186000000000000,4,Weekly
O:XOM220107P00057500,2022-01-03,2022-01-07,XOM,P,575.0,116,0.04,0.01,0.04,0.01,19,1641186000000000000,4,Weekly
O:XOM220107P00058000,2022-01-03,2022-01-07,XOM,P,580.0,201,0.04,0.02,0.04,0.01,48,1641186000000000000,4,Weekly
O:XOM220107P00059000,2022-01-03,2022-01-07,XOM,P,590.0,445,0.13,0.03,0.14,0.02,91,1641186000000000000,4,Weekly
O:XOM220107P00060000,2022-01-03,2022-01-07,XOM,P,600.0,1082,0.24,0.04,0.24,0.03,125,1641186000000000000,4,Weekly
O:XOM220107P00061000,2022-01-03,2022-01-07,XOM,P,610.0,2798,0.51,0.07,0.51,0.06,347,1641186000000000000,4,Weekly
O:XOM220107P00062000,2022-01-03,2022-01-07,XOM,P,620.0,1907,0.66,0.15,0.67,0.15,155,1641186000000000000,4,Weekly
O:XOM220107P00062500,2022-01-03,2022-01-07,XOM,P,625.0,818,0.9,0.28,0.92,0.24,101,1641186000000000000,4,Weekly
O:XOM220107P00063000,2022-01-03,2022-01-07,XOM,P,630.0,1246,1.4,0.4,1.4,0.39,239,1641186000000000000,4,Weekly
O:XOM220107P00064000,2022-01-03,2022-01-07,XOM,P,640.0,100,1.87,0.89,1.87,0.86,28,1641186000000000000,4,Weekly
O:XOM220107P00065000,2022-01-03,2022-01-07,XOM,P,650.0,244,2.8,1.68,2.8,1.58,44,1641186000000000000,4,Weekly
O:XOM220107P00066000,2022-01-03,2022-01-07,XOM,P,660.0,3,4.6,4.6,4.6,4.6,1,1641186000000000000,4,Weekly
O:XOM220107P00067000,2022-01-03,2022-01-07,XOM,P,670.0,4,4.8,4.9,4.9,4.8,2,1641186000000000000,4,Weekly
O:XOM220107P00068000,2022-01-03,2022-01-07,XOM,P,680.0,5,4.5,4.5,4.5,4.5,1,1641186000000000000,4,Weekly
O:XOM220107P00070000,2022-01-03,2022-01-07,XOM,P,700.0,5,7.82,7.82,7.82,7.82,1,1641186000000000000,4,Weekly
O:XOM220114C00060000,2022-01-10,2022-01-14,XOM,C,600.0,1,8.45,8.45,8.45,8.45,1,1641790800000000000,4,Weekly
O:XOM220114C00061000,2022-01-10,2022-01-14,XOM,C,610.0,19,7.13,7.45,7.5,7.13,6,1641790800000000000,4,Weekly
O:XOM220114C00062000,2022-01-10,2022-01-14,XOM,C,620.0,23,6.15,6.45,6.47,6.15,5,1641790800000000000,4,Weekly
O:XOM220114C00062500,2022-01-10,2022-01-14,XOM,C,625.0,15,5.63,5.63,5.63,5.63,1,1641790800000000000,4,Weekly
O:XOM220114C00063000,2022-01-10,2022-01-14,XOM,C,630.0,212,5.94,5.45,5.94,5.04,9,1641790800000000000,4,Weekly
O:XOM220114C00064000,2022-01-10,2022-01-14,XOM,C,640.0,23,5.1,4.2,5.1,4.12,15,1641790800000000000,4,Weekly
O:XOM220114C00065000,2022-01-10,2022-01-14,XOM,C,650.0,122,4.11,3.6,4.11,3.22,39,1641790800000000000,4,Weekly
O:XOM220114C00066000,2022-01-10,2022-01-14,XOM,C,660.0,250,3.15,2.5,3.2,2.3,55,1641790800000000000,4,Weekly
O:XOM220114C00067000,2022-01-10,2022-01-14,XOM,C,670.0,849,2.25,1.73,2.31,1.49,58,1641790800000000000,4,Weekly
O:XOM220114C00068000,2022-01-10,2022-01-14,XOM,C,680.0,561,1.49,1.06,1.6,0.86,206,1641790800000000000,4,Weekly
O:XOM220114C00069000,2022-01-10,2022-01-14,XOM,C,690.0,2084,0.95,0.6,1.01,0.45,346,1641790800000000000,4,Weekly
O:XOM220114C00070000,2022-01-10,2022-01-14,XOM,C,700.0,2899,0.52,0.31,0.6,0.22,768,1641790800000000000,4,Weekly
O:XOM220114C00071000,2022-01-10,2022-01-14,XOM,C,710.0,579,0.28,0.13,0.31,0.11,153,1641790800000000000,4,Weekly
O:XOM220114C00072000,2022-01-10,2022-01-14,XOM,C,720.0,703,0.15,0.07,0.15,0.06,80,1641790800000000000,4,Weekly
O:XOM220114C00073000,2022-01-10,2022-01-14,XOM,C,730.0,475,0.08,0.04,0.08,0.03,51,1641790800000000000,4,Weekly
O:XOM220114C00074000,2022-01-10,2022-01-14,XOM,C,740.0,18,0.03,0.02,0.05,0.02,7,1641790800000000000,4,Weekly
O:XOM220114C00075000,2022-01-10,2022-01-14,XOM,C,750.0,22,0.03,0.01,0.03,0.01,8,1641790800000000000,4,Weekly
O:XOM220114C00076000,2022-01-10,2022-01-14,XOM,C,760.0,15,0.01,0.01,0.02,0.01,6,1641790800000000000,4,Weekly
O:XOM220114C00077000,2022-01-10,2022-01-14,XOM,C,770.0,2,0.02,0.02,0.02,0.02,1,1641790800000000000,4,Weekly
O:XOM220114P00055000,2022-01-10,2022-01-14,XOM,P,550.0,1,0.01,0.01,0.01,0.01,1,1641790800000000000,4,Weekly
O:XOM220114P00059000,2022-01-10,2022-01-14,XOM,P,590.0,14,0.01,0.01,0.01,0.01,1,1641790800000000000,4,Weekly
O:XOM220114P00060000,2022-01-10,2022-01-14,XOM,P,600.0,265,0.01,0.03,0.03,0.01,8,1641790800000000000,4,Weekly
O:XOM220114P00061000,2022-01-10,2022-01-14,XOM,P,610.0,33,0.02,0.02,0.02,0.02,6,1641790800000000000,4,Weekly
O:XOM220114P00062000,2022-01-10,2022-01-14,XOM,P,620.0,124,0.02,0.01,0.02,0.01,4,1641790800000000000,4,Weekly
O:XOM220114P00062500,2022-01-10,2022-01-14,XOM,P,625.0,24,0.04,0.02,0.04,0.02,9,1641790800000000000,4,Weekly
O:XOM220114P00063000,2022-01-10,2022-01-14,XOM,P,630.0,213,0.03,0.02,0.05,0.02,36,1641790800000000000,4,Weekly
O:XOM220114P00064000,2022-01-10,2022-01-14,XOM,P,640.0,370,0.07,0.04,0.09,0.04,66,1641790800000000000,4,Weekly
O:XOM220114P00065000,2022-01-10,2022-01-14,XOM,P,650.0,1745,0.1,0.09,0.16,0.08,178,1641790800000000000,4,Weekly
O:XOM220114P00066000,2022-01-10,2022-01-14,XOM,P,660.0,2210,0.15,0.16,0.29,0.14,266,1641790800000000000,4,Weekly
O:XOM220114P00067000,2022-01-10,2022-01-14,XOM,P,670.0,1821,0.3,0.31,0.53,0.27,306,1641790800000000000,4,Weekly
O:XOM220114P00068000,2022-01-10,2022-01-14,XOM,P,680.0,2456,0.58,0.62,0.95,0.48,425,1641790800000000000,4,Weekly
O:XOM220114P00069000,2022-01-10,2022-01-14,XOM,P,690.0,611,0.89,1.13,1.5,0.84,125,1641790800000000000,4,Weekly
O:XOM220114P00070000,2022-01-10,2022-01-14,XOM,P,700.0,168,1.48,1.95,2.19,1.44,35,1641790800000000000,4,Weekly
O:XOM220114P00071000,2022-01-10,2022-01-14,XOM,P,710.0,2,2.75,2.75,2.75,2.75,1,1641790800000000000,4,Weekly
O:XOM220114P00072000,2022-01-10,2022-01-14,XOM,P,720.0,2,3.6,3.6,3.6,3.6,1,1641790800000000000,4,Weekly
O:XOM220128C00060000,2022-01-24,2022-01-28,XOM,C,600.0,82,10.9,10.55,10.9,10.55,3,1643000400000000000,4,Weekly
O:XOM220128C00061000,2022-01-24,2022-01-28,XOM,C,610.0,28,10.25,9.45,10.25,9.45,3,1643000400000000000,4,Weekly
