ticker,expiration,strike,delta,bid,ask,mid,spread_pct,open_interest,volume,iv,spot,premium_yield,breakeven,max_profit,pop_est,minutes_to_expiry,capital_required,filter_symbol,filter_expiration_days,filter_min_otm_pct,filter_max_otm_pct,filter_delta_lo,filter_delta_hi,filter_min_bid,filter_min_open_interest,filter_min_volume,filter_max_spread_to_mid,filter_min_premium_yield,filter_iv_range,filter_max_minutes_to_expiry,filter_account_size,filter_max_capital_pct,filter_max_capital,filter_capital_limit,filter_rank_metric
O:SPY260107C00683000,2026-01-07,683,,2.88,2.89,2.885,0.0034662045060659384,823,2313,,682.585,0.004226579839873422,679.7,3.2999999999999634,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00684000,2026-01-07,684,,2.36,2.37,2.365,0.004228329809725256,857,2625,,682.585,0.0034647699553901714,680.22,3.779999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00685000,2026-01-07,685,,1.89,1.9,1.895,0.0052770448548812715,1784,6416,,682.585,0.002776211021338002,680.69,4.309999999999963,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00686000,2026-01-07,686,,1.47,1.49,1.48,0.013513513513513526,1255,2671,,682.585,0.0021682281327600225,681.105,4.894999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00687000,2026-01-07,687,,1.13,1.14,1.1349999999999998,0.008810572687224679,1427,2805,,682.585,0.0016627965747855575,681.45,5.549999999999963,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00688000,2026-01-07,688,,0.84,0.85,0.845,0.011834319526627229,1257,3062,,682.585,0.001237941062285283,681.74,6.259999999999963,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00689000,2026-01-07,689,,0.61,0.62,0.615,0.016260162601626032,1189,887,,682.585,0.0009009866903023066,681.97,7.029999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00690000,2026-01-07,690,,0.42,0.43,0.425,0.023529411764705903,2788,4052,,682.585,0.0006226330786641956,682.1600000000001,7.839999999999963,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00691000,2026-01-07,691,,0.29,0.3,0.295,0.0338983050847458,836,324,,682.585,0.00043218060754338284,682.2900000000001,8.709999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00692000,2026-01-07,692,,0.19,0.2,0.195,0.05128205128205133,1169,1109,,682.585,0.00028567870668121917,682.39,9.609999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00693000,2026-01-07,693,,0.12,0.13,0.125,0.08000000000000007,859,609,,682.585,0.0001831273760777046,682.46,10.539999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00694000,2026-01-07,694,,0.08,0.09,0.08499999999999999,0.11764705882352937,963,575,,682.585,0.0001245266157328391,682.5,11.499999999999964,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
O:SPY260107C00695000,2026-01-07,695,,0.05,0.06,0.055,0.18181818181818174,1185,836,,682.585,8.057604547419003e-05,682.5300000000001,12.469999999999963,,7392.663679849999,68258.5,SPY,5,0.0,0.03,0.2,0.4,0.05,1,0,0.75,0.0,,,,,,,premium_yield
