ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:SMCI160219C00025000,2016-01-19,2016-02-19,SMCI,C,250.0,131,1.55,1.75,1.85,1.55,18,1453179600000000000,31,Monthly
O:SMCI160219C00030000,2016-01-19,2016-02-19,SMCI,C,300.0,27,0.4,0.3,0.4,0.3,5,1453179600000000000,31,Monthly
O:SMCI160219P00020000,2016-01-19,2016-02-19,SMCI,P,200.0,136,0.35,0.4,0.48,0.35,8,1453179600000000000,31,Monthly
O:SMCI160219P00022500,2016-01-19,2016-02-19,SMCI,P,225.0,17,1.05,1.05,1.05,1.05,2,1453179600000000000,31,Monthly
O:SMCI160219P00025000,2016-01-19,2016-02-19,SMCI,P,250.0,30,2.15,1.99,2.15,1.99,2,1453179600000000000,31,Monthly
O:SMCI160219C00025000,2016-01-20,2016-02-19,SMCI,C,250.0,13,1.3,2.0,2.0,1.3,5,1453266000000000000,30,Monthly
O:SMCI160219C00030000,2016-01-20,2016-02-19,SMCI,C,300.0,14,0.15,0.45,0.45,0.15,4,1453266000000000000,30,Monthly
O:SMCI160219P00022500,2016-01-20,2016-02-19,SMCI,P,225.0,1,0.9,0.9,0.9,0.9,1,1453266000000000000,30,Monthly
O:SMCI160219C00025000,2016-01-21,2016-02-19,SMCI,C,250.0,10,1.79,1.79,1.79,1.79,2,1453352400000000000,29,Monthly
O:SMCI160219C00030000,2016-01-21,2016-02-19,SMCI,C,300.0,10,0.43,0.43,0.43,0.43,2,1453352400000000000,29,Monthly
O:SMCI160219P00022500,2016-01-21,2016-02-19,SMCI,P,225.0,8,0.9,0.9,0.9,0.9,2,1453352400000000000,29,Monthly
O:SMCI160219C00025000,2016-01-22,2016-02-19,SMCI,C,250.0,74,2.13,2.35,2.35,1.99,6,1453438800000000000,28,Monthly
O:SMCI160219C00030000,2016-01-22,2016-02-19,SMCI,C,300.0,5,0.45,0.45,0.45,0.45,1,1453438800000000000,28,Monthly
O:SMCI160318C00025000,2016-02-16,2016-03-18,SMCI,C,250.0,2,6.5,6.5,6.5,6.5,1,1455598800000000000,31,Monthly
O:SMCI160318C00030000,2016-02-18,2016-03-18,SMCI,C,300.0,1,3.41,3.41,3.41,3.41,1,1455771600000000000,29,Monthly
O:SMCI160318C00035000,2016-02-18,2016-03-18,SMCI,C,350.0,4,0.9,0.95,0.95,0.9,2,1455771600000000000,29,Monthly
O:SMCI160415C00025000,2016-03-14,2016-04-15,SMCI,C,250.0,5,7.52,7.52,7.52,7.52,1,1457928000000000000,32,Monthly
O:SMCI160415C00030000,2016-03-14,2016-04-15,SMCI,C,300.0,10,3.3,3.3,3.3,3.3,1,1457928000000000000,32,Monthly
O:SMCI160415C00040000,2016-03-14,2016-04-15,SMCI,C,400.0,10,0.1,0.1,0.1,0.1,1,1457928000000000000,32,Monthly
O:SMCI160415C00030000,2016-03-15,2016-04-15,SMCI,C,300.0,7,2.65,2.65,2.65,2.65,1,1458014400000000000,31,Monthly
O:SMCI160415C00035000,2016-03-15,2016-04-15,SMCI,C,350.0,1,0.5,0.5,0.5,0.5,1,1458014400000000000,31,Monthly
O:SMCI160415P00025000,2016-03-15,2016-04-15,SMCI,P,250.0,2,0.1,0.1,0.1,0.1,1,1458014400000000000,31,Monthly
O:SMCI160415P00030000,2016-03-15,2016-04-15,SMCI,P,300.0,2,1.0,1.0,1.0,1.0,2,1458014400000000000,31,Monthly
O:SMCI160415C00035000,2016-03-16,2016-04-15,SMCI,C,350.0,11,0.6,0.5,0.6,0.5,2,1458100800000000000,30,Monthly
O:SMCI160415P00022500,2016-03-18,2016-04-15,SMCI,P,225.0,7,0.05,0.05,0.05,0.05,1,1458273600000000000,28,Monthly
O:SMCI160520C00022500,2016-04-18,2016-05-20,SMCI,C,225.0,5,4.68,4.68,4.68,4.68,1,1460952000000000000,32,Monthly
O:SMCI160520C00025000,2016-04-18,2016-05-20,SMCI,C,250.0,5,2.76,2.76,2.76,2.76,1,1460952000000000000,32,Monthly
O:SMCI160520C00030000,2016-04-18,2016-05-20,SMCI,C,300.0,37,0.55,0.66,0.7,0.55,5,1460952000000000000,32,Monthly
O:SMCI160520P00022500,2016-04-18,2016-05-20,SMCI,P,225.0,12,0.5,0.4,0.5,0.4,2,1460952000000000000,32,Monthly
O:SMCI160520P00025000,2016-04-18,2016-05-20,SMCI,P,250.0,60,1.1,0.8,1.25,0.8,12,1460952000000000000,32,Monthly
O:SMCI160520P00030000,2016-04-18,2016-05-20,SMCI,P,300.0,10,3.36,3.36,3.36,3.36,1,1460952000000000000,32,Monthly
O:SMCI160520C00030000,2016-04-19,2016-05-20,SMCI,C,300.0,11,0.95,0.99,0.99,0.95,2,1461038400000000000,31,Monthly
O:SMCI160520P00022500,2016-04-19,2016-05-20,SMCI,P,225.0,50,0.32,0.32,0.32,0.32,1,1461038400000000000,31,Monthly
O:SMCI160520P00025000,2016-04-19,2016-05-20,SMCI,P,250.0,60,0.75,0.68,0.75,0.68,2,1461038400000000000,31,Monthly
O:SMCI160520C00025000,2016-04-20,2016-05-20,SMCI,C,250.0,12,5.1,4.04,5.1,3.0,3,1461124800000000000,30,Monthly
O:SMCI160520C00030000,2016-04-20,2016-05-20,SMCI,C,300.0,4,1.05,1.0,1.05,1.0,3,1461124800000000000,30,Monthly
O:SMCI160520P00025000,2016-04-20,2016-05-20,SMCI,P,250.0,40,0.6,0.55,0.6,0.55,2,1461124800000000000,30,Monthly
O:SMCI160520P00030000,2016-04-20,2016-05-20,SMCI,P,300.0,9,2.6,2.7,2.7,2.6,3,1461124800000000000,30,Monthly
O:SMCI160520C00030000,2016-04-21,2016-05-20,SMCI,C,300.0,507,0.725,0.75,0.75,0.65,4,1461211200000000000,29,Monthly
