Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,1.94,,
2025-10-30 16:00:00-04:00,1.56,1.95,25.2
2025-07-31 16:00:00-04:00,1.32,1.68,27.19
2025-05-01 16:00:00-04:00,1.36,1.59,16.77
2025-02-06 16:00:00-05:00,1.48,1.86,25.36
2024-10-31 16:00:00-04:00,1.14,1.43,25.22
2024-08-01 12:00:00-04:00,1.02,1.26,23.76
2024-04-30 16:00:00-04:00,0.83,0.98,18.16
2024-02-01 16:00:00-05:00,0.8,1.0,24.44
2023-10-26 16:00:00-04:00,0.59,0.94,58.7
2023-08-03 16:00:00-04:00,0.34,0.65,91.19
2023-04-27 16:00:00-04:00,0.21,0.31,44.29
2023-02-02 16:00:00-05:00,0.16,0.03,-81.68
2022-10-27 16:00:00-04:00,0.21,0.28,33.0
2022-07-28 16:00:00-04:00,0.12,-0.2,-272.53
2022-04-28 16:00:00-04:00,0.42,-0.38,-190.58
2022-02-03 16:00:00-05:00,0.18,1.39,657.12
2021-10-28 16:00:00-04:00,0.44,0.31,-30.85
2021-07-29 16:00:00-04:00,0.62,0.76,22.57
2021-04-29 16:00:00-04:00,0.48,0.79,64.11
2021-02-02 16:00:00-05:00,0.35,0.7,100.1
2020-10-29 16:00:00-04:00,0.38,0.62,64.25
2020-07-30 16:00:00-04:00,0.08,0.52,543.11
2020-04-30 17:00:00-04:00,0.31,0.25,-19.8
2020-01-30 16:00:00-05:00,0.2,0.32,62.82
